"Temperature (C) ","Detuning (GHz) ","Laser Power (uW) ","G(1D)","C(1D)","A(1D)","By(1D)","Error G(1D)","Error C(1D)","Error A(1D)","Error By(1D)","G1(2D)","G2(2D)","C(2D)","A(2D)","Bx(2D)","Bz(2D)","Error G1(2D)","Error G2(2D)","Error C(2D)","Error A(2D)","Error Bx(2D)","Error Bz(2D)","Sensitivity (T/sqrt(Hz)"
115,5,1500,160.96,0.7669,1.0799,-11.732,23.361,3.0238e-05,0.00027913,26.78,-0.0018958,-0.0030033,1.874,1.0457,-13.32,-212.08,304.8,764.96,2.9121e-05,6.4364e-05,1.2272,2.5583,1.9868e-10
117,5,1500,149.23,0.65348,1.0313,1.076,23.782,2.7344e-05,0.00050642,39.204,-0.0047997,-0.00803,1.713,1.0072,-7.7331,-203.26,1299.8,3638.1,2.4966e-05,5.3854e-05,1.1512,2.1325,2.4971e-10
120,5,1500,137.51,0.51032,0.99303,-120.8,7.1907,2.1301e-05,7.5421e-05,1.7893,32.68,64.316,1.4509,0.93413,-10.452,-219.57,1.4756,4.6405,1.1858e-05,1.492e-05,1.8814,2.1467,2.878e-10
123,5,1500,126.74,0.369,1.0922,23.235,8.7286,1.1978e-05,0.0011155,35.072,0.0013342,0.0032265,1.3814,0.99077,-9.8213,-196.84,112.79,659.7,2.1623e-05,4.027e-05,0.70135,1.9608,3.8902e-10
126,5,1500,116.84,0.2614,1.1419,41.788,5.8693,1.0602e-05,0.0040281,62.556,0.00056867,0.0018087,1.2335,0.96747,-10.5,-200.38,48.181,487.41,2.1698e-05,3.6809e-05,0.54582,2.0442,3.6226e-10
129,5,1500,92.004,0.18797,1.0349,20.486,3.4931,5.5176e-06,0.00122,19.791,0.00022549,0.00098115,1.1188,0.93778,-11.286,-196.56,1.6858,31.916,2.2592e-05,3.4999e-05,0.44333,2.165,5.6811e-10
132,5,1500,81.439,0.13285,0.98151,18.143,2.5358,3.9548e-06,0.0010766,15.059,-0.00094248,-0.0058394,1.0248,0.90654,-12.914,-204.5,34.443,1322.2,2.5281e-05,3.5994e-05,0.35634,2.5278,8.1764e-10
129,10,1500,97.637,0.48591,2.012,101.75,100.35,1.6302e-05,0.42542,404.06,0.0005446,0.0019994,1.3605,0.85689,-12.609,-195.48,43.865,591.25,1.908e-05,3.0993e-05,0.51735,2.4298,6.2129e-10
129,11,1500,212.23,0.54779,0.88711,-5.6816,46.86,3.4591e-05,0.00025109,53.478,-0.0042017,-0.017549,1.5093,0.73026,-11.609,-295.94,2980.7,51992,7.2738e-05,0.00011343,2.4707,11.974,4.4634e-10
129,12,1500,106.7,1.0602,0.57786,1.8702,4.3441,1.9192e-06,7.065e-05,8.7489,0.005159,0.014319,1.6403,0.77961,-7.7499,-101.12,4534.1,34919,6.9972e-05,0.00012423,3.382,9.4797,1.1844e-10
129,13,1500,134.94,0.72492,1.6025,136.76,108.09,1.4915e-05,0.18203,579.19,0.00056808,0.0019308,1.4884,0.75035,-11.412,-199.14,45.991,531.32,1.7628e-05,2.9297e-05,0.67453,2.8469,5.6503e-10
129,15,1500,99.89,0.90341,1.1134,74.535,30.742,1.1972e-05,0.067597,352.44,0.0010435,0.0037202,1.5235,0.61801,-13.738,-155.53,88.514,1125,1.0702e-05,1.7546e-05,0.57411,2.8666,2.0763e-09
129,10,1900,119.74,0.68556,1.8297,62.17,6.7826,3.0519e-05,0.032224,142.59,-0.0014314,-0.0051669,2.0172,1.3164,-11.811,-250.52,74.091,965.37,4.8193e-05,7.8708e-05,0.56008,2.5501,2.4351e-10
129,10,2140,131.43,0.79037,1.9818,49.624,10.398,5.3435e-05,0.018633,117.52,-0.0001584,-0.00050105,2.4305,1.6453,-3.398,-264.77,10.826,108.34,0.00014804,0.00025127,1.8521,5.5009,2.8963e-10
129,10,2260,138.82,0.83633,2.3123,55.469,17.705,0.00012251,0.04461,220.53,-0.00063426,-0.0019973,2.6733,1.8245,-7.6792,-300.83,31.238,309.77,0.00018115,0.00030889,1.4606,4.4277,3.5135e-10
129,10,2380,137.79,0.88562,2.1884,42.079,11.934,6.7007e-05,0.01291,87.788,-0.00042186,-0.0013266,2.8228,1.9286,-9.3568,-303.8,101.79,1006.7,0.00020771,0.00035446,1.4676,4.6399,2.1413e-10
129,10,2500,142.81,0.91445,2.3865,45.967,13.145,8.7041e-05,0.017562,103.99,0.00016063,0.00049013,2.9719,2.038,-10.489,-306.87,27.461,255.71,0.00025275,0.00043561,1.6987,5.0218,2.261e-10
120,10,2500,185.35,1.6352,1.4868,44.104,27.031,5.4408e-05,0.0035556,114.33,0.00051453,0.00098794,3.068,1.353,-8.4854,-305.19,49.503,182.45,9.0319e-05,0.00018445,2.1224,4.2154,1.5831e-10
123,10,2500,158.92,1.3807,1.6909,21.611,25.608,7.2344e-05,0.0030646,72.167,0.0028672,0.0069507,3.0596,1.595,-10.418,-304.84,527.88,3102.2,7.9228e-05,0.00014782,1.0287,2.7588,1.8504e-10
126,10,2500,145.57,1.1278,2.0062,26.58,23.05,9.7177e-05,0.0069125,85.743,0.00095389,0.0027924,3.039,1.8412,-10.888,-304.17,93.5,801.27,0.00011164,0.00019508,0.88703,2.9055,2.3655e-10
129,10,2500,133.61,0.9198,2.1909,24.489,13.692,7.2927e-05,0.0061483,53.547,-0.00053358,-0.0018307,2.9546,2.0035,-10.409,-302.11,59.572,701.26,0.00014602,0.00024255,0.82665,3.121,2.4166e-10
132,10,2500,123.71,0.7192,2.2836,17.984,12.792,7.751e-05,0.0056888,43.137,0.00018655,0.00076505,2.8151,2.0814,-13.65,-305.2,1.7705,29.78,0.00016896,0.00026672,0.708,3.6794,3.298e-10
135,10,2500,127.38,0.51193,2.1359,34.01,9.5359,5.213e-05,0.0088767,59.204,0.0015345,0.0076635,2.3968,1.8809,-14.008,-305.64,125.2,3122.6,0.00014472,0.00021692,0.60908,3.7115,3.4453e-10
132,10,2500,124.17,0.72956,2.2864,19.112,18.463,0.00011196,0.0087013,64.792,-0.0002749,-0.0010981,2.8396,2.1214,-9.5539,-342.46,216.29,3451,0.00031932,0.00050829,1.4759,5.8279,2.6919e-10
132,11,2500,131.59,0.84216,2.2618,26.852,13.578,7.8406e-05,0.0079332,59.465,-0.00038819,-0.0015669,2.9439,2.0863,-10.483,-339.36,7.4236,120.95,0.00016197,0.00025702,0.78383,3.0259,2.4601e-10
132,14,2500,118.95,1.1934,1.9016,19.07,11.799,5.1012e-05,0.0044992,43.597,0.00033308,0.0012524,2.9078,1.72,-12.092,-296.07,5.0874,71.921,0.00010308,0.00016665,0.67202,3.2335,3.1898e-10
132,15,2500,123.06,1.3472,1.9004,22.21,15.591,6.6047e-05,0.0063586,62.643,-0.0009644,-0.0035104,3.0417,1.6924,-11.58,-298.02,41.991,556.31,9.6453e-05,0.00015741,0.67644,3.0699,3.5791e-10
