Temperature (C) ,Detuning (GHz) ,Laser Power (uW) ,Cost filtered (V/nT),Cost unfiltered (V/nT),Loop,Run_number,C(1D),A(1D),G(1D),By(1D),Error C(1D),Error A(1D),Error G(1D),Error By(1D),G1(2D),G2(2D),C(2D),A(2D),Bx(2D),Bz(2D),Error G1(2D),Error G2(2D),Error C(2D),Error A(2D),Error Bx(2D),Error Bz(2D),NA
85,17,740,0.000018,0.000018,3,46,1.47,0.003074,170.605105,-17.619839,0.000132,0.000297,30.962737,16.212756,2814.849248,2464.255047,-1.483864,-0.013128,31.969195,102.866653,1306.079019,1188.894474,0.011867,0.011874,21.367798,21.998069,NA
110,15,881,0.000042,0.000042,3,48,1.122309,0.011871,285.810448,114.086382,0.000245,0.000321,16.463608,6.859729,4146.358002,4342.608362,-1.252104,-0.129945,-9.135107,294.633676,3326.021945,3655.217328,0.213919,0.213898,17.194625,26.577508,NA
85,12,907,0.000064,0.000064,3,49,1.802485,0.007732,120.394155,-8.31115,0.000129,0.000407,10.952789,6.312497,2277.602705,1489.025804,-1.819728,-0.014088,-3.494001,-196.512324,232.790908,120.139445,0.001816,0.001824,11.757708,11.388003,NA
110,15,944,0.000099,0.000099,3,50,1.203517,0.013496,135.899236,40.853112,0.00012,0.000339,6.050162,3.388056,2450.226352,2487.01458,-1.257849,-0.050162,-10.231984,89.450312,930.875487,969.085791,0.036993,0.037026,13.423548,15.572843,NA
114,15,846,0.000134,0.000134,3,51,1.0169,0.015074,112.830395,44.335781,0.000124,0.000416,5.300213,3.098424,983.617571,1345.850968,-1.038957,-0.016925,-3.629754,81.857722,239.652452,283.904785,0.006311,0.006396,12.497304,19.641173,NA
86,15,944,0.000078,0.000078,3,53,1.826604,0.006823,86.946095,6.752269,0.000108,0.000445,9.241684,5.666896,776.987485,979.96368,-1.834927,-0.004484,-26.516961,33.269295,209.5405,188.433464,0.001391,0.001458,16.503619,24.628952,NA
118,15,838,0.000049,0.000049,3,55,0.938244,0.015014,303.858503,173.966039,0.000151,0.000189,8.115856,3.312087,15474.16976,27072.71346,-7.086157,-6.144847,-4.392035,314.22423,645014.4156,1129217.3,512.423792,512.42381,10.292827,27.628505,NA
77,12,1152,0.0001,0.0001,3,56,2.235845,0.007214,72.091962,-1.367639,0.00019,0.000901,14.250979,9.096499,55947.85204,74842.38471,-27.330923,-25.09176,-7.459001,49.262402,1795880.045,2402406.7,1610.787615,1610.787617,22.220464,30.206449,NA
98,10,1142,0.000081,0.000081,3,57,1.939887,0.023096,286.806943,27.295887,0.000687,0.000884,23.601668,9.703082,2318.297657,3159.140155,-2.109126,-0.16692,-11.956551,226.514899,2270.463073,3175.278884,0.325851,0.325922,21.100664,37.786583,NA
85,14,997,0.000125,0.000125,3,58,1.910937,0.006904,55.401765,-10.587529,0.000188,0.001089,13.544622,8.686415,2551.993574,2282.699649,-1.941496,-0.02701,-12.588909,-50.158928,654.431559,603.538623,0.013293,0.01331,11.629054,11.814752,NA
125,14,996,0.000148,0.000148,3,59,0.910805,0.029085,197.116132,100.785992,0.000786,0.001529,20.186456,10.06168,2618.506603,4909.183104,-1.16367,-0.248856,-11.13723,150.165599,5701.893183,10669.35521,1.072558,1.072627,10.973185,23.849632,NA
114,12,755,0.000122,0.000122,3,60,0.869447,0.017712,144.883622,-71.168031,0.000264,0.0007,10.304491,5.676423,2009.83701,1931.263429,-0.921463,-0.041188,-2.179483,-153.62759,407.424362,393.078327,0.015236,0.015267,12.791703,15.551299,NA
85,12,907,0.000121,0.000121,4,61,1.80109,0.008726,72.126318,-5.41778,0.00012,0.000571,7.47901,4.749374,1205.79694,1385.604724,-1.816275,-0.011778,-4.376126,-26.050658,245.743459,251.177833,0.00373,0.003778,11.894099,15.94752,NA
86,15,1007,0.000043,0.000043,4,63,1.936762,0.006155,141.995183,-2.844241,0.000251,0.000678,28.032058,15.513337,1162.430409,941.618502,-1.943318,-0.005411,-0.862034,120.746619,182.442098,93.307063,0.000771,0.000826,13.552902,15.901459,NA
86,12,907,0.000095,0.000095,4,64,1.795792,0.007372,77.938908,32.154929,0.000183,0.000823,13.957697,8.707224,845.020873,1132.230054,-1.809788,-0.008833,-16.33568,9.872626,188.128016,198.784245,0.002632,0.002704,12.355035,18.950136,NA
98,10,993,0.000031,0.000031,4,65,1.640927,0.041912,1336.199513,-140.498747,0.013705,0.013427,327.803843,18.922047,23054.45223,60452.05418,-49.716092,-48.043846,-9.864942,365.993052,NaN,NaN,NaN,NaN,19.411051,85.697935,NA
98,15,944,0.000015,0.000015,4,68,1.584654,0.013621,898.015241,-64.410189,0.002114,0.002004,134.971836,14.193673,41442.52206,76186.99779,-35.502429,-33.907383,-20.943793,477.69646,NaN,NaN,NaN,NaN,16.631318,61.963454,NA
98,10,881,0.000169,0.000169,4,70,1.504904,0.016978,100.344042,-14.426601,0.000308,0.001137,11.212224,6.700658,1432.839951,1243.74715,-1.533906,-0.020677,1.686092,-112.004642,282.399798,198.071917,0.005336,0.005444,17.208033,20.050684,NA
77,12,1152,0.000013,0.000013,4,71,2.228937,0.00832,657.208034,165.361387,0.001057,0.000965,109.970403,22.152215,19410.05805,96315.92449,-46.256739,-44.02755,-20.258072,809.063493,NaN,NaN,NaN,NaN,17.181394,268.665764,NA
85,11,1142,0.000143,0.000143,4,72,2.210344,0.011366,79.525046,-9.686541,0.000177,0.000784,8.832499,5.481203,2581.899957,3032.14311,-2.298888,-0.084138,3.363745,-3.817073,1502.710533,1783.551722,0.095832,0.095881,10.763732,13.201334,NA
