"G1","G2","C","A","Bx","By","Bz","Error_G1","Error_G2","Error_C","Error_A","Error_Bx","Error_By","Error_Bz","MSE","Laser_Power","Laser_Detuning","Temp","PP"
108.27,143.71,0.057609,0.0013189,23.07,10.813,-209.28,637.94,882.41,6.246e-10,2.5522e-09,292.02,290.17,201.39,8.5646e-07,174.101672,2.794694,61.303005,0.13965
354.81,400.25,0.16672,0.0040588,3.1513,-6.8235,-344.06,305.92,137.8,2.1107e-09,2.439e-09,34.787,34.789,51.06,8.7179e-07,712.569749,6.70432,61.55787,0.057899
193.11,407.17,0.13613,0.0036736,4.8371,9.7123,179.33,138.5,252.73,1.2781e-09,3.5437e-09,44.615,44.617,81.215,1.047e-06,440.023184,-12.300171,62.299339,0.067855
162.39,302.93,0.072274,0.0031648,0.063109,-10.932,-226.51,120.02,211.52,8.4788e-10,2.9502e-09,50.547,50.551,68.403,8.7609e-07,241.818988,-0.314745,63.010936,0.1263
106.16,254.85,0.067224,0.0028951,1.1992,31.342,-260.77,87.425,314.02,6.7807e-10,4.1411e-09,66.661,66.907,100.89,9.9499e-07,216.25933,-1.215859,63.083103,0.14019
40.194,49.082,0.057891,0.00086938,-24.081,-27.485,-11.435,2674.9,3889.3,5.1773e-10,2.8084e-09,698.36,712.67,342.86,9.0916e-07,163.817739,9.497166,63.566134,0.13582
111.8,1.1212,0.080657,0.0070305,-4.8237,-984.63,1000.8,61096,6.1504,7.6512e-09,8.2946e-09,1223.8,5458.1,49.162,3.1025e-06,224.350758,-18.160183,63.576952,0.29148
-40.08,-0.48139,0.08067,0.0073915,-91.148,-1033.5,999.48,437510,63.543,9.2545e-09,1.0131e-08,1369.7,5633.7,50.534,3.8133e-06,224.350756,-18.160183,63.726177,0.27807
185.8,268,0.073769,0.0029264,11.76,0.12209,-136.9,211.83,225.31,1.0534e-09,2.9913e-09,67.373,67.366,65.432,9.7838e-07,247.778869,1.679067,63.923888,0.11622
282.31,1153.1,0.20187,0.008193,0.0072254,-13.894,706.05,109.94,700.86,5.109e-09,3.9586e-09,10.017,10.02,697.35,1.0273e-06,795.30184,-7.766075,64.097625,0.069483
436.3,586.2,0.1894,0.0053511,7.4196,-16.73,-223.19,417.56,204.66,4.8435e-09,4.0684e-09,26.253,26.261,62.073,1.136e-06,789.048544,7.409574,64.406279,0.055672
117.97,443.26,0.081701,0.002567,6.253,-11.2,313.31,102.53,701.14,7.4338e-10,4.4485e-09,79.181,79.185,298.41,9.4243e-07,241.276261,-10.614497,65.217264,0.10055
-0.11448,-0.0051258,0.15172,0.017744,-9.7684,-187.26,956.52,4923.2,9.8689,1.1284e-08,1.3145e-08,22.898,23.515,0.5563,2.5132e-06,513.814473,-18.652101,65.512288,0.14756
9037800,60.847,-1.4693,1.5572,-56.444,-1022.5,983.58,3.4041e-10,41.318,0.007968,0.0079687,238.71,1264.3,33.112,1.0796e-06,224.350753,-18.160183,65.592268,0.21046
103.18,190.74,0.087486,0.0016649,-3.6442,-8.5282,331.5,284.9,711.21,6.1518e-10,3.0353e-09,188.61,188.74,212.98,9.0374e-07,224.350763,-18.160183,66.017986,0.079845
65.801,0.010775,-0.18439,0.26961,5.5504,-434.04,1159.5,1.1505e-10,0.004259,2.5982,2.5982,500.04,1101.8,189.34,1.0286e-06,224.350758,-18.160183,66.149347,0.13431
61.445,90.423,0.084642,0.001519,18.172,42.404,131.55,389.73,771.82,4.4275e-10,2.6087e-09,185.29,199.57,121.62,7.6473e-07,224.35076,-18.160183,66.158341,0.086257
107,387.74,0.085379,0.0045143,10.379,37.358,-156.36,49.119,323.68,1.0851e-09,8.39e-09,41.538,41.583,103.84,1.5464e-06,269.901717,-7.339963,66.894057,0.16198
116.45,461.59,0.079958,0.0025146,6.0404,-21.439,381.47,109.79,840.66,8.0256e-10,4.628e-09,88.704,88.724,427.86,1.01e-06,238.496594,-11.889303,66.970706,0.10459
1.6257,0.018431,0.080834,0.0054745,-49.728,-302.91,970.27,6.3288e-08,1.4531e-06,5.9217e-09,5.7385e-09,156.12,166.34,0.99917,9.5202e-07,224.35076,-18.160183,67.086289,0.13726
328.51,894.54,0.15172,0.0090459,7.4176,-1.4975,-119.81,93.253,250.85,4.7491e-09,3.9078e-09,8.7634,8.7628,53.075,1.155e-06,612.55681,-4.982122,68.095872,0.085156
62.385,135.66,0.065281,0.0016344,-23.883,5.4602,278.04,258.66,1051,5.6375e-10,4.4096e-09,227.19,220.22,239.09,1.069e-06,174.186116,-14.977656,69.397008,0.12456
145.93,372.67,0.064532,0.0040001,17.499,-3.4017,-6.5753,66.036,195.69,8.6076e-10,3.9939e-09,32.938,32.933,57.07,9.4432e-07,203.536116,-2.669614,69.537592,0.13875
61.702,177.3,0.058824,0.0014282,15.988,21.767,163.43,226.76,1466,4.9236e-10,5.4906e-09,262.59,264.96,352.69,9.8594e-07,154.129926,-13.290805,69.551902,0.12855
131.98,223.74,0.053635,0.0028802,-2.1452,-15.737,-69.248,135.35,237.07,7.7238e-10,3.4417e-09,66.029,66.078,62.604,9.5791e-07,153.53391,1.016769,69.754679,0.15158
114.16,268.54,0.061359,0.0036378,12.959,17.412,16.974,67.854,214.01,7.7371e-10,4.8178e-09,45.101,45.118,58.924,1.0731e-06,190.703395,-4.751603,69.813982,0.16311
90.207,122.41,0.058509,0.0016677,29.19,-21.109,-33.734,472.28,721.59,7.0996e-10,3.4719e-09,223.11,220.84,140.34,1.0601e-06,152.644273,8.433409,69.919917,0.12508
165.87,530.01,0.087758,0.0045885,14.504,6.1173,82.753,68.002,281.97,1.2034e-09,4.2631e-09,27.824,27.822,80.64,1.0495e-06,282.948023,-7.741816,70.099693,0.10823
218.23,539.16,0.082034,0.0028075,17.728,-26.762,269.83,321.73,740.11,1.781e-09,3.6115e-09,83.542,83.562,268.54,1.1327e-06,249.052468,8.206997,70.210569,0.11667
0.90612,0.01706,0.079405,0.0057483,14.113,57.963,635.06,2.3439e-09,1.5475e-06,7.4283e-09,7.0492e-09,152.92,153.37,1.4286,1.7011e-06,224.350763,-18.160183,70.859754,0.17151
26.791,68.648,0.10956,0.017258,-0.99878,18.784,-320.03,22.924,147.5,4.3296e-09,4.8532e-08,18.982,20.14,20.858,1.0405e-05,431.473368,-1.053487,70.936998,0.28081
105.21,323.26,0.072123,0.0026459,19.803,11.017,238.18,74.922,390.53,5.4944e-10,3.908e-09,63.718,63.682,134.15,8.0596e-07,203.635792,-11.13875,71.408364,0.10503
