"G1","G2","C","A","Bx","By","Bz","Error_G1","Error_G2","Error_C","Error_A","Error_Bx","Error_By","Error_Bz","MSE","Laser_Power","Laser_Detuning","Temp","PP"
345.27,916.34,0.1559,0.0060624,5.0699,-7.7427,-124.48,39.979,101.06,8.8984e-10,6.9337e-10,3.328,3.3281,21.01,1.9427e-07,560,-4,61.104156,0.050021
406.9,1076.9,0.17641,0.0080139,6.4485,-0.86551,-102.93,50.662,132.4,1.8599e-09,1.2729e-09,2.6236,2.6235,22.532,2.5047e-07,680,-3,62.833348,0.055721
0.055414,0.13448,0.1549,0.027387,0.24685,27.085,-402.23,494120,2911400,1.7367e-08,3.0026e-07,24.98,27.334,23.759,3.2889e-05,620,-2,68.963738,0.28494
376.96,773.82,0.16517,0.010208,9.5246,7.8423,-232.86,26.3,34.259,1.4381e-09,1.158e-09,1.9963,1.9963,9.6524,3.246e-07,660,-4,69.495075,0.071372
287.67,384.89,0.18606,0.014651,3.6288,-36.433,-317.59,188.67,130.18,1.9912e-08,2.942e-08,31.634,31.667,47.657,1.0832e-05,620,10,85.679747,0.25831
276.34,1054.2,0.19614,0.031762,13.514,1.1194,435.37,2.8801,18.33,2.1611e-09,1.8425e-09,0.34189,0.34182,7.8476,5.5482e-07,670,-10,86.601936,0.15548
263.23,535.81,0.10933,0.032177,3.3527,3.6287,-261.23,1.4692,2.1203,9.131e-10,1.3782e-09,0.26742,0.26742,0.73834,4.6357e-07,420,0,86.78306,0.28893
262.24,496.43,0.10778,0.034092,3.9365,3.0415,-277.41,1.5044,1.9142,1.0246e-09,1.6028e-09,0.28208,0.28208,0.68814,5.4625e-07,420,0,87.422119,0.30967
203.6,336.39,0.095883,0.031263,2.3044,5.6774,-241.36,1.1743,1.442,7.0395e-10,1.7468e-09,0.34929,0.3493,0.48115,5.7755e-07,370,3,90.3091,0.34394
198.67,295.65,0.096635,0.030852,2.7994,4.6566,-252.9,1.2543,1.3602,7.0578e-10,1.774e-09,0.38247,0.38247,0.44413,6.0938e-07,370,3,90.802064,0.33803
245.61,392.84,0.11181,0.042234,1.4422,4.9802,-292.71,1.4864,1.5147,1.5002e-09,2.7436e-09,0.32696,0.32697,0.54864,9.6424e-07,480,3,92.1587,0.38298
216.41,299.58,0.1064,0.039564,0.85957,3.1762,-269.79,1.5229,1.3926,1.3238e-09,2.9279e-09,0.40714,0.40714,0.46223,1.0511e-06,480,5,93.990542,0.39323
241.95,391.48,0.10353,0.046848,1.5801,-0.72303,-288.61,1.628,1.7067,2.043e-09,3.8256e-09,0.3673,0.3673,0.61524,1.3367e-06,480,3,94.574936,0.45236
220.64,312.26,0.10848,0.040456,1.3392,2.7229,-280.78,1.6794,1.5637,1.5363e-09,3.3064e-09,0.43959,0.43959,0.53149,1.1861e-06,480,5,94.986128,0.38697
210.18,290.51,0.10372,0.041517,1.7385,2.1828,-285.18,1.3858,1.3051,1.3447e-09,3.0596e-09,0.38923,0.38923,0.43712,1.105e-06,480,5,95.220016,0.42402
