"Temperature (C) ","Detuning (GHz) ","Laser Power (uW) ","Cost filtered (V/nT)","Cost unfiltered (V/nT)","Loop","Run_number","C(1D)","A(1D)","G(1D)","By(1D)","Error C(1D)","Error A(1D)","Error G(1D)","Error By(1D)","G1(2D)","G2(2D)","C(2D)","A(2D)","Bx(2D)","Bz(2D)","Error G1(2D)","Error G2(2D)","Error C(2D)","Error A(2D)","Error Bx(2D)","Error Bz(2D)","NA"
"71.375000","5.000000","500.000000","0.000464","0.000464","1.000000","2.000000","1.854601","0.135962","292.970031","1.909137","0.001082","0.001360","6.322957","2.562735","4423.862865","4110.136225","-3.407858","-1.472504","-4.327482","-272.996366","1752.678029","1720.797087","1.199739","1.199524","10.825421","14.378477",NA
"72.750000","5.000000","500.000000","0.000499","0.000499","1.000000","3.000000","1.825566","0.144295","289.372806","-7.673337","0.000764","0.000973","4.201545","1.716525","2300.917587","2536.438260","-2.538330","-0.620608","3.074186","-265.106369","483.821208","562.973087","0.260238","0.260243","9.992383","15.476640",NA
"74.125000","5.000000","500.000000","0.000525","0.000525","1.000000","4.000000","1.806570","0.156499","298.022524","-14.275456","0.000840","0.001038","4.274588","1.713682","901.183284","1189.101978","-2.082539","-0.169822","-1.688412","-288.175061","107.726114","111.408279","0.026612","0.027101","9.294568","16.851641",NA
"75.500000","5.000000","500.000000","0.000611","0.000611","1.000000","5.000000","1.794191","0.171920","281.536307","-9.688069","0.000781","0.001024","3.596114","1.494646","521.079263","824.363244","-2.012441","-0.097109","-3.850941","-278.970656","73.183576","70.017267","0.012744","0.013728","8.693193","16.797727",NA
"76.875000","5.000000","500.000000","0.000698","0.000698","1.000000","6.000000","1.787308","0.197673","282.998603","-4.656491","0.000816","0.001064","3.268354","1.353999","361.766382","710.757883","-2.007652","-0.082160","-5.479473","-288.893036","60.688298","65.874242","0.011637","0.012920","8.409306","18.146041",NA
"78.250000","5.000000","500.000000","0.000792","0.000792","1.000000","7.000000","1.783738","0.222121","280.395539","-3.539009","0.001057","0.001391","3.763069","1.567820","186.526712","502.680295","-1.993376","-0.048454","-6.297126","-285.083950","51.389782","62.889523","0.008682","0.010676","8.806121","19.444942",NA
"79.625000","5.000000","500.000000","0.000883","0.000883","1.000000","8.000000","1.784285","0.249097","282.053135","-9.137511","0.001119","0.001464","3.554435","1.475643","203.880939","526.178048","-2.022247","-0.059205","-4.870194","-287.057405","50.242240","60.218780","0.009788","0.011863","8.408926","18.615757",NA
"81.000000","5.000000","500.000000","0.001011","0.001011","1.000000","9.000000","1.784673","0.282799","279.675479","-8.363045","0.001171","0.001545","3.272768","1.365757","139.254044","453.748344","-2.039474","-0.050727","-2.549255","-293.912158","44.839056","63.439551","0.010139","0.012725","8.509504","19.840844",NA
"82.375000","5.000000","500.000000","0.001144","0.001144","1.000000","10.000000","1.780201","0.319037","278.797581","-4.877365","0.001450","0.001920","3.591077","1.501399","127.328684","449.629464","-2.067228","-0.055686","-2.817453","-294.102315","42.350717","64.754622","0.011617","0.014473","8.321466","20.309115",NA
"83.750000","5.000000","500.000000","0.001241","0.001241","1.000000","11.000000","1.774096","0.349259","281.332930","-7.371431","0.001298","0.001703","2.940826","1.222789","197.901130","516.820163","-2.106924","-0.081988","-6.846964","-291.960640","48.688518","58.489471","0.013332","0.016267","8.254872","18.244384",NA
"85.125000","5.000000","500.000000","0.001406","0.001406","1.000000","12.000000","1.751828","0.393491","279.771490","-5.529127","0.001851","0.002442","3.719419","1.551769","281.265983","619.561380","-2.159836","-0.127576","-1.357510","-287.813626","49.786539","55.668874","0.017055","0.019676","7.539333","16.509681",NA
"86.500000","5.000000","500.000000","0.001510","0.001510","1.000000","13.000000","1.733728","0.419565","277.834353","-13.175445","0.002171","0.002886","4.087548","1.712782","385.977049","690.646683","-2.203741","-0.173314","-4.606830","-284.403249","57.245406","55.061668","0.020518","0.023160","7.713194","15.365441",NA
"87.875000","5.000000","500.000000","0.001711","0.001711","1.000000","14.000000","1.695945","0.474812","277.433159","-8.685045","0.001881","0.002503","3.128044","1.311759","454.112334","755.765832","-2.244984","-0.222189","-0.118596","-287.808420","61.402101","58.101640","0.025813","0.028423","7.807620","15.322278",NA
"89.250000","5.000000","500.000000","0.001789","0.001789","1.000000","15.000000","1.669394","0.495885","277.254497","-10.658140","0.002342","0.003120","3.730503","1.565063","542.298031","808.509846","-2.281608","-0.274866","-3.252979","-285.970722","65.270723","57.369939","0.029529","0.032074","7.717308","14.283062",NA
"90.625000","5.000000","500.000000","0.001914","0.001914","1.000000","16.000000","1.615280","0.539185","281.641893","-13.329623","0.003432","0.004497","5.036750","2.093091","651.048779","900.582259","-2.343255","-0.360316","-1.320053","-290.313473","70.481491","61.656788","0.038173","0.040472","7.706224","13.904091",NA
"92.000000","5.000000","500.000000","0.002183","0.002183","1.000000","17.000000","1.573741","0.583642","267.360575","-12.141887","0.002422","0.003355","3.262138","1.398271","772.367479","1004.287291","-2.428641","-0.473359","-4.154376","-292.366807","71.986791","63.805786","0.047664","0.049556","7.209363","12.681656",NA
"93.375000","5.000000","500.000000","0.002330","0.002330","1.000000","18.000000","1.510047","0.622531","267.181949","-17.032291","0.003937","0.005458","4.971154","2.131881","694.543148","935.928634","-2.377216","-0.447295","-2.318374","-282.334684","74.853217","65.673246","0.049033","0.051607","7.860314","13.932628",NA
"94.750000","5.000000","500.000000","0.002547","0.002547","1.000000","19.000000","1.453351","0.668759","262.518314","-13.716829","0.003229","0.004563","3.786557","1.640131","808.828698","1044.044741","-2.482838","-0.588419","-0.926039","-284.339812","77.281635","70.316575","0.063609","0.065755","7.434995","12.993864",NA
"96.125000","5.000000","500.000000","0.002698","0.002698","1.000000","20.000000","1.397487","0.704510","261.084552","-17.472769","0.004864","0.006914","5.409269","2.350439","775.037903","984.716538","-2.414394","-0.557514","-1.332577","-285.180936","79.944761","68.007442","0.060441","0.063093","7.987368","13.690849",NA
"97.500000","5.000000","500.000000","0.003032","0.003032","1.000000","21.000000","1.327154","0.770035","253.992201","-11.779356","0.002770","0.004058","2.807874","1.238603","950.934233","1136.141643","-2.596621","-0.784459","-4.146665","-290.196660","85.251009","75.398881","0.084466","0.086439","7.538862","12.583463",NA
