"Temperature (C) ","Detuning (GHz) ","Laser Power (uW) ","Sensitivity (V/sqrtHz)","Cost unfiltered (V/nT)","Loop","Run_number","C(1D)","A(1D)","G(1D)","By(1D)","Error C(1D)","Error A(1D)","Error G(1D)","Error By(1D)","G1(2D)","G2(2D)","C(2D)","A(2D)","Bx(2D)","Bz(2D)","Error G1(2D)","Error G2(2D)","Error C(2D)","Error A(2D)","Error Bx(2D)","Error Bz(2D)","NA"
"94.79999999999999710000","3.75000000000000000000","799.99999999999999900000","0.00000000015919331358","0.00229145509097817765","2.00000000000000000000","310.00000000000000000000","1.79314442504032878000","0.99594536853013815300","434.63446979665150100000","1.80998412091891092000","0.00611607514516334869","0.00571111741618241398","4.97388988450895652000","1.44393861841877702000","192.38972342051894800000","649.42443252975942800000","-2.94050831055359474000","-0.34159869306975970700","-7.12767306167469971000","-433.31785804832259100000","16.28546657079830950000","29.33702930941426240000","0.02461168471589997640","0.02715519107724249580","3.30684317044413323000","12.19146554284727200000",NA
"94.79999999999999710000","4.37500000000000000000","799.99999999999999900000","0.00000000013655513953","0.00227354461517447447","2.00000000000000000000","311.00000000000000000000","1.83372273994964030000","0.95302903504717495500","419.18202470552284900000","2.52043883186519180000","0.00535331865769615722","0.00507156408312784465","4.54277606552718716000","1.36798718223607474000","215.78930798536382000000","671.29160489889477400000","-2.95054775184944606000","-0.35047303954122732700","-5.63054947175574316000","-428.39472551914752700000","17.50571251988813870000","29.63888975534148780000","0.02462643121756887340","0.02704874623806839340","3.39373783197495005000","11.88605469400445530000",NA
"94.79999999999999710000","5.00000000000000000000","799.99999999999999900000","0.00000000014969070425","0.00222180778882604801","2.00000000000000000000","312.00000000000000000000","1.86407968012072911000","0.90807652320065168600","408.71065794600457300000","-3.74163524941103542000","0.00496817278931447042","0.00476190738590838783","4.41964828780828167000","1.36425240559862115000","215.63875265353155400000","649.67980509215317300000","-2.92370073858924018000","-0.31764794317159406000","-8.22888392589002748000","-426.35285098666554400000","17.94083393380158850000","28.75305329432510250000","0.02204028776640060830","0.02447451500684692800","3.49203201172318289000","11.56565983574833470000",NA
"94.79999999999999710000","5.62500000000000000000","799.99999999999999900000","0.00000000012296095679","0.00224347208165271523","2.00000000000000000000","313.00000000000000000000","1.93139998211505048000","0.85773567735114353300","382.32509526896762900000","-1.03084490425470143000","0.00437835060092285795","0.00435453210211935761","4.10954438675484113000","1.34952659523814056000","244.41144405399055000000","674.15157791137426000000","-2.93502091993630509000","-0.32681877767864620000","-7.06745179065974937000","-422.53314265395511000000","19.26069622059632630000","28.84442264527825020000","0.02186410230561124100","0.02414682437083860360","3.56766120837949874000","11.21655814483324140000",NA
"94.79999999999999710000","6.25000000000000000000","799.99999999999999900000","0.00000000011926026587","0.00210443220998908498","2.00000000000000000000","314.00000000000000000000","1.98118925883798558000","0.82137978453860027700","390.30945289649434900000","0.26726274135176036900","0.00425600521477433828","0.00418065710687152720","4.17618138596529498000","1.34603020755189173000","258.82129681107744500000","680.82124448817353300000","-2.93384349467632521000","-0.31836302869124683000","-7.88375226376690196000","-422.50178662272122600000","20.37120914309183920000","29.20033866879285250000","0.02123915375942736840","0.02345756951205660650","3.69826727234287178000","11.24635571682945570000",NA
"94.79999999999999710000","6.87500000000000000000","799.99999999999999900000","0.00000000009319434109","0.00209012636742296996","2.00000000000000000000","315.00000000000000000000","2.03059511106085866000","0.76476909891182209800","365.89610601140225300000","-4.03174524359346797000","0.00405982437566167632","0.00415720265801335868","4.26275735339432682000","1.45445081446064828000","283.68372077479438000000","695.05059312722630600000","-2.92920737181350654000","-0.31372419824385328100","-5.82730222480624338000","-413.30038630546749800000","22.20639465124619250000","29.93747240865401690000","0.02093394634680798010","0.02306810974198126450","3.85811803171939127000","11.08761709005687910000",NA
"94.79999999999999710000","7.50000000000000000000","799.99999999999999900000","0.00000000012190581298","0.00213028401714406490","2.00000000000000000000","316.00000000000000000000","2.06401738716137428000","0.73362416902489646600","344.37857258508626000000","-3.93944751525730918000","0.00421031758791481307","0.00451444749620830404","4.58943037864327507000","1.64563260984983106000","301.54630124486965300000","701.61413979481233100000","-2.92577288969153981000","-0.30273138459598691900","-7.60689470274393997000","-405.31585025621689000000","23.44032663996964410000","30.09367386342205110000","0.02002208911837698520","0.02206232332427419600","3.94833608667484759000","10.83238411625170980000",NA
"94.79999999999999710000","8.12500000000000000000","799.99999999999999900000","0.00000000011007633212","0.00201523068574198600","2.00000000000000000000","317.00000000000000000000","2.11578225619862970000","0.68320395132291333900","339.02022044258677600000","0.96497988656702160500","0.00287544601000176790","0.00312322031542445425","3.36166894159313090000","1.22026541906351493000","321.87743810954219700000","716.59646226605480000000","-2.92148365402102827000","-0.29734363169904470800","-5.23055745272001182000","-404.89456168534167000000","24.64587365301290590000","30.60497837382137470000","0.01955975504760355120","0.02147521288098861590","4.04614722839964003000","10.84281442920189240000",NA
"94.79999999999999710000","8.75000000000000000000","799.99999999999999900000","0.00000000011641496866","0.00189840767614175843","2.00000000000000000000","318.00000000000000000000","2.15395940649055761000","0.64616661833299415800","340.37294857879800200000","-7.28885467297879774000","0.00418760222731835111","0.00453367253191459905","5.17805248257148420000","1.87393652878516681000","333.40321584410884200000","722.72641365567585500000","-2.91680401313714643000","-0.28472170230179333300","-7.91156826558668502000","-400.02076948478236300000","25.80396052718961640000","31.32147100488486300000","0.01898425567252307040","0.02081977114767350960","4.15904716172831801000","10.89545260346504030000",NA
"94.79999999999999710000","9.37500000000000000000","799.99999999999999900000","0.00000000008386360021","0.00185214973589023870","2.00000000000000000000","319.00000000000000000000","2.19621600968180575000","0.60709459032618207100","327.77835320878153800000","1.95845145266391030000","0.00312108996352500204","0.00349013194682242607","4.09518073129222504000","1.52516810543802994000","380.22095288989919400000","748.44810388784105600000","-2.91853265270990691000","-0.28549850793830849900","-5.78051632711662400000","-387.41947368928987300000","28.24734145411418490000","31.64258388753104250000","0.01849751939855700730","0.02018199910299551400","4.26713229601372745000","10.39680704010821620000",NA
