"Temperature (C) ","Detuning (GHz) ","Laser Power (uW) ","G(1D)","C(1D)","A(1D)","By(1D)","Error G(1D)","Error C(1D)","Error A(1D)","Error By(1D)","G1(2D)","G2(2D)","C(2D)","A(2D)","Bx(2D)","Bz(2D)","Error G1(2D)","Error G2(2D)","Error C(2D)","Error A(2D)","Error Bx(2D)","Error Bz(2D)","Sensitivity (T/sqrt(Hz)","Run Number"
113.565161,12.758491,1962.244539,269.8,0.26703,3.4455,-16.139,9.4127,0.00018347,0.00033816,1.6924,40350,-0.47058,1.9558,1.7765,-847.53,-0.72273,4.8983e-09,34.482,0.00056563,0.00079823,49.42,20.224,67.588,1
134.58021,11.817868,1974.023077,276.41,0.16714,3.5423,-16.694,10.457,0.00021413,0.00037484,1.8265,-2.4012,-0.89695,2.7142,2.6012,-11.142,-0.037518,4595600,641170,0.0014556,0.001781,80.18,33.11,67.569,2
134.58021,4.298834,1895.415835,294.37,-0.20472,3.2385,-15.36,15.95,0.00026905,0.00041329,2.5728,-75.114,-32.577,1.8999,1.8087,-5.9129,-0.70863,4083.4,758.83,0.0011131,0.0018231,117.3,29.268,67.644,3
134.58021,12.362341,1802.308626,243.83,0.2297,3.1023,-17.226,10.971,0.00017839,0.00041004,2.2074,3107.7,-0.01883,1.6824,1.4521,-367.86,-0.31117,3.836e-11,1.0504,0.00044574,0.00062375,9.7383,71.79,67.611,4
134.58021,-2.596981,1615.829577,687.86,2.7255,1.7979,5.381,331.63,0.001566,0.0013139,8.333,6745.5,1.0577,4.0876,4.4589,718.5,2.9521,2.9042e-09,0.11855,0.00023548,0.0063956,223.33,0.28011,50.307,5
99.687267,11.817868,1974.023077,277.78,0.15819,3.4644,-16.08,9.8528,0.00019275,0.00033389,1.7105,-154.12,-37.138,2.4388,2.3354,-7.7681,-0.089169,19818,1126.2,0.0011971,0.0013637,138.54,37.938,67.565,6
134.58021,11.817868,1974.023077,275.67,0.15685,3.5359,-18.044,9.1387,0.00018658,0.00032849,1.6015,894.91,-0.96126,1.0799,0.29924,-2401.5,-51.445,25683000,29.777,0.00087131,0.00035967,4588.2,0.25777,67.579,7
134.58021,11.817868,1974.023077,275.59,0.16032,3.5647,-15.588,9.1048,0.00018894,0.0003328,1.5959,1074.8,-1.6786,1.5948,0.37,-2020.1,-68.032,60212000,148.24,0.00079092,0.00026653,7909.6,0.0087988,67.588,8
134.58021,11.817868,1974.023077,277.18,0.15835,3.5621,-14.614,8.0906,0.00016742,0.0002913,1.4082,10.296,2.5554,2.5048,2.3977,-11.363,0.0053678,2955300,181790,0.0012897,0.0023129,126.93,27.771,67.616,9
134.58021,5.832488,1391.474717,412.54,0.43735,2.9445,-20.785,43.063,0.00057127,0.00052069,4.0379,3589.4,-1.313,2.9356,1.6525,-666.91,8.2678,1.0375e+11,13849,0.00048287,0.0006093,88.241,1.3572,58.279,10
96.698198,11.817868,1974.023077,282.69,0.15839,3.4315,-16.399,9.2895,0.00017755,0.00029646,1.5783,104.15,33.268,2.577,2.4792,-6.613,-0.31896,7722.5,775.84,0.0012795,0.0016396,98.006,31.29,67.621,11
134.58021,11.817868,1974.023077,251.94,0.078434,3.4839,-19.46,13.443,0.00027295,0.00058387,2.6123,9069.9,-0.01177,0.90695,-1.1614,62587,-161.73,1.7913e-15,5.8217e-07,0.00075696,0.0083565,6.8969e-13,6.4916,68.586,12
134.58021,10.128572,1993.314022,285.44,0.01394,3.643,-15.437,12.041,0.00025879,0.00042344,2.0208,80.986,38.774,2.7569,2.6494,-6.3077,-0.92977,1566.4,348.12,0.0015881,0.0019761,74.489,29.832,67.602,13
134.58021,11.817868,1974.023077,277.18,0.16614,3.5576,-17.936,12.015,0.00024798,0.00043158,2.0916,79.154,32.678,2.7797,2.6629,-7.9795,-0.38789,3142.3,528.16,0.001523,0.0019928,78.62,28.763,67.607,14
134.58021,4.704971,1392.920432,461.08,0.43245,3.1177,-2.1771,9.0801,0.00013394,0.00011264,0.67466,1054500,-21851,0.94794,-0.0042151,36118,-4975.2,2.32,534710,0.00081581,8.5608e-06,168600,41618,58.205,15
115.745481,11.817868,1974.023077,276.08,0.16699,3.5132,-16.774,10.832,0.00021823,0.00038299,1.8947,3392.2,-0.085288,1.902,1.6676,-816.44,1.2399,3.271e-10,0.30904,0.00058262,0.00079697,63.909,16.456,67.574,16
134.58021,11.817868,1974.023077,274.45,0.16092,3.5424,-16.216,10.918,0.00022397,0.00039801,1.9234,-123.08,-43.305,2.7188,2.6143,-4.9655,-0.88191,3888.8,462.31,0.0014445,0.0018679,94.575,29.681,67.555,17
134.58021,11.817868,1974.023077,277.26,0.15482,3.582,-16.179,7.5919,0.00015885,0.00027625,1.3211,4.6566,2.0209,2.811,2.6993,-8.3,-0.010549,485410,91425,0.0015052,0.0016601,67.273,34.212,67.588,18
