"Temperature (C) ","Detuning (GHz) ","Laser Power (uW) ","G(1D)","C(1D)","A(1D)","By(1D)","Error G(1D)","Error C(1D)","Error A(1D)","Error By(1D)","G1(2D)","G2(2D)","C(2D)","A(2D)","Bx(2D)","Bz(2D)","Error G1(2D)","Error G2(2D)","Error C(2D)","Error A(2D)","Error Bx(2D)","Error Bz(2D)","Run Number"
135,0,1000,24246,-0.046216,0.046842,121.55,4.3291e-14,0.00073333,0.00073345,2.142e-10,-0.013343,-141.5,-0.0017467,-0.0023676,-136.7,229.83,24.85,0.016591,0.7552,0.7552,3.1521e-08,1.4272e-06,1
135,0,1466.666667,53.272,0.00079822,2.254e-05,-14.971,1897.1,2.0581e-11,9.341e-11,501.17,19407,493.71,0.00089626,0.00010336,-91.148,-685,0.08183,887.54,1.122e-12,1.6405e-11,1.5305,16.772,2
135,0,1933.333333,-8.2985,0.0011002,5.9665e-05,-23.654,23.237,7.0792e-12,5.4947e-10,10.632,1.0571,5.8654,0.0011115,1.9394e-05,49.355,60.802,10.592,309.01,4.5923e-12,5.3807e-12,199.6,599.5,3
135,0,2400,-17.768,0.0014385,4.6102e-05,1.3679,105.05,9.8622e-12,2.9086e-10,43.226,0.010208,0.093472,0.0014628,2.8273e-05,19.425,-180.87,1.0583e-05,0.00032937,5.5546e-12,5.9814e-12,52.865,385.54,4
135,0,2866.666667,45.295,0.0017423,7.5237e-05,8.2647,135.91,1.7828e-11,1.1265e-10,39.886,-0.23486,-2.0361,0.001793,3.8517e-05,6.7726,-119.4,2.952,221.85,5.6599e-12,6.1143e-12,41.196,187.21,5
135,0,3333.333333,37.576,0.0020796,9.256e-05,17.197,63.473,1.4011e-11,1.2635e-10,20.58,0.00026208,0.0026812,0.0021427,6.6195e-05,8.9582,-128.95,1.1031e-05,0.0011571,6.2411e-12,6.6142e-12,5.1428,108.52,6
135,0,3800,10.435,0.002388,0.00047503,-0.46968,0.65283,1.0257e-11,6.0466e-10,0.29181,0.0011738,0.018723,0.0024857,0.00010168,7.3604,-218.75,1.5188e-06,0.00038757,7.5206e-12,7.6901e-12,1.9915,34.827,7
135,0,4266.666667,-6.8193,0.0022466,0.05747,-1.3855,0.034091,1.1571e-08,1.1268e-06,0.015906,-0.0031068,0.34087,0.026985,0.024191,1434.2,164.28,0.2451,3.3064e-05,9.2433,9.2432,7.5996,18389,8
135,0,4733.333333,75.117,-0.00069679,0.034866,7.1876,2.3602,5.3881e-08,1.1559e-07,0.45935,-9.1458e-07,-0.0028008,0.065658,0.063336,2.3763,-995.83,3.4871e-15,1.9463e-09,1.7668e-06,1.7277e-06,0.070509,4.4793e-07,9
135,0,5200,-21.138,-0.0010926,0.17179,-8.2328,0.29306,3.3309e-07,7.673e-06,0.11598,461420,-258410000,0.073957,0.054424,22641000,134200000,8.419e-28,2.3894e-32,2.6445e-07,2.6471e-07,8.1183e-35,3.9814e-32,10
