"Temperature (C) ","Detuning (GHz) ","Laser Power (uW) ","Cost filtered (V/nT)","Cost unfiltered (V/nT)","Loop","Run_number","C(1D)","A(1D)","G(1D)","By(1D)","Error C(1D)","Error A(1D)","Error G(1D)","Error By(1D)","G2(2D)"
"117.000000","9.000000","709.000000","0.007420","0.007420","2.000000","37.000000","0.702897","1.307505","176.203539","-13.431117","0.004117","0.008976","2.291363","1.186574","176.203539"
"115.000000","-7.500000","609.000000","0.003559","0.003559","2.000000","38.000000","0.463736","1.200054","337.179785","-5.934047","0.010975","0.012074","7.367125","2.705424","337.179785"
"121.000000","9.000000","748.000000","0.009967","0.009967","2.000000","39.000000","0.527766","1.574917","158.013405","-13.806755","0.005647","0.013764","2.540366","1.363291","158.013405"
"120.000000","-13.500000","796.000000","0.003604","0.003604","2.000000","40.000000","0.890141","1.307807","362.848999","5.943089","0.010535","0.010928","6.523681","2.259696","362.848999"
"110.000000","-18.000000","636.000000","0.003078","0.003078","3.000000","41.000000","1.981851","0.878872","285.531471","9.044454","0.006228","0.008043","5.616025","2.313857","285.531471"
"109.000000","-12.500000","874.000000","0.003691","0.003691","3.000000","42.000000","2.116536","1.457160","394.810115","3.605576","0.018988","0.018632","10.605880","3.412439","394.810115"
"109.000000","-12.500000","874.000000","0.002995","0.002995","3.000000","43.000000","2.156534","1.355595","452.664515","-17.500737","0.019195","0.017745","11.597199","3.261278","452.664515"
"110.000000","-18.000000","636.000000","0.002980","0.002980","3.000000","44.000000","1.939352","0.861265","289.001416","8.756971","0.005317","0.006781","4.899878","2.003493","289.001416"
"115.000000","-7.500000","816.000000","0.003807","0.003807","3.000000","45.000000","0.823410","1.510632","396.791887","-3.905077","0.016355","0.016002","8.814061","2.822913","396.791887"
"115.000000","-7.500000","609.000000","0.003009","0.003009","3.000000","46.000000","0.379175","1.145598","380.669951","-36.783766","0.012317","0.012380","8.741303","2.913626","380.669951"
"120.000000","-13.500000","796.000000","0.003561","0.003561","3.000000","47.000000","0.996776","1.235594","346.962646","8.962328","0.011065","0.011886","7.230107","2.597037","346.962646"
"109.000000","-12.500000","874.000000","0.000000","NaN","3.000000","48.000000","0.000000","0.000000","0.000000","0.000000","NaN","NaN","NaN","NaN","0.000000"
"115.000000","-14.500000","796.000000","0.003560","0.003560","3.000000","49.000000","1.497917","1.232365","346.126201","10.961828","0.008880","0.009558","5.816731","2.093458","346.126201"
"115.000000","-13.500000","796.000000","0.003544","0.003544","3.000000","50.000000","1.428402","1.198159","338.090089","-6.377960","0.015866","0.017415","10.669696","3.910194","338.090089"
"109.000000","7.000000","554.000000","0.004507","0.004507","3.000000","51.000000","0.794793","0.936377","207.778594","-9.421601","0.002042","0.003732","1.644152","0.798906","207.778594"
"120.000000","-7.500000","609.000000","0.000000","NaN","3.000000","52.000000","0.000000","0.000000","0.000000","0.000000","NaN","NaN","NaN","NaN","0.000000"
"116.000000","3.500000","793.000000","0.006645","0.006645","3.000000","53.000000","0.409432","1.743029","262.308267","-12.936465","0.006027","0.008523","2.711222","1.174866","262.308267"
"120.000000","-4.000000","796.000000","0.000000","NaN","3.000000","54.000000","0.000000","0.000000","0.000000","0.000000","NaN","NaN","NaN","NaN","0.000000"
"117.000000","9.000000","709.000000","0.008090","0.008090","3.000000","55.000000","0.690235","1.402315","173.347249","-12.099664","0.003131","0.006945","1.618927","0.843097","173.347249"
"115.000000","-19.500000","796.000000","0.003296","0.003296","3.000000","56.000000","2.006692","0.985827","299.071291","9.219003","0.008477","0.010439","6.850527","2.739683","299.071291"
"102.000000","7.000000","554.000000","0.003403","0.003403","3.000000","57.000000","1.246449","0.867528","254.940871","-12.628284","0.003649","0.005323","3.284344","1.445869","254.940871"
"121.000000","-13.500000","554.000000","0.003076","0.003076","3.000000","58.000000","0.561964","0.894254","290.675786","13.044539","0.007068","0.008961","6.277174","2.557467","290.675786"
"121.000000","9.000000","748.000000","0.010643","0.010643","3.000000","59.000000","0.510305","1.666486","156.583441","-13.885636","0.005960","0.014658","2.527692","1.360257","156.583441"
"109.000000","7.000000","796.000000","0.004558","0.004558","3.000000","60.000000","1.206534","1.289444","282.891356","-14.400604","0.004661","0.006080","2.862137","1.186193","282.891356"
"115.000000","-13.500000","523.000000","0.003057","0.003057","4.000000","61.000000","0.836835","0.856813","280.307253","7.135033","0.005728","0.007542","5.286454","2.203013","280.307253"
"115.000000","-13.500000","796.000000","0.002980","0.002980","4.000000","62.000000","1.328730","1.253631","420.629323","-30.506175","0.016175","0.015381","10.541125","3.200683","420.629323"
"108.000000","-14.500000","796.000000","0.003442","0.003442","4.000000","63.000000","2.132897","1.269062","368.687985","11.501100","0.010402","0.010668","6.645413","2.271628","368.687985"
"115.000000","-7.000000","796.000000","0.003893","0.003893","4.000000","64.000000","0.653900","1.531356","393.358269","7.323479","0.011201","0.011014","5.951993","1.921681","393.358269"
"120.000000","-13.500000","796.000000","0.003809","0.003809","4.000000","65.000000","0.899188","1.332129","349.686343","8.223529","0.009796","0.010456","5.940360","2.120544","349.686343"
"115.000000","-13.500000","796.000000","0.003447","0.003447","4.000000","66.000000","1.376958","1.285939","373.114207","-5.539795","0.013894","0.014129","8.765530","2.965479","373.114207"
"109.000000","-12.500000","874.000000","0.003551","0.003551","4.000000","67.000000","2.018819","1.454984","409.704960","-1.834730","0.019107","0.018377","10.707438","3.327640","409.704960"
"120.000000","-14.500000","796.000000","0.003465","0.003465","4.000000","68.000000","1.009271","1.229769","354.876319","10.524593","0.008515","0.008984","5.599582","1.975530","354.876319"
"115.000000","-7.500000","816.000000","0.003629","0.003629","4.000000","69.000000","0.747873","1.504337","414.544887","-0.955530","0.022225","0.021254","12.052817","3.703629","414.544887"
"120.000000","-13.500000","796.000000","0.003609","0.003609","4.000000","70.000000","0.922629","1.282975","355.484423","3.774944","0.010727","0.011301","6.761795","2.381876","355.484423"
"78.000000","7.000000","554.000000","0.000787","0.000787","4.000000","71.000000","2.025471","0.239424","304.284972","-5.872019","0.001075","0.001301","3.582548","1.416226","304.284972"
"109.000000","-12.500000","874.000000","0.003649","0.003649","4.000000","72.000000","1.904012","1.568768","429.934095","-2.058334","0.022928","0.021577","11.942380","3.539780","429.934095"
"109.000000","7.000000","796.000000","0.004630","0.004630","4.000000","73.000000","1.115622","1.336668","288.703278","-13.818092","0.005789","0.007392","3.437041","1.406434","288.703278"
"115.000000","-7.500000","874.000000","0.004175","0.004175","4.000000","74.000000","0.658903","1.747653","418.623068","3.475048","0.017584","0.016739","8.212080","2.499549","418.623068"
"116.000000","3.500000","793.000000","0.006685","0.006685","4.000000","75.000000","0.408528","1.722256","257.619390","-10.802959","0.005178","0.007467","2.351111","1.029084","257.619390"
"109.000000","-12.500000","816.000000","0.003554","0.003554","4.000000","76.000000","1.761028","1.458417","410.374666","8.639981","0.015393","0.014795","8.607280","2.671223","410.374666"
