"Temperature (C) ","Detuning (GHz) ","Laser Power (uW) ","C(1D)","A(1D)","G(1D)","By(1D)","Error C(1D)","Error A(1D)","Error G(1D)","Error By(1D)","G1(2D)","G2(2D)","C(2D)","A(2D)","Bx(2D)","Bz(2D)","Error G1(2D)","Error G2(2D)","Error C(2D)","Error A(2D)","Error Bx(2D)","Error Bz(2D)","Hanle (V/nT)","Demod (V/nT)","Sensitivity (T/sqrt(Hz)","Error Sensitivity","Run Number"
130,-30,1000,126.8190625,0.706035604,0.08019508,4.242663859,0.577169501,0.000191593,0.000180528,0.171583834,137.1560904,510.0904316,-0.825377988,-0.061528034,-0.188307642,-188.8029446,6.007016066,10.91402213,0.001529272,0.001654454,2.446058075,5.743691578,0.000632358,-9.81166e-05,5.82015e-12,2.79743e-12,1
130,-30,2000,60.33258567,1.499998687,0.31666147,3.051395656,0.379936674,0.000541618,0.001009607,0.186016609,111.2778098,374.0109634,-1.841616923,-0.152179673,-1.290428068,-167.8667287,4.915331109,6.844935772,0.002650593,0.00353743,1.944617046,4.628746628,0.005248598,-0.000739915,1.22636e-12,4.09778e-13,2
130,-30,3000,64.266301,2.175296313,0.602230495,0.611974386,0.4891661,0.001310194,0.002278832,0.233027352,98.73939565,366.0885434,-2.815665866,-0.284306355,-1.498288535,-204.5684082,4.27012087,6.635098584,0.005031153,0.006697103,1.850401195,4.642264888,0.00937086,-0.001631708,7.28631e-13,1.61646e-13,3
130,-30,4000,73.90640408,2.836227996,0.930419727,1.322797253,0.629977976,0.002546636,0.003795377,0.280255985,88.51258306,366.5430771,-3.843846962,-0.449239438,-1.996393369,-257.2993522,3.705373175,6.537560249,0.008115704,0.010586409,1.775088141,4.72385462,0.012589162,0.002217785,6.98832e-13,1.51111e-13,4
130,-30,5000,83.03513023,3.512116372,1.299188903,2.057953491,0.808825043,0.004494012,0.005904562,0.336655156,80.4587676,364.4557031,-4.932229753,-0.634346408,-2.317379904,-312.7580229,3.299081851,6.394011097,0.011511167,0.014892939,1.714829227,4.798699724,0.015646256,0.002951119,6.57184e-13,1.24958e-13,5
130,-30,6000,91.85520227,4.158799479,1.683237221,2.751673587,0.985295395,0.007014854,0.008319207,0.384024769,73.41038687,364.5393553,-6.014177309,-0.830491666,-2.661127263,-366.1484015,2.939327057,6.278679308,0.015143992,0.019349581,1.660193184,4.899805922,0.018324898,0.003579344,5.95626e-13,9.91274e-14,6
130,-30,7000,99.77598933,4.811846503,2.091312551,3.620225437,1.145673415,0.010059715,0.011060672,0.420522303,66.48145902,363.3293816,-7.12659376,-1.03066357,-2.917961076,-421.2562223,2.613962921,6.162366325,0.018901676,0.023909834,1.610155177,5.037062852,0.020960078,0.004134898,5.99394e-13,1.33588e-13,7
130,-30,8000,107.4090548,5.435897592,2.490597126,4.330337669,1.289813519,0.013414908,0.013906969,0.446473478,60.46503835,359.9105599,-8.192278162,-1.212905759,-3.175918967,-475.5180804,2.35986153,6.04281461,0.02231366,0.028120396,1.571625272,5.195087111,0.023187962,0.004590078,6.90723e-13,1.39985e-13,8
130,-30,9000,114.4705171,6.037502585,2.880062601,5.038962522,1.449947978,0.017370556,0.017250349,0.475147326,55.32376765,358.248553,-9.23870032,-1.395406949,-3.369455604,-528.4645819,2.132051425,5.934286818,0.025705563,0.032164358,1.533225214,5.373627484,0.025159864,0.004985149,6.49457e-13,1.22331e-13,9
130,-30,10000,142.5575289,6.75651842,3.137533632,5.629452518,1.564612039,0.020226434,0.018412274,0.410523852,50.89670474,333.9551705,-10.17116771,-1.368030165,-4.064689449,-557.5059785,1.940809516,5.300093207,0.023289934,0.030642328,1.416924535,4.969222548,0.022008895,0.004931431,7.35051e-13,1.47907e-13,10
