"G1","G2","C","A","Bx","By","Bz","Error_G1","Error_G2","Error_C","Error_A","Error_Bx","Error_By","Error_Bz","MSE","Laser_Power","Laser_Detuning","Temp","PP"
520.54,1533.7,4.3506,0.45975,-14.782,14.175,97.664,96.309,384.89,1.0529e-05,7.6299e-06,1.9296,1.9295,40.746,0.00049692,1200,-7.142857,75.295443,0.098685
384.26,1242.9,4.3855,0.33582,-9.4121,21.348,611.48,62.552,254.07,4.1379e-06,2.9182e-06,2.9174,2.9196,160.34,0.00045843,1100,-11.428571,75.321862,0.09203
169.49,194.62,2.0329,0.080594,-10.438,-4.0545,-189.23,4.0907,3.4249,1.3653e-08,3.789e-08,1.3032,1.3029,0.91724,1.3924e-05,500,10,75.374906,0.046996
353.8,371.32,3.2539,0.24309,-11.733,4.0469,-462.28,5.5158,2.3744,1.3618e-07,1.5817e-07,0.67868,0.6786,1.0497,5.8539e-05,900,5.714286,75.377641,0.074385
369.25,1242.9,3.9648,0.31633,-9.8106,20.059,572.06,56.887,261.89,3.4672e-06,2.4334e-06,2.949,2.9507,146.09,0.00042021,1000,-11.428571,75.386553,0.11244
225.36,470.43,2.8827,0.10939,-8.5596,19.806,517.27,2.8435,4.997,2.3672e-08,4.1943e-08,0.77263,0.7728,3.2168,1.5071e-05,600,-20,75.421092,0.046648
310.69,965.58,4.4193,0.24095,-8.3136,22.101,705.99,26.621,84.087,9.8708e-07,7.9675e-07,2.4031,2.4045,94.355,0.00020919,1000,-15.714286,75.498861,0.06284
228.94,262.16,3.8275,0.16881,-11.517,9.825,-431.71,8.9567,6.3902,1.3108e-07,2.4224e-07,2.2971,2.297,2.4672,0.00010111,1000,10,75.509786,0.056615
0.099697,74.713,4.8711,0.0066965,959.9,1026,-446.06,0.51334,310720,1.1201e-10,1.375e-05,139.34,3179.2,9142.6,8.0316e-07,1100,-15.714286,75.522406,0.0070257
275.03,784.2,4.5578,0.16337,-9.1829,18.281,786.76,12.239,28.223,2.1319e-07,2.0476e-07,1.5733,1.5737,49.103,6.3684e-05,1000,-20,75.551661,0.048475
424.98,436.16,3.9385,0.29386,-11.729,2.5081,-536.3,11.63,4.1997,3.8498e-07,3.7567e-07,0.98345,0.9833,2.2387,0.00011725,1100,5.714286,75.59325,0.077637
157,183.42,2.423,0.10498,-10.419,9.6902,-282.88,4.3284,4.0202,2.5299e-08,7.1372e-08,1.5282,1.5281,1.1152,2.7414e-05,600,10,75.618319,0.050336
240.47,664.95,3.7288,0.13675,-7.2692,19.84,677.63,6.6992,17.213,9.1486e-08,1.1585e-07,1.3562,1.3566,20.8,4.0419e-05,800,-20,75.648246,0.056402
