"Temperature (C) ","Detuning (GHz) ","Laser Power (uW) ","G(1D)","C(1D)","A(1D)","By(1D)","Error G(1D)","Error C(1D)","Error A(1D)","Error By(1D)","G1(2D)","G2(2D)","C(2D)","A(2D)","Bx(2D)","Bz(2D)","Error G1(2D)","Error G2(2D)","Error C(2D)","Error A(2D)","Error Bx(2D)","Error Bz(2D)","Sensitivity (T/sqrt(Hz)"
130,-5,600,70.06,0.01627,0.18325,-41.009,1.101,1.198e-07,1.405e-06,0.45068,0.26325,2.9653,0.18046,0.16403,-18.708,154.66,0.0052102,0.66017,7.6783e-07,7.6981e-07,0.74079,4.7488,6.6669e-12
130,-5,781.818182,85.946,0.01631,0.34186,-40.806,1.1486,3.3514e-07,2.8767e-06,0.53287,0.0042718,0.040848,0.33339,0.31428,-17.525,206.07,56.25,5143.1,3.5302e-06,3.679e-06,0.96266,6.6404,2.9097e-12
130,-5,963.636364,97.744,0.016541,0.48748,-40.372,0.97817,4.9817e-07,3.5433e-06,0.49455,0.0012857,0.011296,0.47908,0.45511,-18.238,238.26,96.058,7413.6,1.1025e-05,1.4314e-05,0.50705,7.5096,2.0702e-12
130,-5,1327.272727,133.29,0.017341,0.96344,-37.528,2.2592,3.2297e-06,1.6025e-05,1.4084,0.0056322,0.040153,0.97311,0.91621,-17.004,295.21,152.97,7772.9,4.0827e-05,4.3393e-05,1.6933,8.8493,1.1248e-12
130,-5,1509.090909,151.25,0.021597,1.2628,-34.372,4.686,1.0142e-05,4.7058e-05,3.2274,-0.00014486,-0.00094432,1.2764,1.1848,-19.468,316.58,2.0322,86.367,0.00010256,0.00014504,0.366,9.7406,8.561e-13
130,-5,1690.909091,169.17,0.032045,1.5711,-32.839,8.1083,2.4857e-05,0.00010663,5.8225,0.0015454,0.0093081,1.6065,1.4639,-16.697,345.72,248.64,9021,0.00016863,0.00024173,1.0377,10.098,7.2545e-13
130,-5,2054.545455,195.51,0.072997,2.0631,-31.415,16.668,8.0052e-05,0.00030462,12.168,-0.0019623,-0.010574,2.1605,1.8955,-17.156,389.48,463.37,13455,0.00031257,0.00045905,1.3067,11.556,6.0241e-13
130,-5,2236.363636,205.09,0.099515,2.266,-31.516,18.234,0.00010305,0.00037062,13.163,0.0022246,0.011463,2.3915,2.0611,-16.956,401.1,631.74,16772,0.00038508,0.00057172,1.4932,12.018,6.9799e-13
130,-5,2418.181818,214.08,0.1387,2.4815,-33.67,20.771,0.00013959,0.00045403,14.305,0.00038193,0.001885,2.6484,2.2347,-19.834,416.66,20.689,503.95,0.00046931,0.00071111,0.43319,12.805,7.5839e-13
130,-5,2600,216.36,0.18538,2.7053,-37.237,17.329,0.00014074,0.00041716,11.221,-0.0035559,-0.017016,2.9148,2.4159,-16.946,438.88,1562.7,35783,0.00054921,0.00080816,1.9869,13.145,7.6128e-13
130,-2.727273,600,70.424,0.019549,0.18247,-41.009,0.84245,9.0256e-08,1.0501e-06,0.34583,0.3665,3.6097,0.17823,0.1582,-21.495,148.45,0.004339,0.41841,6.1815e-07,6.25e-07,0.71319,4.0144,5.1222e-12
130,-2.727273,781.818182,86.655,0.021347,0.35014,-41.329,0.81832,2.4976e-07,2.1138e-06,0.37709,-0.36132,-2.9994,0.34381,0.31905,-18.824,199.06,0.014125,0.97347,2.9406e-06,3.0132e-06,0.94677,5.2389,3.0329e-12
130,-2.727273,963.636364,97.995,0.023066,0.50396,-40.188,0.67648,3.6637e-07,2.5998e-06,0.34398,-0.026496,-0.20341,0.49597,0.46427,-20.377,223.14,0.0040636,0.23946,6.9416e-06,7.1852e-06,1.1373,7.1115,2.2394e-12
130,-2.727273,1145.454545,113.48,0.024884,0.72521,-39.232,0.87886,8.3783e-07,4.9134e-06,0.49375,-0.17301,-1.2128,0.72114,0.67591,-18.384,257.92,0.1402,6.8912,1.683e-05,1.758e-05,1.3819,7.6831,1.7673e-12
130,-2.727273,1327.272727,130.8,0.028714,0.99364,-37.699,1.723,2.6666e-06,1.3476e-05,1.0633,0.0027744,0.017821,1.0028,0.93351,-17.883,288.31,363.49,14999,4.7003e-05,6.1862e-05,0.98637,8.0697,1.3106e-12
130,-2.727273,1690.909091,164.55,0.051077,1.6121,-33.731,7.3115,2.4192e-05,0.00010441,5.1515,0.002372,0.013089,1.6642,1.5051,-17.144,341.33,705.26,21480,0.00012184,0.00014477,1.9314,9.3551,6.9038e-13
130,-2.727273,1872.727273,179.13,0.07006,1.8873,-33.391,10.075,4.3168e-05,0.00017176,7.1535,-0.00066487,-0.0034184,1.9751,1.7545,-18.272,359.8,381.48,10083,0.00022078,0.00032474,0.96014,9.6381,6.0371e-13
130,-2.727273,2054.545455,191.02,0.094712,2.1397,-32.005,13.765,7.2306e-05,0.00027805,9.9753,0.0014775,0.0072147,2.2498,1.9651,-18.052,384.32,237.07,5653.6,0.00029499,0.00044567,1.0201,10.154,5.8971e-13
130,-2.727273,2236.363636,201.42,0.1208,2.3609,-31.58,15.904,9.8533e-05,0.00036109,11.512,0.0026155,0.012222,2.4938,2.1434,-16.549,398.15,766.23,16731,0.00036471,0.00055514,1.4968,10.376,6.239e-13
130,-2.727273,2418.181818,212.66,0.15453,2.5874,-32.278,17.718,0.00012878,0.0004363,12.514,-0.00057316,-0.0025616,2.765,2.3284,-19.186,413.58,41.209,823.05,0.00044816,0.00069666,0.68138,10.928,7.3466e-13
130,-2.727273,2600,217.84,0.20474,2.8101,-34.932,19.056,0.00016408,0.00050842,12.795,0.0022815,0.0098578,3.0478,2.5232,-17.594,435.57,662.57,12371,0.0005378,0.00083923,1.5357,11.432,7.2302e-13
130,-0.454545,600,74.774,0.02908,0.19879,-41.142,0.44957,5.2968e-08,5.6215e-07,0.19049,-0.046946,-0.3706,0.19907,0.16875,-20.557,124.34,0.0043706,0.27247,5.9622e-07,6.1584e-07,0.72646,4.6676,6.3502e-12
