"Temperature (C) ","Detuning (GHz) ","Laser Power (uW) ","G(1D)","C(1D)","A(1D)","By(1D)","Error G(1D)","Error C(1D)","Error A(1D)","Error By(1D)","G1(2D)","G2(2D)","C(2D)","A(2D)","Bx(2D)","Bz(2D)","Error G1(2D)","Error G2(2D)","Error C(2D)","Error A(2D)","Error Bx(2D)","Error Bz(2D)","Sensitivity (T/sqrt(Hz)"
115,5,1500,318.43,0.57689,1.5835,15.318,80.918,0.00015249,0.00079577,86.655,0.0032269,0.0070677,2.1024,1.2326,-16.958,358.96,17.605,84.456,9.8666e-05,0.00019223,2.0102,7.7671,4.8481e-11
119,5,1500,259.51,0.39782,1.5386,-5.9972,36.056,7.43e-05,0.00036748,35.194,0.00021963,0.00051804,1.8881,1.2638,-14.714,345.54,4.5607,25.374,9.1348e-05,0.00017292,2.1506,6.6657,2.4386e-10
123,5,1500,236.93,0.23429,1.4864,-16.941,26.791,5.6165e-05,0.00024436,23.386,-0.00091656,-0.0025206,1.6691,1.2576,-17.524,310.7,65.289,493.72,8.022e-05,0.00014339,1.147,6.1321,6.7542e-11
127,5,1500,187.96,0.1384,1.2961,-25.893,12.602,2.3556e-05,0.00010912,10.273,0.00026776,0.00097245,1.4696,1.2162,-15.834,296.09,5.1138,67.445,7.5595e-05,0.00012359,1.1842,6.2503,9.7171e-11
131,5,1500,154.12,0.067566,1.2551,-34.01,7.9312,1.668e-05,7.6573e-05,5.5198,0.0050633,0.02562,1.2792,1.1351,-17.321,306.1,844.32,21617,6.3114e-05,8.3228e-05,1.4178,7.5887,1.4883e-10
135,5,1500,134.65,0.034514,1.0213,-31.264,2.2146,3.3356e-06,1.8907e-05,1.5974,-0.0037113,-0.026419,1.0492,0.96852,-20.393,322.15,0.019141,0.96993,4.6071e-05,4.8179e-05,1.8582,10.873,5.4282e-11
131,5,1500,143.07,0.085706,1.2318,-39.322,6.7126,1.5036e-05,6.6485e-05,4.114,-0.00095445,-0.0043175,1.3273,1.1857,-21.521,267.85,85.891,1757.4,0.00010172,0.00015608,0.54244,8.9968,5.547e-11
131,7,1500,155.49,0.13661,1.2624,-32.378,4.2345,8.84e-06,4.1939e-05,3.0537,-0.00025064,-0.0011514,1.3579,1.1495,-17.835,305.44,4.4903,94.773,7.3234e-05,0.00011232,1.0285,7.4309,1.1196e-10
131,9,1500,162.45,0.2213,1.2459,-29.471,5.8437,1.1285e-05,5.5429e-05,4.4928,-0.60102,-2.4747,1.4406,1.1336,-19.866,298.87,0.28282,4.8048,4.5051e-05,5.1154e-05,2.0172,6.8662,1.8735e-10
131,11,1500,174.61,0.33941,1.1939,-26.06,10.912,1.8065e-05,9.0714e-05,8.9702,0.0012755,0.0049343,1.5059,1.0752,-22.939,291.67,264.38,3955.4,5.8676e-05,9.4111e-05,1.2882,6.7323,2.3776e-10
