"G1","G2","C","A","Bx","By","Bz","Error_G1","Error_G2","Error_C","Error_A","Error_Bx","Error_By","Error_Bz","MSE","Laser_Power","Laser_Detuning","Temp","PP"
-6481300,-1009.1,14.766,-9.8975,-12.442,28.423,-22.597,3.0168e-12,2291.5,0.20458,0.2046,93.483,93.894,414.83,1.5778e-06,550,0,72.93927,0.0050252
126.32,298.33,4.5145,0.19051,11.166,19.654,274.68,5.357,16.558,1.704e-07,8.4988e-07,3.398,3.3993,5.7511,0.00021782,440,-10,77.019581,0.058455
0.0087158,14594,4.8681,3.5405e-08,66841,-111170,16087,0,0,2.296e-11,0,0,0,0,1.8368e-07,685,8,79.244361,0.00076462
8973.5,1063,3.307,1.5912,2.792,-6.4858,418.95,574770,81.568,0.014397,0.014321,2.2707,2.2713,19.645,0.00032214,500,-1,80.980628,0.051013
144.54,306.55,1.7294,0.53301,3.5615,-0.99732,-157.24,0.76464,1.7518,1.6715e-07,7.2641e-07,0.37981,0.37981,0.53373,0.00019048,215,7,82.261021,0.32004
230.37,429.36,3.0196,0.97395,2.287,-0.098019,-254.19,1.517,2.0378,8.8245e-07,1.7726e-06,0.36609,0.36609,0.71247,0.00058722,370,8,82.887862,0.31541
215.86,443.23,2.789,0.90169,1.9485,-0.81845,-226.41,1.432,2.3433,7.5818e-07,1.6953e-06,0.38357,0.38356,0.7943,0.00053496,345,7,83.10824,0.31802
135.26,332.89,1.531,0.51562,3.1643,4.1252,-121.94,0.40037,1.1982,8.9155e-08,4.4959e-07,0.22383,0.22383,0.36174,0.00010643,200,5,84.591652,0.3368
212.18,450.09,2.7252,1.1985,2.1052,-1.9477,-236.49,2.031,3.5628,1.9433e-06,4.4371e-06,0.56232,0.56232,1.2282,0.0013884,370,7,86.401456,0.45447
-88072,-100860,4.8675,-1.3408e-05,2463.2,-122280,-767160,1.0943e-23,7.7895e-24,0.00022749,0.0002407,5.611e-27,5.4689e-24,5.7145e-25,1.4228e-07,620,-15,88.296824,0.00063705
979.72,702.97,2.8101,2.2662,0.18095,-4.3195,-305.2,263.86,22.714,0.00028079,0.00022462,2.2345,2.2346,6.5595,0.012002,620,7,94.421771,0.5692
169.21,540.68,1.7187,2.2617,1.1798,6.4552,-192.06,0.67834,2.8318,2.9421e-06,9.6506e-06,0.27269,0.2727,0.91661,0.0024844,460,6,99.686611,1.1935
163.42,506.28,1.7212,2.2493,0.91146,1.3731,-214.18,0.46626,1.864,2.0189e-06,7.1317e-06,0.20148,0.20148,0.63372,0.0018156,460,7,99.803895,1.2638
284.1,646.08,2.2549,2.9035,0.097882,5.0189,-251.23,2.9766,5.2066,1.5279e-05,1.8552e-05,0.44076,0.44077,1.6988,0.0061733,620,6,100.070188,0.94131
188.34,542.43,2.0212,2.6948,0.40229,-6.2884,-250.6,2.109,6.9373,1.2096e-05,3.1793e-05,0.71056,0.71058,2.4663,0.0090556,540,7,100.113202,1.6631
164.35,490.43,1.72,2.2455,0.33204,2.9649,-217.52,0.46115,1.714,1.9608e-06,6.8965e-06,0.19792,0.19792,0.58714,0.0017745,460,7,100.141744,1.2034
192.74,600.08,2.0112,2.6777,-0.3717,1.8931,-227.61,0.60772,2.3216,3.4889e-06,8.4707e-06,0.1918,0.1918,0.7724,0.0024171,540,6,100.154196,1.2165
190.5,503.21,2.0315,2.7035,0.1762,4.2719,-259.4,0.9477,2.6314,5.2866e-06,1.3926e-05,0.3169,0.3169,0.95498,0.0040461,540,7,100.18384,1.274
