"Temperature (C) ","Detuning (GHz) ","Laser Power (uW) ","Cost filtered (V/nT)","Cost unfiltered (V/nT)","Loop","Run_number","C(1D)","A(1D)","G(1D)","By(1D)","Error C(1D)","Error A(1D)","Error G(1D)","Error By(1D)","G1(2D)","G2(2D)","C(2D)","A(2D)","Bx(2D)","Bz(2D)","Error G1(2D)","Error G2(2D)","Error C(2D)","Error A(2D)","Error Bx(2D)","Error Bz(2D)","NA"
"90.000000","8.000000","800.000000","0.001728","0.001728","1.000000","1.000000","2.365775","0.703198","407.011206","2.726831","0.004377","0.004204","5.026838","1.557882","249.664877","668.781910","-3.195161","-0.263250","-6.759006","-446.333942","18.473417","26.630698","0.016176","0.017968","3.490079","10.971462",NA
"91.200000","8.000000","800.000000","0.001901","0.001901","1.000000","2.000000","2.291113","0.760953","400.326026","3.108473","0.003469","0.003360","3.678612","1.158135","325.568997","749.692467","-3.239275","-0.350493","-6.305073","-426.600130","22.268330","29.586927","0.021651","0.023461","3.710393","10.798249",NA
"92.400000","8.000000","800.000000","0.002003","0.002003","1.000000","3.000000","2.202554","0.806911","402.892065","1.242635","0.004436","0.004282","4.437893","1.388746","362.612424","805.595335","-3.262020","-0.422532","-4.130217","-423.283796","24.091590","32.506854","0.027144","0.028951","3.801820","11.147070",NA
"93.600000","8.000000","800.000000","0.002189","0.002189","1.000000","4.000000","2.127872","0.853057","389.732254","3.347894","0.004378","0.004304","4.136007","1.334917","381.304250","826.080684","-3.252548","-0.467106","-3.156324","-417.258911","25.345691","33.941176","0.030697","0.032587","3.883064","11.203967",NA
"94.800000","8.000000","800.000000","0.002311","0.002311","1.000000","5.000000","2.037820","0.891235","385.632630","4.641447","0.004076","0.004032","3.683452","1.200340","248.781461","675.736381","-3.073325","-0.337409","-4.589679","-425.930433","19.616174","28.944591","0.022537","0.024902","3.624561","11.318224",NA
"96.000000","8.000000","800.000000","0.002404","0.002404","1.000000","6.000000","1.950094","0.917409","381.619221","-2.550663","0.004645","0.004625","4.075584","1.340597","507.167656","966.026897","-3.312133","-0.675063","-3.652950","-403.441553","30.944794","40.756299","0.046814","0.048501","4.032733","10.977696",NA
"97.200000","8.000000","800.000000","0.002503","0.002503","1.000000","7.000000","1.853263","0.944637","377.431197","1.215623","0.004765","0.004778","4.058128","1.347948","252.962931","676.678442","-2.949771","-0.366374","-4.865462","-416.342832","20.775578","30.205767","0.025499","0.028173","3.775620","11.511204",NA
"98.400000","8.000000","800.000000","0.002680","0.002680","1.000000","8.000000","1.748668","0.967891","361.185098","2.800418","0.003558","0.003678","2.949641","1.017446","269.496411","684.679365","-2.878409","-0.384857","-3.986597","-398.915147","21.837872","30.331558","0.026539","0.029286","3.803993","10.969608",NA
"99.600000","8.000000","800.000000","0.002761","0.002761","1.000000","9.000000","1.636504","1.005803","364.252692","1.481559","0.004793","0.004924","3.825430","1.310184","252.551420","678.574660","-2.799241","-0.389696","-3.541771","-400.073596","21.602345","31.644303","0.028480","0.031404","3.852635","11.584676",NA
"100.800000","8.000000","800.000000","0.002960","0.002960","1.000000","10.000000","1.541886","1.018010","343.916121","2.930270","0.003760","0.004036","2.953043","1.059986","283.915049","717.205265","-2.758389","-0.444368","-4.107354","-394.275197","23.140743","33.016705","0.032317","0.035210","3.914061","11.514581",NA
"102.000000","8.000000","800.000000","0.003034","0.003034","1.000000","11.000000","1.439350","1.045446","344.605114","-4.021209","0.004922","0.005275","3.765452","1.349478","297.415852","729.822766","-2.698308","-0.472812","-4.977315","-386.527203","23.962433","33.583975","0.034442","0.037400","3.944974","11.345518",NA
"103.200000","8.000000","800.000000","0.003307","0.003307","1.000000","12.000000","1.345552","1.071083","323.927235","-1.117252","0.003862","0.004364","2.869190","1.077963","297.350083","728.762828","-2.629335","-0.486504","-3.444961","-377.434948","24.677168","34.528569","0.036531","0.039673","4.019310","11.418535",NA
"104.400000","8.000000","800.000000","0.003441","0.003441","1.000000","13.000000","1.248730","1.095856","318.479594","-4.217025","0.004950","0.005681","3.588833","1.365116","317.859441","755.704250","-2.604131","-0.540947","-4.226290","-369.783022","26.183179","36.438786","0.041651","0.044882","4.104521","11.510174",NA
"105.600000","8.000000","800.000000","0.003749","0.003749","1.000000","14.000000","1.142093","1.156600","308.545715","-3.320810","0.005843","0.006911","4.002078","1.556795","331.280644","780.503755","-2.586944","-0.598297","-4.097944","-370.825852","27.185777","38.370885","0.047348","0.050663","4.174649","11.840929",NA
"106.800000","8.000000","800.000000","0.003896","0.003896","1.000000","15.000000","1.050791","1.188247","304.954447","-0.991667","0.005452","0.006523","3.631008","1.423875","355.744724","819.317637","-2.602046","-0.682814","-3.522342","-366.656997","28.972497","41.409160","0.056186","0.059554","4.261098","12.101387",NA
"108.000000","8.000000","800.000000","0.004435","0.004435","1.000000","16.000000","0.961658","1.271327","286.634721","-2.023193","0.003652","0.004650","2.257931","0.922363","361.621514","835.208792","-2.602081","-0.744947","-2.660463","-365.023619","30.081405","43.756347","0.063936","0.067511","4.356491","12.497091",NA
"109.200000","8.000000","800.000000","0.004574","0.004574","1.000000","17.000000","0.875937","1.316150","287.762728","-4.373397","0.004155","0.005269","2.482654","1.011645","383.157142","879.133318","-2.665387","-0.864379","-2.306249","-361.750315","32.049214","48.135107","0.078599","0.082269","4.432907","12.904544",NA
"110.400000","8.000000","800.000000","0.004994","0.004994","1.000000","18.000000","0.795021","1.384917","277.342727","-2.530410","0.003581","0.004719","2.024526","0.844170","394.882375","907.173532","-2.718269","-0.967700","-2.652606","-362.071743","33.810957","52.067134","0.093016","0.096889","4.554976","13.469257",NA
"111.600000","8.000000","800.000000","0.005552","0.005552","1.000000","19.000000","0.707956","1.489103","268.192478","-2.911953","0.003180","0.004344","1.665365","0.708492","388.889284","931.135153","-2.786043","-1.075397","-2.674613","-369.504006","34.919224","57.206602","0.111869","0.116026","4.667759","14.625216",NA
"112.800000","8.000000","800.000000","0.006391","0.006391","1.000000","20.000000","0.643884","1.571132","245.828177","-2.798631","0.005023","0.007546","2.462663","1.099704","419.494087","976.325821","-2.917559","-1.243898","-2.197672","-357.838519","38.078156","62.764388","0.136706","0.141011","4.754029","14.587627",NA
"114.000000","8.000000","800.000000","0.006965","0.006965","1.000000","21.000000","0.560964","1.675467","240.562256","-1.247827","0.003839","0.005906","1.758927","0.794356","422.609985","1009.938955","-3.035159","-1.398116","-3.035631","-358.519177","40.651672","70.506708","0.168696","0.173320","4.904834","15.634082",NA
"115.200000","8.000000","800.000000","0.007166","0.007166","1.000000","22.000000","0.491037","1.720089","240.041604","-2.155484","0.004302","0.006634","1.919174","0.867692","432.671918","1066.453801","-3.222045","-1.622733","-1.611170","-365.864209","43.821530","81.437847","0.217217","0.222010","5.016587","16.972907",NA
"116.400000","8.000000","800.000000","0.007636","0.007636","1.000000","23.000000","0.426466","1.773514","232.254717","-3.543525","0.005387","0.008616","2.318596","1.065804","455.685534","1132.250906","-3.444501","-1.886427","-1.730137","-365.158327","48.706721","94.917513","0.280771","0.285681","5.141409","17.887512",NA
"117.600000","8.000000","800.000000","0.008626","0.008626","1.000000","24.000000","0.371330","1.880815","218.044693","-2.547769","0.004054","0.006953","1.627376","0.770804","484.148938","1204.340189","-3.689908","-2.181892","-1.246934","-362.024562","54.749220","110.925981","0.361017","0.365981","5.248260","18.563229",NA
"118.800000","8.000000","800.000000","0.008855","0.008855","1.000000","25.000000","0.303836","1.867355","210.876706","-4.253564","0.005250","0.009342","2.109502","1.014222","501.087524","1282.864672","-3.958807","-2.505374","-1.548138","-364.228486","62.114643","134.006211","0.476153","0.481231","5.383286","20.006429",NA
"120.000000","8.000000","800.000000","0.009642","0.009642","1.000000","26.000000","0.258187","1.932781","200.464545","-4.054440","0.005596","0.010524","2.150892","1.056630","547.848380","1401.888202","-4.367046","-2.980565","-0.984698","-364.368187","74.575486","168.095535","0.658790","0.663742","5.519054","20.998615",NA
"121.200000","8.000000","800.000000","0.009805","0.009805","1.000000","27.000000","0.208286","1.915333","195.333348","-3.744586","0.006504","0.012581","2.509548","1.245867","578.511382","1527.724949","-4.785325","-3.473034","-1.359208","-362.350042","91.291707","219.104621","0.930491","0.935437","5.645797","22.509244",NA
"122.400000","8.000000","800.000000","0.010088","0.010088","1.000000","28.000000","0.173698","1.865316","184.897837","-6.149876","0.006544","0.013426","2.562267","1.299354","618.107557","1655.071025","-5.166459","-3.939962","-2.308598","-359.828069","111.388556","277.729161","1.247351","1.252160","5.756638","23.536990",NA
