"Temperature (C) ","Detuning (GHz) ","Laser Power (uW) ","G(1D)","C(1D)","A(1D)","By(1D)","Error G(1D)","Error C(1D)","Error A(1D)","Error By(1D)","G1(2D)","G2(2D)","C(2D)","A(2D)","Bx(2D)","Bz(2D)","Error G1(2D)","Error G2(2D)","Error C(2D)","Error A(2D)","Error Bx(2D)","Error Bz(2D)","Sensitivity (T/sqrt(Hz)"
122.5,21,1120,164.34,1.6324,1.4639,6.1572,4.807,1.0354e-05,0.00019799,8.5211,-0.0015608,-0.0049013,3.0595,1.3514,-12.219,-399.59,331.57,3269.7,7.426e-05,0.00012774,0.98573,4.006,5.9026e-13
132.5,5,1480,172.59,-0.046913,2.8469,-47.69,16.679,0.00018508,0.00056854,9.0846,-0.0012289,-0.0085393,2.9092,2.7047,-13.654,-543.63,388.81,18772,0.0011765,0.0016594,1.6688,15.158,4.4013e-13
122.5,21,1240,175.9,1.8196,1.6706,2.7475,3.2859,9.0254e-06,0.00012874,5.0913,-0.00029954,-0.0009298,3.4664,1.5435,-11.518,-446.17,15.369,148.03,0.00010818,0.00018781,1.1238,4.4491,5.7478e-13
132.5,5,1600,196.77,-0.094173,3.2488,-48.52,23.012,0.00030635,0.00080148,12.505,-0.00098753,-0.0061392,3.2942,3.015,-13.233,-545.19,265.69,10266,0.0015487,0.002242,2.0258,16.053,4.7899e-13
122.5,21,1360,184.03,2.0054,1.8736,-0.25849,6.0397,2.0679e-05,0.0002387,8.4658,-0.038,-0.11551,3.8551,1.724,-20.309,-468.45,0.22517,2.0803,0.0001053,0.0001303,2.7036,7.3392,5.3966e-13
122.5,21,1480,198.16,2.1912,2.0856,-2.9829,5.8793,2.4404e-05,0.00022059,7.4043,-0.00082761,-0.0025922,4.2754,1.9044,-12.266,-538.1,182.05,1785.6,0.00020204,0.00035412,1.4299,5.7993,5.8122e-13
132.5,5,1840,247.67,-0.22547,4.2178,-51.292,34.171,0.0006886,0.001369,17.306,-0.0024707,-0.012508,4.1573,3.6315,-13.789,-550.11,1876.5,48091,0.0025054,0.0038023,3.088,18.677,6.4138e-13
122.5,21,1600,212.94,2.3856,2.3386,-1.984,5.8286,2.9347e-05,0.00023842,7.1231,0.00088772,0.0026514,4.7109,2.0972,-12.314,-547.41,222.22,1982.4,0.00026534,0.00047338,1.6392,6.3919,5.6373e-13
132.5,5,1960,276.14,-0.31294,4.7844,-53.632,41.339,0.0010368,0.0018113,19.547,-0.0019871,-0.0093837,4.6369,3.9237,-12.393,-594.01,1249.9,27873,0.003036,0.0047329,3.2937,19.675,7.0524e-13
122.5,21,1720,214.86,2.6384,2.2742,-42.494,9.118,5.4301e-05,0.00014514,5.4295,-0.0060235,-0.014364,5.0024,2.1236,-10.194,-593.53,4870.3,27692,0.00031013,0.00060311,2.4555,7.0664,6.2934e-13
132.5,5,2080,309.27,-0.42287,5.301,-59.817,40.049,0.0012244,0.0018143,16.59,0.0025193,0.010607,5.0805,4.1331,-12.403,-596.09,3714.4,65842,0.0036093,0.0057972,4.1459,21.407,1.2107e-12
122.5,21,1840,244.76,2.8588,2.0897,-83.685,19.872,0.00012121,0.00016835,6.6009,-0.0094546,-0.014376,5.0231,1.8681,-7.4114,-640.06,22709,52494,0.00028031,0.00066443,4.6554,8.0482,1.3066e-11
132.5,5,2200,334.88,-0.51705,5.4835,-88.685,49.634,0.0018564,0.0020234,14.133,-0.0018844,-0.0062913,5.1801,3.9981,-12.304,-600.13,835.12,9307.6,0.0037366,0.0064797,6.15,23.243,1.1457e-11
122.5,21,1960,302.01,3.0674,1.8947,-119.94,71.643,0.00040016,0.00038827,15.474,-0.014725,-0.014034,4.9983,1.5266,-6.2925,-687.46,101310,91983,0.00021257,0.00064358,8.4663,9.5565,3.167e-09
132.5,7,1120,120.13,0.028467,1.8643,-38.351,6.9108,4.0873e-05,0.00022593,4.0658,-0.00053818,-0.0048701,1.9506,1.8679,-13.997,-494.73,53.318,4366.7,0.00041587,0.00055556,0.90314,10.23,3.8984e-13
122.5,21,2080,407.7,3.2135,1.7406,-160.86,250.45,0.0013105,0.0010958,30.736,-0.061524,-0.035008,4.9568,1.1267,-7.544,-696.62,1198400,387780,0.00012742,0.00051621,15.786,10.62,1.8484e-09
122.5,21,2200,563.84,3.2819,1.6582,-204.83,1177.8,0.0063103,0.0055672,62.036,0.10034,0.035616,4.9197,0.75613,-11.907,-742.4,5007200,630420,6.3208e-05,0.00035787,32.818,12.661,2.8921e-09
132.5,7,1360,152.14,-0.0048582,2.5705,-42.535,10.84,0.00010348,0.0004018,6.3279,-0.0011828,-0.0086216,2.6654,2.5122,-13.682,-543.56,294.2,15630,0.00085051,0.0011875,1.3309,12.515,3.911e-13
122.5,23,1000,142.67,1.6575,1.1389,4.4204,3.1255,4.4312e-06,0.00010623,5.8336,0.0011663,0.0038319,2.7634,1.0651,-12.544,-351.19,151.75,1638.2,3.7713e-05,6.3697e-05,0.75829,3.2464,7.5863e-13
132.5,7,1480,171.23,-0.033208,2.9555,-44.465,14.497,0.00017012,0.00055721,8.3525,-0.0015566,-0.010123,3.0294,2.8228,-13.419,-546.12,543.2,22969,0.0011363,0.0016254,1.6543,13.32,4.2052e-13
122.5,23,1120,155.45,1.8578,1.3406,6.587,4.3254,8.0347e-06,0.00017759,8.0895,0.00094696,0.0030872,3.1632,1.2451,-11.984,-398.4,127.73,1357.6,5.8452e-05,9.9361e-05,0.87178,3.6686,6.9006e-13
132.5,7,1600,192.37,-0.0683,3.3669,-43.923,18.491,0.00025969,0.00075693,10.846,0.0015763,0.0091462,3.4355,3.1548,-13.535,-549.05,588.09,19798,0.0014838,0.0021822,2.0343,14.017,4.2474e-13
122.5,23,1240,163.8,2.066,1.5426,2.633,3.6805,8.942e-06,0.00014736,5.9704,0.0010739,0.0034724,3.5766,1.4302,-11.845,-444.62,213.24,2229.7,8.5775e-05,0.00014688,0.9867,4.1548,6.0795e-13
132.5,7,1720,216.32,-0.12126,3.8649,-47.899,22.027,0.00039089,0.00093715,12.034,-0.0023854,-0.012842,3.888,3.4975,-13.142,-593.34,1559.1,45186,0.0019137,0.0028684,2.2923,15.898,4.9511e-13
122.5,23,1360,169.57,2.2683,1.7408,-2.4691,3.7822,1.1764e-05,0.00014563,5.2936,-0.00065668,-0.0021132,3.9854,1.6106,-11.81,-490.83,92.338,956.15,0.00012108,0.0002089,1.1327,4.666,6.3618e-13
132.5,7,1840,238.45,-0.17902,4.3664,-47.707,24.315,0.00052311,0.001144,13.094,0.0015944,0.0077512,4.3376,3.8127,-12.748,-595.55,1295.6,30619,0.0023903,0.0036951,2.6981,16.454,5.2937e-13
122.5,23,1480,183.88,2.4804,1.9473,-0.22759,5.1055,1.8889e-05,0.00021865,7.165,-0.00044226,-0.0014283,4.4125,1.7902,-13.489,-535.86,56.985,594.19,0.00016584,0.00028773,1.2865,5.6057,6.0259e-13
132.5,7,1960,265.2,-0.25528,4.9537,-48.105,28.007,0.00074133,0.0014597,14.496,0.00099445,0.0044366,4.8413,4.13,-12.823,-597.86,276.28,5499.9,0.0029764,0.0047224,3.2185,17.447,6.2218e-13
122.5,23,1600,194.85,2.7038,2.1528,-7.8419,4.9255,2.248e-05,0.00017697,5.6722,0.001001,0.0030646,4.8665,1.9857,-12.344,-547.39,321.06,3009.3,0.00021876,0.00038699,1.4669,5.8597,6.0413e-13
132.5,7,2080,287.52,-0.31743,5.2637,-69.857,24.956,0.00081884,0.0011333,9.4596,0.0024972,0.0093603,5.1482,4.219,-11.201,-642.8,2176.8,30591,0.0033407,0.0056165,4.2157,19.195,2.6785e-12
122.5,23,1720,203.34,2.9686,1.9553,-55.725,9.089,4.5132e-05,0.00010186,4.4117,-0.0060081,-0.01218,5.0091,1.8602,-9.0687,-592.7,5673.9,23319,0.00023013,0.00047735,2.813,6.6606,4.7391e-12
132.5,7,2200,-14222,2.21,-14093,28130000,9.0084e-15,0.030213,2.2654e-15,2.4667e-21,-0.0023727,-0.0068503,5.1962,4.0447,-11.023,-647.7,1121.6,9348.5,0.0033567,0.0061698,6.4245,20.935,7.7936e-12
122.5,23,1840,242.48,3.1988,1.7534,-94.619,27.246,0.00012623,0.00016587,7.9885,-0.0018071,-0.0022339,5.003,1.5622,-8.308,-638.39,974.78,1488.3,0.00018787,0.00049217,5.505,8.044,2.099e-11
132.5,9,1000,105.79,0.051156,1.5954,-33.659,3.9784,1.8497e-05,0.00012858,2.476,-0.00018099,-0.0016574,1.6901,1.6205,-14.139,-448.87,4.621,387.46,0.00025195,0.00033508,0.72823,7.976,4.0032e-13
122.5,23,1960,321.27,3.4161,1.5339,-132.98,109.29,0.00041885,0.00037916,20.365,-0.026388,-0.018667,4.9671,1.1897,-8.0389,-647.14,168860,84477,0.00012181,0.00043114,10.572,8.8621,2.1803e-09
122.5,23,2080,469.54,3.5732,1.3616,-183.32,559.84,0.0019251,0.0016252,47.993,-0.065705,-0.026109,4.9242,0.77801,-9.2467,-693.43,4091600,646800,5.6071e-05,0.00028517,22.768,10.454,1.5586e-09
132.5,9,1240,136.3,0.035947,2.3107,-37.596,7.0215,5.671e-05,0.00027399,4.4018,0.00093211,0.0069558,2.4369,2.3097,-13.755,-541.43,144,8019.7,0.00058268,0.00081004,1.042,10.093,3.932e-13
132.5,9,1480,166.8,0.0087631,3.0887,-44.568,7.7971,0.00010191,0.00034324,4.4658,0.0028729,0.017122,3.2007,2.9754,-13.53,-548.09,1178.5,41857,0.0010844,0.0015722,1.6953,11.682,3.6907e-13
122.5,25,1000,144.11,1.6781,1.1431,8.833,3.3007,4.6164e-06,0.00013576,6.9895,-0.00018437,-0.00060697,2.7763,1.0554,-12.562,-351.96,3.5029,37.957,3.6588e-05,6.1779e-05,0.75212,3.1827,7.9157e-13
122.5,25,1120,148.31,1.8812,1.3177,-0.41083,3.2139,6.0955e-06,0.00010634,5.1002,0.0012223,0.0039744,3.177,1.2395,-11.871,-398.71,222.9,2356.9,5.7467e-05,9.7752e-05,0.87023,3.608,7.3276e-13
132.5,9,1720,212.82,-0.059153,3.9984,-41.427,13.402,0.00024629,0.00067933,8.131,0.0016489,0.0082021,4.094,3.6719,-13.183,-596.45,1212,29986,0.001863,0.0028604,2.2312,14.028,4.4357e-13
122.5,25,1240,161.65,2.0845,1.5199,0.41661,3.8892,9.326e-06,0.00014315,6.0105,8.8997e-06,2.8868e-05,3.5896,1.4258,-11.894,-444.73,0.013371,0.14062,8.5386e-05,0.00014612,0.98444,4.1749,6.6622e-13
132.5,9,1840,230.08,-0.096816,4.5083,-45.59,15.364,0.00035396,0.00083231,8.6092,-0.0013526,-0.0063516,4.5603,3.9987,-12.312,-640.64,1713.4,37772,0.0023217,0.0036409,2.5153,14.994,4.8561e-13
122.5,25,1360,174.48,2.288,1.7343,2.2893,5.045,1.5022e-05,0.00021391,7.7757,-0.0005352,-0.001725,3.9962,1.6041,-12.214,-490.85,65.081,676.05,0.00011963,0.00020631,1.1217,4.7626,6.2061e-13
132.5,9,1960,253.79,-0.14933,5.0301,-49.945,16.376,0.00046041,0.0009151,8.3929,0.0033626,0.014081,5.0495,4.3054,-12.462,-643.55,2837.1,49758,0.0028452,0.0046089,3.0531,16.389,5.3732e-13
