"Temperature (C) ","Detuning (GHz) ","Laser Power (uW) ","G(1D)","C(1D)","A(1D)","By(1D)","Error G(1D)","Error C(1D)","Error A(1D)","Error By(1D)","G1(2D)","G2(2D)","C(2D)","A(2D)","Bx(2D)","Bz(2D)","Error G1(2D)","Error G2(2D)","Error C(2D)","Error A(2D)","Error Bx(2D)","Error Bz(2D)","Sensitivity (T/sqrt(Hz)"
112.85715,16.428571,1114.285714,293.63,2.0915,1.1445,-7.1412,10.699,2.2559e-05,3.4816e-05,1.7309,-0.005632,-0.0074162,3.2622,0.94342,-9.1455,-379.71,2236.5,3877.9,0.00012431,0.00026989,7.0701,14.492,5.2444e-12
125.714286,9.285714,435.714286,70.706,0.066759,0.42319,-4.0684,1.0627,6.5387e-07,1.5095e-05,0.42071,-0.00012427,-0.00092055,0.45875,0.39242,-0.98082,-191.09,1.496,82.101,1.1862e-05,1.5467e-05,0.27026,11.177,1.3203e-12
112.85715,16.428571,1250,322.82,2.3624,1.2762,-8.2854,14.106,3.6298e-05,4.6658e-05,2.0014,-0.00404,-0.0054572,3.6701,1.022,-10.195,-432.58,6881,12553,0.00016716,0.00036498,9.8957,17.713,3.4771e-12
91.428575,20,1521.428571,251.25,4.8712,-0.0012256,-37.13,2910.2,7.3145e-09,1.5771e-08,568.04,0.029931,0.019591,4.8702,-0.00098923,14.463,-506.68,1.8872e-05,1.2282e-05,7.0015e-10,1.5124e-09,126.94,100.38,1.0836e-09
125.714286,9.285714,707.142857,112.13,0.10305,1.1745,-7.0752,2.2455,7.649e-06,8.4677e-05,0.76584,-0.00065937,-0.0034624,1.27,1.1451,-4.6252,-297.32,77.455,2135.6,0.00017232,0.00024021,1.7661,17.216,6.7422e-13
112.85715,16.428571,1385.714286,356.28,2.6104,1.4263,-11.778,16.521,5.2295e-05,5.7026e-05,2.0117,0.015047,0.019688,4.0715,1.0887,-8.6726,-444.21,25294,43297,0.00020738,0.00046036,10.078,19.837,1.4119e-12
125.714286,9.285714,842.857143,134.55,0.12036,1.5764,-9.3804,3.4702,1.9037e-05,0.00015153,1.0878,0.0039976,0.018282,1.6856,1.514,-0.015051,-333,0.21316,4.4581,0.0002517,0.00027333,6.2048,23.631,6.6085e-13
112.85715,16.428571,1521.428571,382.39,2.9018,1.5504,-9.9536,19.255,7.1399e-05,7.0627e-05,2.0767,-0.25896,-0.34082,4.4924,1.1497,-0.14438,-465.11,2.9335,5.0747,0.00018211,0.00027679,21.437,27.498,1.2109e-12
125.714286,9.285714,978.571429,152.05,0.14016,1.9544,-9.9461,4.631,3.6484e-05,0.00022944,1.357,-0.0024244,-0.010082,2.0804,1.8493,-5.2775,-368.25,1519.6,26274,0.00062045,0.00091773,3.312,24.064,6.2651e-13
112.85715,16.428571,1657.142857,433.54,3.1931,1.6934,-8.7939,19.978,8.7338e-05,7.6308e-05,1.6931,-0.84173,-1.0012,4.9224,1.163,-0.26631,-463.97,5.0259,7.0734,0.00021509,0.00034023,26.744,31.464,1.6418e-12
125.714286,9.285714,1114.285714,174.97,0.15607,2.3272,-12.05,6.3695,6.6322e-05,0.00031359,1.7049,-0.0015921,-0.0059403,2.4732,2.1688,-0.97012,-392.88,718.63,10004,0.00091989,0.0013983,1.6505,28.761,6.3339e-13
