"Temperature (C) ","Detuning (GHz) ","Laser Power (uW) ","G(1D)","C(1D)","A(1D)","By(1D)","Error G(1D)","Error C(1D)","Error A(1D)","Error By(1D)","G1(2D)","G2(2D)","C(2D)","A(2D)","Bx(2D)","Bz(2D)","Error G1(2D)","Error G2(2D)","Error C(2D)","Error A(2D)","Error Bx(2D)","Error Bz(2D)","Sensitivity (T/sqrt(Hz)","Run Number"
130,4,4000,21.738,0.011817,1.0762,-2.6188,0.10646,4.6474e-06,0.00010272,0.041836,5972700,947.42,0.88711,0.78896,-75353,232.26,0.00044009,17598,0.001671,0.0013832,11.014,193.15,2.2605e-13,100
130,4,5000,-28.107,0.00027893,1.7246,-3.046,0.17145,1.5904e-05,0.00023611,0.062447,0.00020214,0.0031468,1.6257,1.6566,2.7982,296.42,1.0236,248.08,3.5975e-05,6.7216e-05,0.12524,1.7076,2.062e-13,101
130,4,6000,-35.463,-0.021133,2.4793,-3.4126,0.23027,3.7812e-05,0.00037803,0.076607,0.00013051,0.0017329,2.3494,2.401,2.9825,312.1,0.4864,85.752,8.167e-05,0.00016239,0.14631,1.8677,1.8793e-13,102
130,4,7000,-42.861,-0.050571,3.2339,-3.6183,0.27647,6.9044e-05,0.00048561,0.083717,0.00028612,0.0035166,3.0678,3.1182,3.0103,367.81,2.6118,394.54,0.00014927,0.00030816,0.16613,2.0878,1.9866e-13,103
130,4,8000,-51.17,-0.094551,4.0684,-3.7807,0.31729,0.00011443,0.0005645,0.086137,-0.00043998,-0.0051126,3.8628,3.8909,3.4101,424.08,7.1145,960.58,0.00026195,0.00055758,0.20095,2.4497,1.9537e-13,104
130,6,1000,696.24,0.043801,0.022127,-162.61,477.56,9.3885e-07,9.2486e-07,2.2909,1146.1,269.59,0.057222,0.041012,-224.07,1561.2,29159,455.69,1.6786e-08,2.0895e-06,195.85,116.89,1.631e-09,105
130,6,2000,19.339,0.090307,0.15975,15.288,0.013391,1.4113e-08,3.6977e-07,0.0054122,0.0019861,0.013985,0.18725,0.096076,1.8185,68.204,413.87,20520,5.175e-07,1.3355e-06,0.97132,7.1357,1.6983e-12,106
130,6,3000,-21.198,0.13956,0.54249,-1.0672,0.0095096,1.0755e-07,2.467e-06,0.0037606,0.000125,0.0014723,0.57183,0.43138,3.1732,129.88,0.3171,43.99,1.8521e-06,3.8102e-06,0.11062,1.2763,4.9373e-13,107
130,6,4000,25.876,0.18367,1.0849,-1.9108,0.025099,9.7728e-07,1.6559e-05,0.0093905,0.00015692,0.0018111,1.1484,0.97173,2.5889,186.64,0.26758,35.643,5.7696e-06,1.201e-05,0.068141,0.78181,2.6288e-13,108
130,6,5000,-31.634,0.22551,1.6713,-2.3071,0.052664,4.2309e-06,5.1613e-05,0.018374,366.51,-10.114,0.96678,-0.0021558,0.54119,110.5,1086400,799.62,0.00010786,0.0001667,8.3058,0.056087,2.3868e-13,109
130,6,6000,-38.557,0.27023,2.3776,-2.6834,0.078957,1.1329e-05,9.7307e-05,0.025263,589.59,-6.4017,1.3878,0.016783,10.196,129.84,2.8465e+10,3354500,0.00023042,0.00091722,0.52414,4.8449,2.1854e-13,110
130,6,7000,-45.327,0.30671,3.075,-2.8547,0.10171,2.2279e-05,0.00014048,0.029827,-9.9434e-06,-8.8344e-05,3.2598,2.944,3.2566,311.74,0.0023565,0.18601,9.6043e-05,0.00022676,0.15982,1.5364,2.0424e-13,111
130,6,8000,-52.827,0.34394,3.8411,-3.0345,0.11471,3.6327e-05,0.0001677,0.030458,-0.00039672,-0.0034147,4.0718,3.6714,3.1571,367.23,4.3828,324.69,0.00017043,0.00041118,0.18737,1.8093,1.9473e-13,112
130,8,1000,314.48,0.13634,0.026804,-56.509,13.957,1.2609e-07,1.1605e-07,0.14995,3083.6,370.3,0.15331,0.084392,-229.17,1577.3,249880,716.36,3.8746e-08,1.3403e-05,307.82,97.835,4.7545e-11,113
130,8,2000,23.348,0.25368,0.2027,12.553,0.01031,1.5121e-08,3.0038e-07,0.003976,0.0011177,0.0044565,0.37932,0.12472,2.2403,63.566,129.68,2061.9,3.5165e-07,1.2439e-06,0.66844,3.3372,1.5135e-12,114
130,8,3000,26.071,0.38927,0.54172,-0.40555,0.01776,1.7149e-07,2.8715e-06,0.0066291,0.0026981,0.017347,0.80415,0.40835,3.5893,120.63,107.18,4430.9,1.3065e-06,3.4984e-06,0.15181,1.1328,5.7512e-13,115
130,8,4000,29.923,0.51752,1.007,-1.1989,0.019884,6.0207e-07,8.0645e-06,0.0070841,-0.00020765,-0.0016105,1.3882,0.86041,3.5507,176.4,0.52289,31.455,3.7404e-06,9.3068e-06,0.080818,0.69255,3.711e-13,116
130,8,5000,34.985,0.64251,1.5116,-1.6764,0.030018,1.8479e-06,1.8926e-05,0.010046,-0.00012207,-0.00090034,2.0164,1.3688,3.5955,191.76,0.47835,26.02,1.0769e-05,2.7487e-05,0.096974,0.78944,3.1837e-13,117
130,8,6000,-41.397,0.78303,2.1344,-2.0029,0.040796,4.5258e-06,3.4024e-05,0.012588,-7.5343e-05,-0.00053652,2.7871,1.9929,3.1245,247.15,0.42777,21.691,2.7362e-05,7.1415e-05,0.11887,0.97589,2.6759e-13,118
130,8,7000,-47.505,0.91127,2.7363,-2.1655,0.047162,7.9824e-06,4.5831e-05,0.013441,-0.00012184,-0.00085813,3.5287,2.5836,3.4806,301.16,1.997,99.069,5.6555e-05,0.00014918,0.1508,1.2203,2.3876e-13,119
130,8,8000,-54.166,1.0496,3.412,-2.3779,0.049801,1.2302e-05,5.3878e-05,0.012986,-0.00016127,-0.0010905,4.3478,3.2416,4.2104,315.19,3.0851,141.07,0.00010755,0.00028989,0.19202,1.4896,2.2717e-13,120
130,10,1000,325.22,0.25202,0.030695,-42.553,16,1.9572e-07,1.8239e-07,0.11832,629440,1406.6,0.26467,0.0033179,-21261,-567750,2.7243e-10,2.4225e-05,0.00028727,4330700,1.447e-07,1.3684e-09,6.2511e-11,121
130,10,2000,25.445,0.46306,0.20876,12.519,0.0066611,9.7212e-09,1.6916e-07,0.0025056,0.00050873,0.0013833,0.5899,0.1273,1.9491,61.784,28.482,210.61,1.4365e-07,6.4274e-07,0.39529,1.3766,1.3791e-12,122
130,10,3000,28.681,0.70978,0.50788,-0.17201,0.020327,1.6122e-07,2.316e-06,0.0073524,-0.0039935,-0.018218,1.0872,0.36943,4.1079,116.08,198.65,4134.2,7.6188e-07,2.4516e-06,0.15391,0.82845,6.5327e-13,123
130,10,4000,32.833,0.93921,0.88371,-0.6541,0.025475,5.5834e-07,6.3901e-06,0.008757,7.1192e-05,0.0003994,1.6879,0.732,6.6697,166.47,0.00164,0.051615,2.6178e-06,7.6661e-06,0.091308,0.75275,3.992e-13,124
130,10,5000,37.821,1.1598,1.2982,-1.1044,0.030743,1.3303e-06,1.1838e-05,0.0099284,-0.0003515,-0.0019282,2.3194,1.1454,3.3014,184.81,2.3802,71.627,5.5719e-06,1.6577e-05,0.094544,0.62259,3.2795e-13,125
130,10,6000,43.704,1.4039,1.806,-1.4883,0.032638,2.5148e-06,1.7031e-05,0.0097751,-0.00026311,-0.0014594,3.0781,1.6483,3.7748,239.05,2.4095,74.122,1.5197e-05,4.5121e-05,0.12492,0.81842,2.8224e-13,126
130,10,7000,-49.154,1.6341,2.3207,-1.7309,0.036625,4.3827e-06,2.3482e-05,0.010213,0.00017654,0.00097416,3.8269,2.1563,4.0823,253.16,1.0674,32.505,3.2022e-05,9.5422e-05,0.15458,1.0008,2.6266e-13,127
130,10,8000,-54.86,1.8831,2.895,-1.9626,0.037744,6.6742e-06,2.8452e-05,0.0097502,4.8091e-05,0.00027393,4.6659,2.7178,3.5276,306.78,0.084806,2.7518,5.8155e-05,0.00017148,0.17408,1.1861,2.4863e-13,128
