"Temperature (C) ","Detuning (GHz) ","Laser Power (uW) ","G(1D)","C(1D)","A(1D)","By(1D)","Error G(1D)","Error C(1D)","Error A(1D)","Error By(1D)","G1(2D)","G2(2D)","C(2D)","A(2D)","Bx(2D)","Bz(2D)","Error G1(2D)","Error G2(2D)","Error C(2D)","Error A(2D)","Error Bx(2D)","Error Bz(2D)","Sensitivity (T/sqrt(Hz)","Run Number"
130,-16,7000,69.292,-0.070501,2.9855,3.5533,0.10454,1.795e-05,4.5984e-05,0.022104,-8.4356e-05,-0.0018419,2.8734,2.7854,-5.6918,-497.57,0.41229,196.56,0.00028892,0.00049345,0.23039,5.6878,3.0715e-13,23
130,-16,8000,80.259,-0.11292,3.724,4.5502,0.11823,3.0243e-05,5.6149e-05,0.021343,9.0393e-05,0.0019026,3.5855,3.4343,-5.7251,-558.09,0.55569,246.2,0.00049671,0.00086592,0.27363,6.769,4.481e-13,24
130,-14,1000,41.065,0.0014715,0.0017564,12.634,79.31,5.9832e-09,4.5709e-08,24.59,0.021499,363.28,5.595,5.5939,-30.101,-303,1.2416,227.26,81759,81759,45.137,136.42,2.5824e-10,25
130,-14,2000,-16.822,0.00071912,0.084846,1.6987,0.064143,2.1344e-08,6.7926e-07,0.026683,-1.9621e-05,-0.0015407,0.07198,0.072216,-3.2563,-234.36,0.014149,87.24,1.5127e-07,1.9033e-07,0.070567,4.5844,1.264e-12,26
130,-14,3000,-25.797,-0.0076083,0.39546,1.0293,0.16432,8.5208e-07,1.4507e-05,0.061537,-7.3191e-05,-0.0048763,0.37544,0.3864,-2.0563,-325.94,0.14926,662.47,5.6491e-06,7.3054e-06,0.11028,6.6915,4.5685e-13,27
130,-14,4000,35.391,-0.026877,0.81277,1.7417,0.26596,4.6995e-06,4.7154e-05,0.088561,1.2633e-05,0.00072273,0.77757,0.80087,-4.5229,-423.77,0.0073379,24.015,2.7864e-05,3.7202e-05,0.13163,6.0502,3.7666e-13,28
130,-14,5000,45.161,-0.057047,1.2816,1.8437,0.34069,1.2987e-05,8.2479e-05,0.10012,-28001000,-30.809,1.1263,1,-1643000,-497.32,8.3732e-11,67.784,0.019816,0.018066,9.7278e-08,844.4,3.6141e-13,29
130,-14,6000,57.16,-0.10615,1.8545,3.6409,0.37991,2.7076e-05,0.00010574,0.095123,4.6061e-05,0.0020556,1.7604,1.7948,-5.9555,-550.57,0.19474,387.83,0.00017581,0.00024919,0.16222,7.7371,3.0888e-13,30
130,-14,7000,69.062,-0.16506,2.4302,4.7966,0.3742,4.2616e-05,0.00011,0.079391,-6.1968e-05,-0.0025163,2.2924,2.3164,-6.0026,-610.82,0.36352,599.35,0.00032238,0.00046955,0.19731,9.0247,2.8846e-13,31
130,-14,8000,82.18,-0.23543,3.0575,5.911,0.33605,5.7587e-05,0.00010168,0.058992,0.00042555,0.014889,2.8768,2.8803,-6.0202,-618.38,10.196,12479,0.00052888,0.0007776,0.30193,10.021,4.1339e-13,32
130,-12,1000,2125100,0.0013858,-8.3493e-06,-523.24,2.0023e-20,81.41,81.614,3.9656e-18,0.0057143,225.83,0.18204,0.18067,-64.954,-346.34,16.906,19402,16398,16398,4634.2,44410,4.8887e-10,33
130,-12,2000,14.855,0.0018023,0.0047643,8.5378,3.419,3.9794e-09,1.4976e-07,1.4546,5.9096e-06,0.0035499,0.0086892,0.0070367,-0.99299,-477.39,2.0985e-10,7.6253e-05,1.1673e-08,1.1368e-08,0.16486,83.8,6.1896e-11,34
130,-12,3000,-20.897,-0.0015749,0.15389,2.3973,0.25429,2.3399e-07,5.4808e-06,0.10091,-7.836e-06,-0.001827,0.15691,0.15916,-2.0094,-418.33,3.4527e-11,1.8956e-06,1.6352e-06,1.5919e-06,0.09952,19.961,7.3473e-13,35
130,-12,4000,31.374,-0.013899,0.4174,2.5398,0.50401,2.5397e-06,3.1419e-05,0.1764,-11397000,-11.021,0.25176,0.22111,-2141700,-527.77,3.5655e-11,37.434,0.0053422,0.0050367,4.0383e-09,3153,5.2993e-13,36
130,-12,5000,41.995,-0.036951,0.73446,3.1808,0.77193,1.0058e-05,7.357e-05,0.23637,20712000,44.578,0.4855,0.42215,-1476600,-595.44,2.7076e-09,567.64,0.017221,0.01622,2.1309e-06,3533.5,4.0663e-13,37
130,-12,6000,54.202,-0.077567,1.1192,3.8492,1.0686,2.8393e-05,0.00012418,0.27853,-3.5255e-05,-0.0032345,1.0581,1.0841,-2.8119,-556.61,0.039511,332.6,0.00012534,0.00015632,0.25852,20.136,4.328e-13,38
130,-12,7000,66.193,-0.13249,1.5077,4.6077,1.2845,5.7133e-05,0.00016198,0.28378,9.4355e-05,0.0073659,1.3965,1.4226,-2.5096,-599.14,0.3518,2143.5,0.00023156,0.00029638,0.32499,22.546,4.5317e-13,39
130,-12,8000,79.923,-0.21599,1.9785,5.2933,1.4237,0.00010289,0.00019279,0.2583,-9.2973e-06,-0.00059892,1.7824,1.8018,-6.5926,-612.15,0.016859,69.975,0.00038419,0.00050942,0.23843,16.512,4.9337e-13,40
130,-10,1000,-24475,-1.2677,1.2691,41.697,3.9801e-08,0.95803,0.95813,5638.3,0.081379,3.4796,0.0014503,0.0001217,-172.5,-151.51,2.3183,4232.9,2.5062e-09,2.6032e-09,1609.5,45966,1.5201e-10,41
130,-10,2000,49.2,0.0016611,0.00054931,12.222,1133.5,7.5857e-09,4.0528e-08,315.92,1410.4,871.67,0.0018648,9.013e-05,-122.08,-174.14,1.3224,27.138,9.9829e-10,2.7585e-09,0.015252,74205,9.6691e-11,42
130,-10,3000,7.252,0.0022524,0.0094636,0.42404,0.39186,3.3973e-09,3.0865e-07,0.18118,-4.2338e-05,-0.064421,0.0041423,0.0018599,-9.8837,-364.46,4.1387e-05,95.758,1.0321e-08,1.0329e-08,3.7992,925.69,1.7391e-11,43
130,-10,4000,-21.836,0.00089114,0.065673,-0.038895,0.39023,6.321e-08,1.3879e-06,0.15317,-4.0311e-07,-0.00020502,0.060335,0.058613,-2.2227,-292.8,9.4522e-14,2.4235e-08,5.7014e-07,5.5526e-07,0.12294,3.9526e-09,1.9572e-12,44
130,-10,5000,-32.599,-0.0042197,0.16968,1.0051,0.74821,6.0737e-07,7.037e-06,0.25794,-170.8,-648.78,0.048463,0.037481,72.683,-352.56,89521,147760,0.00013176,0.00011739,17053,3990.1,9.9698e-13,45
130,-10,6000,43.97,-0.01528,0.31426,0.91701,1.1518,2.6784e-06,1.7925e-05,0.34376,106170000,3692700,0.043564,16.896,12728000,-358600000,1.2704e-28,1.4515e-25,2.5349e-06,5.2973e-15,3.0684e-26,4.4545e-29,9.1634e-13,46
130,-10,7000,54.742,-0.03169,0.46663,1.1283,1.4981,6.8894e-06,2.9501e-05,0.38761,96197000,5997500,0.11109,0.040618,63271000,-19861,3.0551e-10,8.4892e-08,310290000,310290000,2.7748e-09,0.0071612,1.0017e-12,47
130,-10,8000,67.525,-0.058811,0.65264,1.4523,1.794,1.485e-05,4.0273e-05,0.38888,2.0604e-06,0.00025131,0.5854,0.59106,-1.2579,-297.78,3.3496e-13,4.5381e-09,4.687e-05,4.591e-05,0.35262,7.1149e-08,9.8839e-13,48
130,-8,1000,52.186,0.001359,0.00035159,-43.55,2848.3,7.5532e-09,3.6383e-08,771.83,-96064,99108,0.0008326,-0.00027652,-183270,150860,3.5508e-22,7.1882e-22,1.3636e-06,3.2981e-07,2.3896e-22,3.6056e-22,1.9606e-10,49
130,-8,2000,-127.77,0.0017369,0.00023652,192.1,35549,1.5585e-08,2.2032e-08,6131.2,-0.013168,-2.6419,0.001983,0.00019727,-175.58,187.63,0.015641,621.7,5.1063e-09,5.0162e-09,378.38,21422,8.2533e-11,50
130,-8,3000,190.17,0.0021328,0.00031778,92.087,72780,9.3885e-08,7.9014e-08,4541.6,3.5448e-05,0.58271,0.0017794,-0.00051971,505.73,1079.3,1.0487e-08,0.80164,7.0926e-08,7.098e-08,55.541,0.00087918,2.2348e-10,51
130,-8,4000,8.2395,0.0026364,0.011816,-0.41089,0.25107,3.0203e-09,2.3644e-07,0.11494,0.00021881,0.27227,0.0052957,0.0025536,9.984,251.66,9.9283e-07,1.5355,1.127e-08,1.1255e-08,2.2053,591.75,1.7383e-11,52
