"Temperature (C) ","Detuning (GHz) ","Laser Power (uW) ","G(1D)","C(1D)","A(1D)","By(1D)","Error G(1D)","Error C(1D)","Error A(1D)","Error By(1D)","G1(2D)","G2(2D)","C(2D)","A(2D)","Bx(2D)","Bz(2D)","Error G1(2D)","Error G2(2D)","Error C(2D)","Error A(2D)","Error Bx(2D)","Error Bz(2D)","Sensitivity (T/sqrt(Hz)"
137.5,23,1840,232.28,1.9916,2.957,3.4334,16.344,0.00012416,0.00099667,20.586,-0.0084717,-0.032613,4.9339,2.7439,-20.382,-615.94,0.17323,2.5672,0.00041073,0.00048887,3.7078,12.693,6.7668e-13
137.5,23,1960,230.48,2.2179,2.7194,-56.089,19.469,0.00017421,0.00034378,9.3422,-34.649,0.39654,3.5856,0.0074322,-20.43,-124.33,8236400,1083.5,0.00038578,0.00036981,1.4747,0.49859,5.2846e-12
137.5,23,2080,265.54,2.369,2.6081,-95.07,35.951,0.00035037,0.00041809,10.37,0.58965,0.96575,5.0783,2.4082,-20.14,-662.89,1.3707,3.6635,0.0004094,0.00064373,9.6434,15.577,1.5549e-11
137.5,23,2200,318,2.4906,2.4946,-122.76,81.208,0.00077989,0.00073001,16.713,0.95056,1.0895,5.0534,2.1097,-20.072,-711.86,4.2316,5.5392,0.00033875,0.00063765,14.437,17.256,1.2871e-09
137.5,25,1000,189.63,1.2066,0.89721,37.918,10.267,7.3345e-06,0.00034678,35.176,0.041497,0.18467,1.9361,0.68436,-20.343,-319.65,0.032117,0.63614,2.1251e-05,2.3855e-05,2.4719,9.3515,2.7966e-12
137.5,25,1120,214.16,1.3479,1.1753,59.943,15.242,1.7798e-05,0.0011502,72.023,-0.047863,-0.20853,2.3023,0.88735,-20.338,-369.01,0.026181,0.49691,3.3762e-05,3.8147e-05,2.3989,8.9296,1.4523e-12
137.5,25,1240,234.35,1.4942,1.5077,77.533,16.537,3.0999e-05,0.0023398,95.714,0.0020586,0.0088743,2.7089,1.1158,-20.401,-419.93,0.094651,1.759,5.4202e-05,6.1594e-05,2.4882,9.2163,1.1958e-12
137.5,25,1360,227.31,1.6733,1.6777,57.133,16.465,3.7145e-05,0.001718,63.549,0.44109,42.18,3.1196,1.4183,-15.188,-3313.7,0.03175,360.73,0.00066733,0.00074595,5.913,14866,1.1005e-12
137.5,25,1480,233.24,1.8351,1.9213,50.596,22.022,6.3679e-05,0.0021737,69.706,-0.0013755,-0.0057834,3.5368,1.5837,-15.891,-497.3,175.36,3100.1,0.00017169,0.00027355,1.3477,8.8683,1.0583e-12
137.5,25,1600,232.99,2.0244,2.1406,33.443,17.563,6.3868e-05,0.0012845,39.005,0.00060198,0.0024627,4.0091,1.8508,-15.815,-541.95,34.46,576.82,0.00023576,0.0003808,1.4607,9.2317,9.0232e-13
137.5,25,1720,236.01,2.2434,2.4391,26.8,16.849,8.0161e-05,0.0012606,32.235,0.02577,0.10026,4.5428,2.1466,-20.341,-566.28,0.10415,1.5762,0.00023093,0.0002722,3.2919,11.292,8.9984e-13
137.5,25,1840,234.95,2.4673,2.4494,-15.623,18.568,0.00010534,0.00048076,16.651,0.0011581,0.0039667,4.9909,2.3557,-16.14,-602.58,2297.3,26965,0.00042183,0.00071715,1.8556,9.8129,8.107e-13
137.5,25,1960,247.17,2.7022,2.236,-72.213,25.788,0.00016649,0.00025269,9.8598,0.0054371,0.011457,5.0495,2.1622,-12.77,-645.63,6880.4,30541,0.00040987,0.00084649,3.7577,10.531,1.3524e-11
137.5,25,2080,300.21,2.8935,2.0635,-109.43,60.817,0.00037984,0.00038507,14.598,-0.013111,-0.017038,5.0313,1.84,-10.347,-690.82,71180,120360,0.0003334,0.00085656,7.2959,11.296,4.139e-10
137.5,25,2200,375.16,3.0343,1.9253,-145.09,170.88,0.0010348,0.00088263,25.913,-0.023449,-0.020171,4.9959,1.505,-10.446,-736.25,357260,264510,0.00023834,0.0007645,12.534,12.364,3.2656e-09
