"Temperature (C) ","Detuning (GHz) ","Laser Power (uW) ","G(1D)","C(1D)","A(1D)","By(1D)","Error G(1D)","Error C(1D)","Error A(1D)","Error By(1D)","G1(2D)","G2(2D)","C(2D)","A(2D)","Bx(2D)","Bz(2D)","Error G1(2D)","Error G2(2D)","Error C(2D)","Error A(2D)","Error Bx(2D)","Error Bz(2D)","Hanle (V/nT)","Demod (V/nT)","Sensitivity (T/sqrt(Hz)","Error Sensitivity","Run Number"
140,-10,1000,35.48242954,0.001488266,0.843910381,3.748058509,0.065715733,0.000401205,0.001292751,0.061232731,3593.669974,75532.03901,-11885.56174,-11885.30787,2.409796251,-294.2246197,NA,NA,NA,NA,3.46765613,30.68734177,0.023783895,0.003878694,3.11302e-13,2.17859e-13,1
140,-10,2000,73.54331993,-0.211244034,2.447782113,4.825334708,0.563792244,0.005999927,0.008992572,0.251509669,609.1031035,23603.21992,-3564.835953,-3563.927137,1.409205169,-366.8627067,3372.759581,130667.1695,39457.83595,39457.83613,2.686539354,47.9018442,0.033283541,0.006705919,2.48813e-13,1.07509e-13,2
140,-10,3000,107.1029475,-0.346255902,3.884858118,7.25074965,0.826229426,0.013403261,0.013931164,0.286869411,659.81518,31470.1057,-11757.04503,-11755.22911,1.405281298,-450.7392518,5497.023484,262153.5798,195843.2646,195843.2648,2.045414821,49.71740572,0.036272187,-0.007696019,3.34714e-13,5.18938e-13,3
140,-10,4000,125.8569628,0.018308859,5.186183315,9.540641646,1.083032817,0.023241112,0.021989259,0.325122267,406.6290041,23122.42377,-9864.695283,-9861.551595,1.294107072,-551.0987548,1387.559187,78875.42478,67276.91859,67276.9189,1.548349326,50.47641812,0.041206964,-0.009429542,4.87349e-13,7.06293e-13,4
140,-10,5000,137.53658,0.699839961,6.285140775,10.89939064,0.984265601,0.025497366,0.023417508,0.269666943,134.9816661,8610.207625,-1761.304993,-1756.667397,1.1552752,-619.7241388,2149.385072,136996.3337,55885.42979,55885.44301,1.319469563,52.238038,0.045697957,-0.011030986,5.41282e-13,6.94105e-13,5
140,-10,6000,145.840216,1.374526679,7.084497781,11.53120125,0.861636216,0.025100352,0.022781253,0.221143323,37.14803768,2512.718873,-177.1366001,-171.1729249,1.051238165,-648.9585664,51.28138946,3431.939332,466.1670472,466.1820357,1.239055694,53.10713402,0.048577121,-0.012097581,2.90507e-13,4.76565e-13,6
140,-8,1000,31.52762585,0.001968135,0.757205066,4.955206823,0.093473863,0.0005354,0.001869037,0.087996962,2083.029835,59975.17719,-5666.366911,-5666.158745,0.668626938,163.8092217,NA,NA,NA,NA,3.991360773,38.55682148,0.024017193,-0.002359047,1.50225e-13,6.07681e-14,7
140,-8,2000,72.19356553,-0.195412614,2.30730941,-0.613366171,0.606210538,0.006098869,0.009327516,0.273019067,936.4598972,39098.13276,-8892.117644,-8891.283235,0.599932665,263.2530334,NA,NA,NA,NA,2.881981245,43.92168716,0.031960042,0.005747412,1.71371e-13,4.4792e-14,8
140,-8,3000,106.9394595,-0.337688365,3.688960044,0.766501004,0.958983166,0.014779325,0.01536706,0.333046059,487.6960433,25065.71123,-7076.758045,-7075.033119,0.698025806,319.6785856,NA,NA,NA,NA,2.151837626,42.90013556,0.03449578,0.006873265,2.33666e-13,4.23928e-14,9
140,-8,4000,123.9778405,0.057057795,4.907564665,1.739532182,1.268103977,0.025789271,0.024533499,0.38539822,446.8127396,26343.6916,-12515.33208,-12512.2912,0.923633007,365.193656,NA,NA,NA,NA,1.588430318,38.30385391,0.039584208,-0.008298826,2.88268e-13,8.49298e-14,10
140,-8,5000,134.5325728,0.771717638,5.923475567,2.760669322,1.231618003,0.030130491,0.027805979,0.344242821,235.4926007,14865.62632,-5176.867379,-5172.349218,1.273767127,388.336675,NA,NA,NA,NA,1.334145405,35.40551415,0.044030047,-0.009870218,1.52229e-13,4.75297e-14,11
140,-8,6000,142.494587,1.460251302,6.680043308,3.270861185,1.184612445,0.032613141,0.029684295,0.310717267,195.6400169,12759.19917,-4352.437157,-4346.6198,1.451410643,390.4813914,NA,NA,NA,NA,1.25859405,34.58282092,0.046879278,-0.010858586,1.38636e-13,6.87343e-14,12
140,-6,1000,29.94560125,0.001193429,0.890256139,3.28916425,0.051537698,0.000354102,0.001278777,0.048707212,3877.710137,83195.54937,-15037.77001,-15037.4967,0.233138598,341.4685547,7191.499691,154199.8456,55741.3473,55741.3473,3.180741469,27.14431432,0.029729112,0.005891181,1.74047e-13,1.83682e-13,13
140,-6,2000,54.88653487,0.009726152,2.23305484,-2.460142081,0.220201181,0.003091652,0.007116024,0.192196857,1269.577746,31778.63501,-6826.277614,-6825.359702,0.25603786,457.6175162,8134.787157,203612.3344,87459.45715,87459.4573,2.533625392,29.02426817,0.04068493,0.009988416,1.58375e-13,5.1146e-14,14
140,-6,3000,94.50146718,-0.471860278,4.172143909,-2.536893424,0.459622541,0.008089169,0.009337475,0.175594824,1234.819364,37077.77284,-16359.14984,-16357.40768,0.356743386,587.8832106,NA,NA,NA,NA,2.105288021,33.86821316,0.044148986,-0.010693584,3.3686e-13,6.43325e-13,15
140,-6,4000,124.9702209,-0.534688672,5.911191616,-1.88491165,0.637440462,0.015609097,0.014796469,0.192216047,225.4753633,8197.435818,-1230.88331,-1227.928428,0.617719334,732.5501083,2210.787557,80406.03271,24075.92231,24075.93206,1.705851585,39.47275517,0.047300802,-0.011682348,1.33637e-13,1.89141e-13,16
140,-6,5000,137.3589904,-0.009287363,7.13167634,-1.164522627,0.713768338,0.0210087,0.019276578,0.195004764,21.7526395,902.6336118,-24.69851687,-20.29877808,1.180403021,817.6313442,3.025672651,117.7317052,5.095200049,5.109039713,1.432231337,37.92714616,0.051919982,-0.013039497,8.28884e-14,1.25754e-13,17
140,-6,6000,146.1408878,0.584453177,8.06957571,-1.194900053,0.67827639,0.02254033,0.020426594,0.172714766,15.67242513,710.0266552,-20.5279025,-14.81624413,1.662013327,882.6835843,1.531888308,59.80075773,2.354233372,2.370698415,1.30601854,38.2537246,0.055217782,-0.014053986,8.13783e-14,1.06954e-13,18
140,-4,1000,22.5658853,0.001413136,0.828113923,4.078776646,0.052525074,0.000376915,0.001626194,0.05047676,4881.066465,75238.54694,-13520.29561,-13519.99184,0.513931397,239.7833138,NA,NA,NA,NA,2.518110168,13.84662663,0.036697604,0.00663177,1.44897e-13,5.25646e-13,19
140,-4,2000,44.91342014,0.004685423,2.190402035,-2.150355831,0.118129226,0.001725327,0.004681443,0.107011302,1632.831659,26042.94039,-4596.08038,-4595.134281,0.616975047,357.8410514,NA,NA,NA,NA,2.203944132,14.20134982,0.048769433,0.012616396,1.8628e-13,4.03097e-14,20
140,-4,3000,67.19767729,0.025401636,3.496949765,-2.263118878,0.315402025,0.006631571,0.012574879,0.258883311,67.20054142,1194.614268,-18.38309053,-16.65945468,0.711480211,488.0357583,10.88662086,195.6649467,5.256365032,5.260383497,2.016737188,16.53650429,0.052039742,0.01363597,2.58324e-13,8.26744e-13,21
140,-4,4000,116.6151765,-0.810571778,6.162865918,-1.983601195,0.38424997,0.009842317,0.009663616,0.123758849,36.99470215,725.6050097,-12.5221423,-9.671658794,1.088936942,607.7033405,2.617705507,47.21551603,1.148349128,1.155440506,1.782318095,17.22780072,0.052847889,-0.013604337,1.05994e-13,1.52428e-13,22
140,-4,5000,140.0742132,-0.671098043,7.774031763,-0.733314369,0.68344136,0.021912778,0.02001294,0.182700155,24.76789745,558.9528457,-12.28654612,-8.021196434,1.471775883,713.4913324,1.356814301,24.23361352,0.607849355,0.618955658,1.546452364,17.75945706,0.055499378,-0.014306683,6.49501e-14,7.7346e-14,23
140,-4,6000,152.9505723,-0.246542102,8.872376065,-0.355359242,0.825965512,0.030131762,0.027163662,0.199107407,19.57386423,493.6983224,-13.17431309,-7.60248392,1.843871262,789.0061458,0.978637761,17.86157318,0.469934831,0.483929719,1.389457718,18.24672211,0.058008126,-0.014992587,6.31059e-14,5.60584e-14,24
140,-2,1000,18.88437639,0.001446469,0.79019067,4.947167223,0.056789052,0.000419862,0.002014615,0.054987558,2450.145206,29909.64514,-2061.538843,-2061.228066,0.913505565,185.2843165,NA,NA,NA,NA,2.207315808,9.175543153,0.04184362,0.005812853,1.07438e-13,4.42075e-13,25
140,-2,2000,38.34244952,0.003457988,2.08571837,-1.601512351,0.071523922,0.00104939,0.00320186,0.066116289,74.44627779,806.7880128,-5.433859499,-4.48306583,1.268290943,287.8265334,5.239815711,54.29419183,0.54214285,0.544759147,2.109472547,9.245312496,0.054397108,-0.01419689,1.4041e-13,1.26435e-13,26
140,-2,3000,58.93814868,0.017371085,3.380678278,-1.620862213,0.228965319,0.004781376,0.010320107,0.196287037,59.54788208,643.7502869,-6.520614098,-4.853969719,1.340262503,388.664599,3.031646557,27.58050072,0.352943291,0.357217625,1.988721528,9.348236369,0.057359764,0.015147658,2.7733e-13,7.36302e-13,27
140,-2,4000,104.3471155,-0.765996533,5.976976494,-1.404313341,0.592524341,0.014820274,0.015702168,0.209946966,46.42146155,542.6338819,-8.086158559,-5.352201263,1.57249206,493.6408167,2.074911063,17.71456463,0.282855417,0.289905088,1.813564538,9.572033384,0.057279748,-0.014802226,7.31619e-14,1.1062e-13,28
140,-2,5000,135.9783638,-0.976876578,7.85515896,-0.062491597,0.760748206,0.024672473,0.022698311,0.210136133,36.03393127,475.8828056,-9.743679365,-5.699494393,1.912685663,584.6901873,1.525266199,13.23313143,0.248658574,0.259073519,1.627952102,9.803482378,0.057767712,-0.014936749,8.93122e-14,9.20551e-14,29
