"Temperature (C) ","Detuning (GHz) ","Laser Power (uW) ","G(1D)","C(1D)","A(1D)","By(1D)","Error G(1D)","Error C(1D)","Error A(1D)","Error By(1D)","G1(2D)","G2(2D)","C(2D)","A(2D)","Bx(2D)","Bz(2D)","Error G1(2D)","Error G2(2D)","Error C(2D)","Error A(2D)","Error Bx(2D)","Error Bz(2D)","Run Number"
125,0,4733.333333,21.704,-0.023791,1.0329,6.107,0.23447,9.4383e-06,0.00020911,0.092177,-2.5269e-05,-0.00084041,0.94515,0.994,6.5562,-243.63,0.042663,47.18,3.972e-05,5.2283e-05,0.084462,2.6243,24
125,0,5200,-25.188,-0.037647,1.3465,5.8444,0.29998,1.8348e-05,0.00032429,0.11316,-6.8662e-05,-0.0021008,1.2367,1.2989,6.6872,-283.59,0.27238,254.98,6.3273e-05,8.4424e-05,0.073686,2.5839,25
125,0,5666.666667,-28.68,-0.053831,1.6528,5.53,0.35323,2.9669e-05,0.00042622,0.12777,-7.6631e-05,-0.0021093,1.4928,1.5688,6.9286,-289.19,0.38894,294.71,0.00010366,0.00014098,0.097355,2.943,26
125,0,6133.333333,32.104,-0.071866,1.9397,5.3139,0.40283,4.3166e-05,0.00051349,0.13973,-8.6066e-05,-0.0022249,1.7877,1.8759,7.0856,-329.78,0.49664,331.87,0.00015055,0.00020707,0.093491,3.3033,27
125,0,6600,-35.982,-0.096075,2.2849,5.1101,0.45088,6.2312e-05,0.00060705,0.14904,9.8403e-05,0.0024421,2.0849,2.1805,7.4904,-368.73,0.62493,384.9,0.00020882,0.0002895,0.10701,3.5065,28
125,0,7066.666667,-38.853,-0.11496,2.4994,4.9957,0.49887,7.8736e-05,0.00066682,0.15903,-0.0001008,-0.0023372,2.33,2.4362,7.0158,-373.72,0.6736,362.16,0.00025801,0.00036259,0.10762,3.435,29
125,0,7533.333333,-43.279,-0.15128,2.9165,4.7564,0.54848,0.00011081,0.00076497,0.1652,0.00014013,0.0030685,2.6485,2.763,7.4092,-380.13,1.3301,637.73,0.00034722,0.0004938,0.12433,3.8157,30
125,0,8000,-48.588,-0.19978,3.3873,4.6346,0.59867,0.00015351,0.00084219,0.16821,0.00017838,0.0036855,3.0334,3.1521,6.2967,-419.41,2.3142,987.79,0.00049189,0.00070845,0.14815,3.6491,31
120,0,1000,3.2965,0.0011101,0.00016368,14.462,2.8521,1.3583e-11,3.3347e-09,1.198,2.4266,253.7,0.0012596,0.00013124,-51.368,834.68,2.9203,0.47021,3.978e-09,3.8359e-09,613.3,0.01748,32
120,0,1466.666667,19.301,0.0011541,0.0079794,12.173,0.13609,3.5841e-10,9.4162e-09,0.055027,0.075877,8.8423,0.0078781,0.0067175,5.3429,-28.196,0.00010707,1.295,9.3293e-09,9.1128e-09,0.55068,33.952,33
120,0,1933.333333,8.5403,0.00021369,0.1386,8.1118,0.04211,6.7469e-08,5.0622e-06,0.019221,-0.082346,-4.3152,0.1164,0.12048,3.1052,-101.89,0.00046033,1.2578,5.2252e-07,5.1906e-07,0.14451,5.0855,34
120,0,2400,12.359,-0.003156,0.36007,7.6174,0.073324,5.7043e-07,2.7235e-05,0.032082,42.562,-1.8965,0.075472,0.00010695,30.612,-40.657,18147000,36620,4.4666e-06,3.5256e-06,0.028596,0.0093976,35
120,0,2866.666667,-16.739,-0.00892,0.61007,7.0685,0.091975,1.5887e-06,5.0906e-05,0.038298,6.7379e-05,0.0016914,0.5649,0.59681,3.7674,-152.94,0.26084,164.4,1.1822e-05,1.6441e-05,0.1283,2.6343,36
