Temperature (C) ,Detuning (GHz) ,Laser Power (uW) ,Cost filtered (V/nT),Cost unfiltered (V/nT),Loop,Run_number,C(1D),A(1D),G(1D),By(1D),Error C(1D),Error A(1D),Error G(1D),Error By(1D),G1(2D),G2(2D),C(2D),A(2D),Bx(2D),Bz(2D),Error G1(2D),Error G2(2D),Error C(2D),Error A(2D),Error Bx(2D),Error Bz(2D),NA
107,12,727,0.003891,0.003891,1,1,1.416431,0.965132,248.014697,-14.373969,0.003812,0.005733,3.071939,1.372516,501.205963,867.261933,-2.679185,-0.602139,-5.97359,-331.732774,57.000628,61.931752,0.068049,0.072172,7.188646,15.747758,NA
97,13,815,0.002466,0.002466,1,2,2.639129,0.791862,321.070027,-11.570695,0.004111,0.004726,4.165131,1.58625,421.360539,799.793479,-3.641355,-0.418181,-4.340942,-432.920575,41.375867,45.811628,0.036742,0.039655,6.254144,15.889732,NA
126,8,917,0.012711,0.012711,1,3,0.092448,2.360171,185.677917,-21.711766,0.012451,0.025699,3.88601,1.974929,3037.126689,10796.68378,-199.48644,-198.123771,-1.606403,-477.158882,28664.9924,102086.4383,3741.307076,3741.316694,8.88583,64.995661,NA
129,18,1115,0.0094,0.0094,1,4,0.927947,1.908741,203.063608,-21.694256,0.009603,0.018002,3.776821,1.853238,547.866691,1295.557014,-4.544312,-2.524779,-8.96999,-415.063903,86.923016,175.627095,0.614539,0.621447,8.318118,30.791605,NA
135,13,788,0.007708,0.007708,1,5,0.142166,0.890515,115.527034,-30.513224,0.005369,0.017556,3.899818,2.268088,48302.37682,150072.0662,-12927.78254,-12927.27607,-4.131737,-386.265137,288410.9358,895800.7323,154327.2161,154327.2161,11.731781,63.631916,NA
97,19,995,0.001865,0.001865,1,6,3.549997,0.488017,261.608597,-12.126946,0.001462,0.002073,2.34724,1.018655,480.458579,831.741888,-4.143774,-0.275229,-6.090024,-440.239234,49.231239,50.228011,0.025315,0.027162,7.074073,17.119791,NA
99,12,1024,0.002802,0.002802,1,8,3.04385,1.039345,370.971582,-17.794114,0.006476,0.006615,5.054462,1.719321,293.700792,727.233864,-4.279389,-0.444171,-5.2849,-494.997905,30.468103,42.136522,0.039634,0.043484,5.659759,18.527456,NA
127,11,1167,0.013667,0.013667,1,9,0.264742,2.999584,219.481728,-22.735599,0.017571,0.030252,4.463874,2.117801,459.820085,1551.34578,-7.493708,-5.486771,-6.503713,-512.744024,104.930155,326.564369,2.161109,2.173994,8.120511,52.723907,NA
129,14,797,0.010145,0.010145,1,10,0.34236,1.471046,144.998424,-19.396549,0.006635,0.017596,3.12242,1.718227,2226.337829,5434.096124,-31.202426,-30.154784,-7.99814,-336.793855,4834.200758,11857.28311,130.734532,130.738959,9.689922,37.490443,NA
93,7,1474,-0.000005,-0.000005,1,11,4.873024,-0.002925,548.909995,0,NaN,NaN,NaN,NaN,66.791193,366.56944,-4.870144,0.000288,-7.951951,-448.572809,55.489785,122.845708,0.000137,0.000178,15.750891,48.115012,NA
112,19,642,0.004765,0.004765,1,12,1.369602,0.643741,135.100479,-11.069713,0.00153,0.00434,1.612722,0.904257,855.143602,1269.342335,-2.48248,-0.783894,-2.962544,-257.351115,118.675914,146.921571,0.157509,0.159712,9.063633,17.676721,NA
83,-5,1280,0.000823,0.000823,1,14,4.105208,0.779639,946.981053,-0.338432,0.048272,0.046082,54.032051,4.850695,72.964928,797.039181,-5.110424,-0.25134,-10.688263,-0.677119,23.478649,141.408559,0.084953,0.086658,2.534773,18.901272,NA
80,3,941,0.00106,0.00106,1,15,3.100924,0.625078,589.691559,-3.770182,0.008396,0.007563,11.106807,2.253284,105.797775,592.280078,-3.815743,-0.155556,-9.288627,-471.132796,14.723578,41.106005,0.017875,0.019719,3.740646,20.532308,NA
91,17,813,0.001611,0.001611,1,16,3.170637,0.409373,254.152807,-10.518382,0.001716,0.002511,3.270936,1.442344,510.517149,845.876651,-3.680561,-0.237639,-7.272623,-387.446039,53.293328,53.145541,0.022963,0.024546,7.11496,15.751514,NA
104,16,1281,0.002855,0.002855,1,17,3.456509,0.990424,346.929895,-20.463364,0.007697,0.008272,6.275583,2.255509,241.164844,663.461211,-4.556346,-0.365629,-10.115321,-509.470458,31.929226,46.463776,0.038863,0.043616,6.499466,22.192578,NA
114,11,1289,0.006149,0.006149,1,18,1.599501,2.082767,338.695644,-21.404802,0.01043,0.011437,4.036386,1.478103,271.761991,788.690574,-4.210056,-1.075171,-7.829671,-502.050645,32.021636,55.841299,0.123249,0.131745,6.03916,24.431791,NA
102,-1,1389,0.003098,0.003098,1,19,1.461854,3.489449,1126.319435,-21.884163,0.297893,0.289299,78.048022,4.882508,16.081089,309.322661,-5.02579,-0.132258,-6.470737,-463.725725,4.977049,36.477355,0.025702,0.030221,2.391676,17.036457,NA
123,12,1408,0.01277,0.01277,1,20,0.649297,3.733205,292.347162,-22.491984,0.019099,0.024081,4.066201,1.651142,274.280245,950.820922,-5.940897,-2.743524,-3.241237,-564.068365,37.420714,89.795359,0.444657,0.461305,6.665627,39.882085,NA
102,-1,1389,0.003217,0.003217,2,21,0.856076,4.097476,1273.763037,-6.297223,0.457455,0.44826,106.537812,4.981344,17.06232,325.397502,-5.04445,-0.145912,-8.715357,-452.564787,4.684712,34.385736,0.02576,0.029865,2.167487,16.276822,NA
107,-1,727,0.004225,0.004225,2,22,0.647593,1.803819,426.961942,-9.677786,0.016317,0.015401,7.389966,2.206262,149.83005,892.509017,-3.25468,-1.140176,-5.457007,-293.158182,36.992121,135.868253,0.32045,0.328546,4.765551,29.573664,NA
107,12,727,0.003654,0.003654,2,23,1.459635,0.971984,265.987412,-17.512072,0.00635,0.008846,5.13232,2.206703,476.308021,892.352491,-2.731937,-0.643166,-4.739455,-349.235313,53.8958,65.239921,0.07588,0.079827,6.966255,16.731881,NA
102,12,1389,0.002449,0.002449,2,24,3.331574,1.604633,655.310469,-12.352644,0.044793,0.040735,23.222211,4.037136,104.991673,385.682119,-4.974029,-0.161245,-7.042035,-591.026399,15.139006,22.580776,0.01206,0.016858,3.916378,10.911416,NA
112,-3,642,0.00405,0.00405,2,25,0.302086,1.422471,351.215262,-15.873862,0.01316,0.014001,7.476637,2.660451,602.35167,2702.006547,-9.846691,-8.460893,-3.956951,-195.713349,573.932962,2425.293922,15.006497,15.013421,5.756679,30.915377,NA
112,12,727,0.005156,0.005156,2,26,0.997872,1.157943,224.592094,-16.625912,0.003705,0.006217,2.447965,1.149002,539.496888,1001.345797,-2.67352,-0.938991,-4.820975,-315.512089,67.43893,88.790417,0.139405,0.144089,7.558515,18.058498,NA
90,11,1289,0,0.010392,2,27,-1400.890387,1405.773841,135268.7773,63.878731,NaN,NaN,NaN,16.284436,10490455.23,23004.04732,-4.849253,0.021316,7927.123887,509.613232,1159563970,847608.5357,0.010221,0.210967,662695.0634,109.740956,NA
107,19,642,0.003124,0.003124,2,28,1.619485,0.47101,150.75818,-7.692557,0.001107,0.002828,1.645141,0.895308,770.650912,1053.605468,-2.29457,-0.398353,-4.189162,-255.986157,94.110858,93.170176,0.057569,0.059423,8.794198,15.711305,NA
114,11,1289,0.006853,0.006853,2,30,1.625638,2.38057,347.373735,-17.740112,0.011788,0.012654,3.998745,1.435514,278.928221,783.050659,-4.541195,-1.17304,-7.409224,-535.760536,30.885797,51.618027,0.123309,0.132513,6.005814,24.780062,NA
102,18,1115,0.002406,0.002406,2,31,3.34016,0.655673,272.553935,-18.05631,0.003458,0.004692,4.155923,1.761741,442.4886,848.538114,-4.176678,-0.388842,-5.104854,-479.844103,44.988468,52.212229,0.037076,0.039499,6.92398,19.527708,NA
