"G1","G2","C","A","Bx","By","Bz","Error_G1","Error_G2","Error_C","Error_A","Error_Bx","Error_By","Error_Bz","MSE","Laser_Power","Laser_Detuning","Temp","PP"
1585300,832310,4.8689,-6.4754e-07,437400,221820,-495930,1.1946e-27,1.4948e-27,0.00021172,0.00027252,7.3756e-27,1.98e-27,2.8528e-27,1.5694e-07,617.5,10,71.090359,0.00069792
198.22,597.35,2.6109,0.2706,2.2714,0.19429,-96.049,2.1822,7.5941,1.2254e-07,2.9381e-07,0.64009,0.64009,2.0894,8.2685e-05,300,5,71.189287,0.10863
-183610,-672240,4.8685,2.8933e-05,-23321,-21217,2397600,3.875e-21,2.2715e-22,0.040836,0.040884,7.3557e-20,6.1042e-20,7.8597e-23,1.6815e-07,700,10,71.415671,0.00066489
-20.804,1093,4.8689,3.314e-06,657.84,-255.2,-73.567,0.15405,0.69142,1.8485e-11,1.0194e-11,2.6278,10.32,993.56,1.4749e-07,617.5,10,73.359964,0.00060277
4.7856,76079,4.8686,3.6903e-06,-27113,33533,-12669,2.3026e-14,3.6465e-23,1.3353e-09,0.042519,2.5193e-23,8.848e-23,2.0502e-22,1.6393e-07,700,10,73.458439,0.00064228
193.25,531.32,2.5484,0.3176,2.1551,1.4988,-109.52,1.2168,3.527,9.1811e-08,2.4346e-07,0.3802,0.3802,1.025,6.7672e-05,300,5,73.692394,0.1252
194.55,513.8,2.5217,0.38835,2.7181,1.9677,-112.08,1.0962,2.9281,1.2146e-07,3.2212e-07,0.33963,0.33963,0.86022,9.0234e-05,300,5,76.099014,0.16104
-11.395,826.72,4.8689,-8.186e-07,768.19,-321.54,539.35,0.00078126,0.0006287,2.0578e-11,6.161e-13,0.078593,0.028998,3.9835e-05,1.6453e-07,617.5,10,76.18594,0.00064901
-35.565,-0.061122,4.8681,0.00035957,7078.7,-4631.6,1105.5,1.556e-05,0.00042968,4.3208e-09,5.1084e-09,0.46889,0.19544,11651,1.5919e-07,700,10,76.504958,0.0007467
192.71,521.59,2.5177,0.50207,2.1688,1.8904,-112.54,0.75864,2.135,1.424e-07,3.8204e-07,0.23879,0.23879,0.62535,0.00010619,300,5,78.847881,0.1949
