"Temperature (C) ","Detuning (GHz) ","Laser Power (uW) ","G(1D)","C(1D)","A(1D)","By(1D)","Error G(1D)","Error C(1D)","Error A(1D)","Error By(1D)","G1(2D)","G2(2D)","C(2D)","A(2D)","Bx(2D)","Bz(2D)","Error G1(2D)","Error G2(2D)","Error C(2D)","Error A(2D)","Error Bx(2D)","Error Bz(2D)","NA"
160,2,7000,2257600,8.6251,0.0004557,-23608,1.0872e-14,16943,16946,2.6318e-11,-0.15174,-0.098882,8.626,0.0024191,10.812,-201.05,4898700,2078800,9.3666e-09,5.523e-08,281.57,175.53,6.5986e-12
148,-4,4000,50.46,0.0022674,4.5465e-05,16.068,26.427,1.1974e-12,6.0924e-12,7.253,0.16802,374.66,0.011907,0.0096459,-62.205,0.84354,3.6836,0.16734,0.011664,0.011664,75.883,0.00066278,6.5986e-12
106,-4,8000,196.1,0.26909,6.1168,4.497,1.0353,0.00063906,0.00053005,0.030208,0.00057262,0.004814,6.4182,4.6926,6.236,-516.04,60.249,4258,0.0025261,0.0047513,0.93937,10.394,6.5986e-12
124,-18,5000,72.357,0.6422,2.8272,3.2787,0.0671,1.0189e-05,2.3719e-05,0.01358,3.3354e-05,0.00026158,3.3859,2.5898,-2.7028,-314.72,0.56392,34.684,0.00011999,0.00030047,0.29776,2.3927,7.5105e-13
160,2,8000,76403,9.259,0.53995,-105.99,4.6165e-10,0.57635,0.57636,2.5385e-05,9686300,2539.7,9.7989,-0.20462,-465.8,1268.7,2.7418e-10,612.09,2.5575e-11,0.00010113,4261.2,165.98,6.5986e-12
148,-4,5000,64.726,0.0027091,6.8001e-05,21.299,22.539,2.0516e-12,6.1529e-12,5.1074,0.00081288,0.013714,0.0027872,4.7985e-05,9.2769,-276.23,2.7664e-06,0.00078847,6.6375e-13,7.3413e-13,2.2733,51.347,6.5986e-12
106,-2,3000,71.25,0.011215,2.3249,7.7561,0.046168,4.7624e-06,1.1481e-05,0.0094997,-0.00069171,-0.0029208,2.3117,2.1371,2.7107,-187.19,17.567,313.23,6.9705e-05,0.00017722,0.25267,1.165,6.5986e-12
124,-18,6000,85.312,0.79835,3.5643,3.5358,0.081152,1.8735e-05,3.0569e-05,0.013596,-0.0003121,-0.0025449,4.3265,3.2738,-3.2133,-376.07,6.4435,428.41,0.00022967,0.00056878,0.34907,2.9737,7.5105e-13
160,4,3000,78.017,3.842,-0.0010926,117.77,1337.5,2.6359e-08,6.8176e-08,300.33,36.818,313.41,3.8436,0.0019638,35.353,1177.8,278.41,10916,4.6042e-08,2.5966e-07,722.59,157910,6.5986e-12
148,-4,6000,61.522,0.003207,0.0001073,15.687,8.5999,1.9892e-12,6.6456e-12,2.0325,2.4102e-12,5.2032e-06,0.18427,0.18102,-1.8855,-682.1,2.3205e-26,3.5374e-25,1.4603e-11,1.4603e-11,4.0138e-23,6.3494e-28,6.5986e-12
106,-2,4000,99.631,0.063369,3.1485,7.4053,0.10794,1.8857e-05,2.2881e-05,0.014594,-0.00095611,-0.0038941,3.193,2.7914,3.513,-237.84,35.669,591.7,0.0001603,0.00041281,0.34735,1.6492,6.5986e-12
124,-18,7000,97.146,0.97412,4.3372,4.175,0.067158,2.2368e-05,2.8343e-05,0.0094196,-0.00025995,-0.0021949,5.2227,3.8772,-3.7882,-433.58,7.5072,535.12,0.00039386,0.00096799,0.40918,3.9247,7.5105e-13
160,4,4000,62991,5.1409,-0.10009,45067,1.5904e-14,0.0018243,0.0041546,8.7743e-16,197.83,829.02,5.081,0.0084002,42.477,-138.73,21462,39388,6.6989e-06,6.5106e-06,3503.8,394.29,6.5986e-12
148,-4,7000,53.626,0.0036812,0.00014907,13.266,5.0681,2.3993e-12,1.075e-11,1.3328,-4.8349e-06,-5.704,0.075669,0.071934,35.477,83.255,1.7413e-09,39.307,0.38075,0.38075,15.04,0.0001172,6.5986e-12
106,-2,5000,123.85,0.12557,3.9024,6.5997,0.30601,7.9974e-05,7.2521e-05,0.028386,-0.0020615,-0.0088051,4.0232,3.3123,3.3041,-284.8,233.43,4258.5,0.00032721,0.00081906,0.47539,2.3221,6.5986e-12
124,-18,8000,110.01,1.1291,4.9719,3.9205,0.1235,5.3078e-05,5.5119e-05,0.01421,3.4915e-06,3.1967e-05,6.1678,4.4421,-4.3541,-543.33,0.0021673,0.18176,0.00062419,0.0015063,0.48145,5.0312,7.5105e-13
160,4,5000,-168.45,6.2036,-0.001308,140.66,18561,3.12e-07,2.8426e-07,1928.8,1200.3,54.047,6.2018,-0.0037425,-5993.5,184.7,0.80636,397.93,2.8964e-07,2.5535e-07,0.15461,1493.9,6.5986e-12
148,-4,8000,7.8259,0.004101,0.017358,6.6764,0.044582,1.2133e-09,1.009e-07,0.020504,0.039937,2.4847,0.0052635,0.0010561,58.253,-513.87,0.76511,3017.3,5.3917e-08,5.3156e-08,151.67,6295.6,6.5986e-12
106,-2,6000,147.52,0.28455,4.6595,5.7535,0.71772,0.00026389,0.00021626,0.045639,-0.0023419,-0.010657,4.9383,3.7943,3.7903,-332.16,515.12,10668,0.00063275,0.0015276,0.66446,3.4389,6.5986e-12
