"Temperature (C) ","Detuning (GHz) ","Laser Power (uW) ","G(1D)","C(1D)","A(1D)","By(1D)","Error G(1D)","Error C(1D)","Error A(1D)","Error By(1D)","G1(2D)","G2(2D)","C(2D)","A(2D)","Bx(2D)","Bz(2D)","Error G1(2D)","Error G2(2D)","Error C(2D)","Error A(2D)","Error Bx(2D)","Error Bz(2D)","NA"
142,-6,7000,13.284,0.0035339,0.016178,7.2566,0.10365,1.5295e-09,6.6595e-08,0.044884,-0.0028431,-0.60213,0.010592,0.0068916,10.254,-328.66,7.338e-05,3.2933,4.6188e-07,4.5477e-07,20.051,1721.5,6.5986e-12
118,-18.727273,8000,117.12,2.8573,4.4033,4.5136,0.59613,0.00019952,0.00019149,0.061404,-0.00038327,-0.0027118,7.2987,4.0037,-2.9128,-495.62,16.176,809.75,0.00044639,0.0012086,0.52434,4.1303,7.5105e-13
100,-4,5000,165.87,0.38711,3.8559,6.9664,0.62118,0.00015499,0.00012538,0.029482,-0.00058537,-0.0035356,4.2389,3.0174,4.7514,-376.1,57.298,2090,0.00058783,0.0012538,0.7307,5.2506,6.5986e-12
142,-6,8000,96.756,-0.0031393,0.049668,17.613,4.3121,1.8783e-07,2.4176e-07,0.61379,6.6535e-05,0.026945,0.054721,0.050819,9.6904,-561.54,0.0047933,785.81,3.4574e-06,3.4302e-06,2.0319,193.76,6.5986e-12
118,-18,3000,62.563,0.73151,1.5517,2.2413,0.11742,5.649e-06,1.813e-05,0.027288,0.00017246,0.00089155,2.3222,1.5139,-1.3411,-236.72,0.74681,19.956,2.0941e-05,6.4555e-05,0.21301,1.2024,7.5105e-13
100,-4,6000,189.68,0.67823,4.4869,5.7406,0.90961,0.00030333,0.00024972,0.029447,0.00065604,0.0043369,5.1815,3.3951,8.0732,-433.63,6.291,274.92,0.0010295,0.0021175,0.7291,8.5105,6.5986e-12
142,-4,3000,43.2,0.001835,4.9373e-05,20.161,22.718,1.3158e-12,9.1389e-12,6.8605,42.74,200.31,0.0018976,6.6971e-05,-31.102,191.04,46.505,212.55,3.1211e-12,3.0139e-12,92.408,127.92,6.5986e-12
118,-18,4000,77.076,1.0131,2.2286,2.7482,0.27522,2.5491e-05,5.1645e-05,0.052031,0.0015097,0.0086361,3.2558,2.0961,-1.7447,-300.62,60.37,1975.5,5.3995e-05,0.00015849,0.2611,1.6958,7.5105e-13
100,-4,7000,206.81,1.0787,4.9674,5.6199,1.0554,0.00042598,0.00035811,0.026053,-0.00016634,-0.0011506,6.0784,3.7272,5.5807,-472.95,25.447,1217.4,0.0014572,0.0029475,1.0468,8.7715,6.5986e-12
142,-4,4000,42.283,0.0023071,7.8791e-05,12.354,8.5206,1.2723e-12,9.1929e-12,2.6008,1.116e-06,1.2259,0.0081341,0.0057823,191.32,-40.835,1.2786e-11,1.1838,5.3034e-05,5.303e-05,6.1444,6.4725e-06,6.5986e-12
118,-18,5000,89.374,1.3036,2.8657,3.4304,0.45854,6.774e-05,0.00010055,0.072308,-0.00064325,-0.0040001,4.1658,2.6338,-1.8317,-362.19,18.514,715.91,0.00011213,0.00031761,0.32365,2.2531,7.5105e-13
100,-4,8000,222.54,1.5394,5.4151,5.0639,1.0559,0.0004995,0.00042845,0.020364,0.083706,0.60842,7.0016,3.9673,9.9873,-486.69,0.024006,1.2664,0.0013838,0.0019073,2.186,14.8,6.5986e-12
142,-4,5000,6.7549,0.0027288,0.013061,7.047,0.026609,4.7031e-10,4.6324e-08,0.012408,2.8433e-08,4.016,14.089,14.086,10.637,-67.926,2.2731e-18,4.3262e-21,3.0358e-10,3.0358e-10,6.0362e-23,1.3368e-25,6.5986e-12
118,-18,6000,102.21,1.6601,3.505,3.6179,0.64234,0.00013859,0.00016089,0.083374,0.0012388,0.0083765,5.1974,3.2045,-1.9482,-424.81,71.609,3273.7,0.0002143,0.00058608,0.39288,2.9711,7.5105e-13
100,-2,3000,92.476,0.44606,2.2,8.8792,0.17015,1.4703e-05,2.0452e-05,0.025655,-0.0049905,-0.015177,2.6491,1.9639,2.0412,-188.47,846.94,7833.8,6.1251e-05,0.00018306,0.35292,1.2632,6.5986e-12
142,-4,6000,114.28,-0.0065999,0.053826,21.704,6.1181,3.0457e-07,3.0487e-07,0.67235,4.217e-08,3.1544e-05,0.052902,0.050145,9.485,-652.1,8.4991e-18,2.7887e-13,3.5931e-07,3.5838e-07,8.4415e-13,5.0727e-18,6.5986e-12
118,-18,7000,112.82,2.0406,4.0726,4.0832,0.74702,0.00021476,0.00021566,0.082283,0.00072879,0.0050871,6.1644,3.7116,-1.5261,-437.26,41.662,2029.9,0.00035786,0.00096476,0.49926,3.4867,7.5105e-13
100,-2,4000,123.08,0.72552,2.8625,8.0973,0.38786,5.4547e-05,4.978e-05,0.036463,0.0046042,0.01437,3.5914,2.4505,2.9249,-239.8,1085.2,10571,0.00014598,0.00042808,0.53028,1.9586,6.5986e-12
142,-4,7000,205.16,-0.073344,0.21226,16.866,14.765,1.0801e-05,9.0626e-06,0.39115,-2.4128e-06,-0.00092252,0.17551,0.1744,8.521,-591.35,2.8043e-09,0.00040986,3.9965e-06,3.9463e-06,0.037078,13.041,6.5986e-12
118,-18,8000,122.62,2.4697,4.658,4.5242,0.75894,0.00028296,0.00025882,0.071684,-0.00062785,-0.0046813,7.2011,4.2177,-5.1039,-502.1,8.625,479.49,0.00055036,0.0014526,0.55955,4.8808,7.5105e-13
100,-2,5000,147.31,1.0506,3.4432,8.244,0.8072,0.00016195,0.00013285,0.051659,0.0013117,0.004538,4.484,2.8139,3.3287,-287.08,120.71,1444.7,0.00027857,0.00077656,0.69063,2.7766,6.5986e-12
142,-4,8000,325.54,-0.32643,0.63227,18.169,10.248,5.6215e-05,5.2743e-05,0.049772,-2.3521e-06,-0.00060012,0.34427,0.3464,9.458,-654.59,1.3737e-08,0.00089263,1.392e-05,1.3733e-05,0.023306,14.163,6.5986e-12
112,-26,3000,44.062,2.3867,0.60932,2.1856,0.10471,9.1435e-07,6.0948e-06,0.031216,0.0008955,0.0025373,3.0275,0.61937,-0.76852,-132.82,195.39,1568.5,5.7904e-06,2.5255e-05,0.59743,2.0008,7.5105e-13
100,-2,6000,169.88,1.4848,3.9853,6.9101,1.2049,0.00032048,0.00025956,0.053616,0.019741,0.078777,5.473,3.1345,10.154,-351.29,0.045806,0.72938,0.00034814,0.00061135,1.4275,5.9495,6.5986e-12
142,-2,3000,43.579,0.0018765,5.2738e-05,10.101,22.668,1.4917e-12,1.0167e-11,6.8035,0.00049461,0.006501,0.0019482,3.0823e-05,6.2684,-228.96,5.3042e-07,9.1191e-05,9.2982e-13,1.0813e-12,7.7225,108.8,6.5986e-12
112,-26,4000,53.038,3.1932,0.88186,2.4233,0.13695,2.2818e-06,1.0445e-05,0.036258,-0.0085189,-0.025577,4.0843,0.88464,-0.98302,-189.45,834.63,7523.6,3.3984e-06,1.388e-05,0.1732,0.66392,7.5105e-13
100,-2,7000,186.23,1.9951,4.4088,7.1013,1.5802,0.00050958,0.00041796,0.054188,0.0034305,0.015243,6.4025,3.3923,10.198,-397.76,0.015327,0.30262,0.00052401,0.00087576,1.6737,7.6211,6.5986e-12
142,-2,4000,38.059,0.0023577,8.1743e-05,17.066,5.2655,8.9968e-13,7.9267e-12,1.697,-1.853e-11,-4.1109e-05,0.34457,0.34218,104.42,4.8935,2.2718e-24,3.085e-25,1.3042e-10,1.3042e-10,2.0347e-21,1.066e-26,6.5986e-12
112,-26,5000,61.999,3.9471,1.1372,2.8775,0.18687,4.8451e-06,1.5862e-05,0.043772,-0.0010589,-0.0034983,5.0967,1.1183,-0.97254,-243.44,24.28,264.99,7.1027e-06,2.8515e-05,0.20505,0.87769,7.5105e-13
100,-2,8000,201.42,2.5839,4.7835,6.2524,1.6585,0.00062323,0.00052037,0.044625,0.00084462,0.0041257,7.3786,3.6144,6.2445,-429.89,40.966,977.54,0.0010523,0.0024708,1.0991,7.0276,6.5986e-12
142,-2,5000,-8.4144,0.0022362,0.057638,7.6752,0.062579,1.7576e-08,1.342e-06,0.028608,144910,872.39,0.0043039,0.001317,37377,-651.11,1.5265e-05,0.44623,2.2595e-07,2.459e-07,0.00093068,24858,6.5986e-12
112,-26,6000,71.279,4.7722,1.4168,2.6397,0.21739,8.3299e-06,2.0043e-05,0.044679,0.0017552,0.0063904,6.2258,1.3925,-1.0733,-299.24,72.227,957.44,1.3208e-05,5.0238e-05,0.2212,0.97958,7.5105e-13
100,0,3000,79.994,1.0657,1.7734,9.2357,0.24756,1.4365e-05,2.6901e-05,0.044918,0.0083003,0.018747,2.8605,1.6504,1.7461,-146.89,1733.1,8840.9,2.7747e-05,9.8172e-05,0.30862,0.87761,6.5986e-12
142,-2,6000,13.276,0.00099486,0.14003,3.088,0.16962,1.8762e-07,8.1753e-06,0.073454,-2.773e-06,-0.00092928,0.12807,0.12722,9.2521,-511.75,3.5184e-11,3.9565e-06,1.6884e-06,1.6695e-06,0.013122,7.0321,6.5986e-12
112,-26,7000,79.953,5.5427,1.6865,3.7644,0.24197,1.2707e-05,2.3783e-05,0.04387,0.0021416,0.0082876,7.2634,1.6217,-1.1693,-357.51,133.07,1992.8,2.5118e-05,9.2711e-05,0.29715,1.2856,7.5105e-13
100,0,4000,106.16,1.5806,2.2668,9.3323,0.46466,4.1662e-05,4.5656e-05,0.05691,0.00047129,0.0011322,3.8754,2.0527,4.1107,-228.74,16.252,93.794,6.6924e-05,0.00022875,0.44163,1.248,6.5986e-12
142,-2,7000,18.57,-0.0040153,0.32823,2.5969,0.3077,1.4141e-06,3.9231e-05,0.12545,-3.8488e-06,-0.00077373,0.32286,0.32698,9.1678,-515.3,3.5974e-10,1.4537e-05,8.8625e-06,8.7188e-06,0.019624,7.4449,6.5986e-12
112,-26,8000,89.492,6.3711,1.962,3.9409,0.27617,1.9117e-05,2.8304e-05,0.043476,0.00069575,0.0028216,8.3719,1.8735,-0.92727,-371.43,22.143,364.21,3.727e-05,0.00013439,0.31641,1.5948,7.5105e-13
100,0,5000,126.45,2.0904,2.7015,8.5326,0.75419,9.4233e-05,8.3982e-05,0.06726,0.0015581,0.0041314,4.8212,2.3548,3.8075,-274.59,155.42,1092.8,0.00012271,0.00039477,0.55759,1.6867,6.5986e-12
142,-2,8000,-24.031,-0.01405,0.58803,2.0974,0.4674,5.6455e-06,0.00010729,0.17876,6.9993e-06,0.0010185,0.58596,0.59784,8.3303,-555.82,0.0093244,197.49,3.8462e-05,4.2999e-05,0.037429,5.5425,6.5986e-12
112,-25.272727,3000,46.283,2.3579,0.64408,2.3467,0.14555,1.3834e-06,8.3684e-06,0.042152,0.0027674,0.0084253,3.0171,0.64885,-0.81551,-172.69,100.78,934.11,1.8659e-06,7.7974e-06,0.16458,0.57233,7.5105e-13
100,0,6000,146.9,2.7086,3.1236,7.5123,1.125,0.00018584,0.00015254,0.072397,-0.0029066,-0.0085157,5.8524,2.6295,3.2411,-288.66,506.33,4345.8,0.0002107,0.00064101,0.70041,2.3842,6.5986e-12
142,0,3000,42.8,0.0018814,3.106e-05,19.481,50.335,1.1597e-12,8.1981e-12,15.277,0.0039955,0.030443,0.0019396,2.8699e-05,-5.6986,-110.23,1.5429e-05,0.00087878,3.3727e-13,4.6197e-13,6.0506,46.246,6.5986e-12
112,-25.272727,4000,55.411,3.1124,0.92888,2.2378,0.1931,3.4996e-06,1.4605e-05,0.049509,0.0024078,0.0076186,4.0657,0.92824,-0.68887,-190.05,74.618,747.08,3.8097e-06,1.5596e-05,0.16191,0.64219,7.5105e-13
100,0,7000,163.04,3.331,3.4763,7.5215,1.4304,0.00029042,0.00023493,0.071098,-0.00042047,-0.0013803,6.8162,2.8299,5.8552,-338.3,42.155,454.25,0.00033502,0.00095748,0.84399,3.5718,6.5986e-12
142,0,4000,5.5245,0.0023525,0.0010426,8.674,0.0086932,1.1674e-12,1.4545e-10,0.0040242,1.5282e-05,1.6628,0.0039415,0.0015249,133.25,308.38,1.0253e-08,79.953,1.5571e-07,1.5573e-07,555.77,20203,6.5986e-12
112,-25.272727,5000,64.014,3.8527,1.1924,3.1398,0.24445,6.8841e-06,2.101e-05,0.055675,-0.00047382,-0.0016403,5.0781,1.1829,-0.13367,-247.56,10.98,131.58,8.7235e-06,3.4044e-05,0.21251,0.9486,7.5105e-13
100,0,8000,177.71,4.0436,3.7849,7.056,1.7312,0.00041356,0.00033654,0.067992,0.17638,0.64442,7.8272,2.9986,9.9971,-349.79,0.067643,0.90227,0.00036194,0.00066315,1.7518,6.7329,6.5986e-12
142,0,5000,6.9234,0.0025718,0.031294,5.1363,0.035458,3.5142e-09,3.3664e-07,0.016485,3.1821e-06,0.0013601,0.02629,0.023839,6.4349,-378.55,5.5731e-11,1.0177e-05,1.5089e-07,1.4833e-07,0.10416,36.362,6.5986e-12
112,-25.272727,6000,73.1,4.678,1.4981,3.4097,0.29169,1.2398e-05,2.8216e-05,0.058409,0.0007664,0.00284,6.2045,1.4708,-1.3091,-303.36,10.886,149.48,1.469e-05,5.5389e-05,0.21992,1.0366,7.5105e-13
100,2,3000,66.402,1.8063,1.2424,10.214,0.23784,7.1723e-06,2.0221e-05,0.052443,0.011256,0.023558,3.0645,1.1927,1.3482,-142.34,2594.3,11365,1.1985e-05,4.3699e-05,0.27743,0.72951,6.5986e-12
142,0,6000,13.01,-0.00033225,0.22503,4.3249,0.15276,4.4407e-07,1.9861e-05,0.066353,3.3297e-06,0.00059597,0.20723,0.20958,8.6247,-375.8,1.4936e-10,4.7889e-06,3.3745e-06,3.3131e-06,0.025328,5.2349,6.5986e-12
112,-25.272727,7000,81.239,5.4439,1.7724,3.6997,0.29664,1.7135e-05,3.0992e-05,0.052778,0.00065412,0.0026243,7.2462,1.7211,-1.7066,-360.52,13.684,220.25,2.7097e-05,9.8119e-05,0.27631,1.3276,7.5105e-13
100,2,4000,88.77,2.4759,1.6065,8.2477,0.32093,1.4913e-05,2.2471e-05,0.051137,0.0024029,0.0050594,4.1249,1.5245,1.5241,-190.94,139.15,616.86,2.0893e-05,7.7734e-05,0.28637,0.77061,6.5986e-12
142,0,7000,18.071,-0.0079095,0.50982,3.9123,0.27499,3.1169e-06,8.9849e-05,0.11277,161.32,-0.37951,0.058928,-0.0010281,10.266,-54.572,8.7422e-09,0.00040503,5.9144e-06,9.8682e-06,14.956,0.035892,6.5986e-12
112,-25.272727,8000,90.216,6.2489,2.055,4.0226,0.32667,2.4767e-05,3.6089e-05,0.050872,0.0010485,0.0044457,8.344,1.9652,-1.2797,-375.26,59.813,1075.3,4.6442e-05,0.00016297,0.34475,1.6827,7.5105e-13
100,2,5000,106.82,3.1513,1.9318,8.7244,0.56514,3.6776e-05,3.9915e-05,0.068488,0.00023351,0.00054042,5.1136,1.7685,2.0761,-235.82,4.7615,25.499,4.629e-05,0.00016196,0.42731,1.2388,6.5986e-12
142,0,8000,22.769,-0.019767,0.82376,3.3652,0.39784,9.8207e-06,0.00020257,0.15445,-4728.6,-1961.8,0.44502,0.41287,213.58,-488.23,817540000,13541000,0.018774,0.017656,306750,630.24,6.5986e-12
100,2,6000,124.89,3.9336,2.2568,8.6881,0.92118,8.0404e-05,7.2427e-05,0.084211,-0.00034286,-0.00089,6.2191,2.0092,2.1207,-282.51,10.663,71.856,8.3955e-05,0.00027388,0.53013,1.7032,6.5986e-12
142,2,3000,-15.453,0.0018807,0.00039043,13.581,0.12603,9.528e-13,3.4019e-11,0.053257,-57.511,7.3356,0.0076467,0.0039443,423010,-83872,376.32,23072,0.029275,0.024066,3.0576e-05,0.00017361,6.5986e-12
112,-24.545455,3000,48.713,2.2891,0.68013,2.0506,0.16299,1.6828e-06,9.183e-06,0.045715,-0.0061385,-0.01819,2.994,0.68941,-1.1104,-175.91,399.9,3511.3,1.7287e-06,7.2928e-06,0.14192,0.52357,7.5105e-13
100,2,7000,140.09,4.6581,2.5274,7.8674,1.096,0.00011892,9.9316e-05,0.078663,0.00027022,0.00078239,7.2201,2.1843,1.7669,-327.12,5.4043,45.305,0.0001312,0.00040185,0.6212,2.1672,6.5986e-12
142,2,4000,10.021,0.0023087,0.0056836,10.152,0.016832,3.9259e-11,2.4319e-09,0.0075584,0.76085,38.815,0.0056343,0.0033159,2.2399,-116.89,0.25372,339.22,3.0683e-07,2.9501e-07,160.83,3034.6,6.5986e-12
112,-24.545455,4000,58.12,3.0504,0.98876,2.8993,0.26528,5.337e-06,2.0108e-05,0.065552,0.0013054,0.0043512,4.0531,0.98791,-0.96651,-194.66,23.481,260.9,5.6162e-06,2.2238e-05,0.19811,0.73663,7.5105e-13
100,2,8000,153.42,5.4708,2.7784,7.5097,1.3665,0.00017805,0.00014475,0.079231,0.0017183,0.0055233,8.2765,2.338,3.9897,-371.1,307.12,3173.7,0.00020121,0.00058126,0.78656,2.9919,6.5986e-12
142,2,5000,-9.3848,0.0021057,0.071008,6.5319,0.043522,1.6805e-08,1.1269e-06,0.01968,1.6267e-06,0.00028067,0.059349,0.057834,8.1165,-283.32,0.0019139,56.929,1.5332e-06,1.6927e-06,0.15776,22.852,6.5986e-12
112,-24.545455,5000,66.731,3.7574,1.2592,2.8054,0.32347,1.0008e-05,2.7866e-05,0.070917,-0.0004251,-0.0015177,5.0508,1.2508,-0.99208,-249.31,11.463,146.09,9.7224e-06,3.7232e-05,0.20526,0.92516,7.5105e-13
100,4,3000,54.61,2.3688,0.84011,9.7526,0.16112,2.4034e-06,1.0355e-05,0.041788,0.0073323,0.014823,3.225,0.82133,1.4422,-138.93,1197.1,4892.3,5.5161e-06,2.1065e-05,0.26984,0.64158,6.5986e-12
142,2,6000,-13.958,-0.0017368,0.31237,5.2786,0.12196,6.4318e-07,2.6265e-05,0.052414,-4.2157e-08,-4.5096e-06,0.27585,0.28179,7.5503,-329.55,1.0157e-12,1.1596e-08,3.4365e-06,3.3583e-06,4.4893e-12,2.5508e-18,6.5986e-12
112,-24.545455,6000,75.454,4.5641,1.5691,3.1,0.3388,1.5649e-05,3.3215e-05,0.065576,-0.00053855,-0.0020893,6.1744,1.5481,-0.12481,-305.38,6.8358,102.88,1.8373e-05,6.7423e-05,0.23483,1.1694,7.5105e-13
100,4,4000,73.247,3.1795,1.1099,9.2648,0.25715,5.9932e-06,1.36e-05,0.051442,0.0023869,0.0047827,4.3166,1.0821,1.7947,-186.67,140.16,562.73,8.5398e-06,3.2728e-05,0.24246,0.59823,6.5986e-12
142,2,7000,-18.245,-0.0096678,0.61249,4.8809,0.21058,3.4182e-06,9.7224e-05,0.086181,2.5959e-06,0.00020625,0.56509,0.58255,7.9332,-373.97,0.00067374,4.2547,2.1096e-05,2.4746e-05,0.038857,3.6043,6.5986e-12
112,-24.545455,7000,83.958,5.2938,1.8556,3.1383,0.42856,2.6916e-05,4.5403e-05,0.073249,0.0011528,0.0047964,7.2111,1.8039,-1.4209,-362.3,51.642,894.04,3.4256e-05,0.00012145,0.30632,1.5587,7.5105e-13
100,4,5000,88.879,3.9692,1.348,8.3604,0.40574,1.327e-05,1.9947e-05,0.064549,-0.0039391,-0.008696,5.3558,1.2845,2.6245,-231.3,517.49,2522,1.7251e-05,6.1889e-05,0.31471,0.82514,6.5986e-12
142,2,8000,22.833,-0.023786,1.0054,4.5061,0.3106,1.1397e-05,0.00023412,0.12049,-0.00079615,-0.049907,0.93207,0.96499,4.7952,-398.7,0.77886,3061.9,4.2382e-05,4.2552e-05,0.15121,6.2415,6.5986e-12
112,-24.545455,8000,91.637,6.121,2.1532,4.1063,0.39053,3.2403e-05,4.5795e-05,0.059535,-0.00097828,-0.0043965,8.3132,2.0651,-0.10863,-421.88,49.084,991.36,5.4474e-05,0.00018629,0.34922,1.826,7.5105e-13
100,4,6000,103.96,4.8463,1.5906,8.5152,0.61279,2.714e-05,3.0709e-05,0.077591,0.0015677,0.0037013,6.4689,1.4814,2.9594,-243.81,88.745,494.72,3.1746e-05,0.00010951,0.40836,1.1272,6.5986e-12
142,4,3000,579.38,0.0029994,0.0065919,146.42,207.25,4.5955e-08,4.4709e-08,1.3901,1.7664,165.96,0.016376,0.012718,-83.063,1105.5,0.039675,182.47,1.0542e-06,1.1863e-06,15.314,9811.8,6.5986e-12
112,-23.818182,3000,51.016,2.2181,0.73496,2.4789,0.21837,2.5739e-06,1.2776e-05,0.059404,0.0028856,0.0089297,2.9806,0.74505,-0.66701,-177.71,110.09,1054.3,2.5151e-06,1.0427e-05,0.16986,0.66509,7.5105e-13
100,4,7000,116.96,5.6713,1.7998,7.5288,0.78996,4.4152e-05,4.2482e-05,0.08171,-0.0024491,-0.0062722,7.5063,1.6423,3.1119,-287.64,325.73,2136.4,5.1736e-05,0.00016976,0.5035,1.5429,6.5986e-12
142,4,4000,32.347,0.0060722,0.017434,7.4793,0.043153,3.717e-10,4.3654e-09,0.014925,-0.00061012,-0.01253,0.031152,0.025017,6.1143,-148.17,254.6,107350,3.9241e-07,5.5348e-07,2.4949,48.812,6.5986e-12
112,-23.818182,4000,60.676,2.9533,1.043,2.5015,0.30458,6.7005e-06,2.2995e-05,0.072662,0.0011847,0.0040069,4.0254,1.0444,-0.6113,-194.31,23.806,272.32,7.2477e-06,2.8447e-05,0.22564,0.85469,7.5105e-13
100,4,8000,130.29,6.5805,1.9947,7.6745,0.9986,6.7869e-05,5.9088e-05,0.083747,-0.0020642,-0.0057819,8.6029,1.787,2.8351,-331.26,305.16,2394.2,7.8904e-05,0.00024587,0.58984,1.9981,6.5986e-12
142,4,5000,17.004,0.007529,0.11068,7.6288,0.0047603,2.6718e-09,8.3795e-08,0.0019762,-0.00010738,-0.0048413,0.10573,0.098381,5.6688,-232.71,0.57533,1169.4,1.6475e-06,2.0679e-06,0.32377,11.6,6.5986e-12
112,-23.818182,5000,69.458,3.6354,1.3218,2.5665,0.41448,1.394e-05,3.552e-05,0.087426,0.00062263,0.0022501,5.0205,1.3351,-1.1202,-251.03,17.546,229.14,1.3019e-05,4.9471e-05,0.23731,1.0566,7.5105e-13
100,6,3000,45.296,2.7717,0.57337,9.9684,0.12715,9.6851e-07,6.1188e-06,0.037319,0.0052701,0.010692,3.3524,0.56519,1.2945,-108.04,679.28,2796.3,2.8069e-06,1.0795e-05,0.29222,0.64298,6.5986e-12
142,4,6000,-18.306,0.006139,0.35797,6.4858,0.038823,2.1468e-07,6.0778e-06,0.015878,4.2756e-06,0.00022332,0.32572,0.3231,6.2379,-279.31,0.0023102,6.3034,5.508e-06,6.7733e-06,0.079671,3.3715,6.5986e-12
112,-23.818182,6000,78.601,4.4477,1.6518,2.9583,0.46852,2.3711e-05,4.6036e-05,0.086632,-0.0009222,-0.0037024,6.1537,1.6379,-1.0766,-308.84,24.655,397.4,2.3848e-05,8.575e-05,0.26424,1.3376,7.5105e-13
100,6,4000,60.699,3.6859,0.77545,10.274,0.23244,2.8247e-06,9.6987e-06,0.055486,-0.0011899,-0.0022903,4.4748,0.77089,2.3461,-153.7,39.82,147.52,3.3798e-06,1.3327e-05,0.19567,0.42921,6.5986e-12
142,4,7000,-21.638,0.00052914,0.69505,5.998,0.083962,1.5341e-06,3.4143e-05,0.033033,5.563e-05,0.0025129,0.61729,0.62413,5.331,-281.17,0.16203,330.63,1.5704e-05,1.9682e-05,0.07907,2.7648,6.5986e-12
112,-23.818182,7000,86.737,5.1774,1.936,3.4224,0.5158,3.4999e-05,5.519e-05,0.084603,-0.0014055,-0.0061368,7.1846,1.9035,-1.3288,-367.61,80.676,1538,3.9771e-05,0.00013718,0.30491,1.6715,7.5105e-13
100,6,5000,73.582,4.5555,0.95174,9.3057,0.3075,5.2619e-06,1.1821e-05,0.061218,0.0024228,0.0049573,5.5283,0.9338,2.4853,-195.14,121.11,507.02,6.6758e-06,2.5241e-05,0.25368,0.64234,6.5986e-12
142,4,8000,25.827,-0.010102,1.0995,5.6169,0.14434,5.7806e-06,9.8248e-05,0.05404,4.7728e-05,0.0018151,1.0003,1.0205,7.6903,-331.86,0.14131,204.38,4.7041e-05,6.0513e-05,0.062659,3.3814,6.5986e-12
112,-23.818182,8000,94.854,5.9745,2.2532,4.0572,0.53451,4.8249e-05,6.3862e-05,0.077621,0.00061925,0.0028989,8.2858,2.1768,-1.647,-425,21.417,469.37,6.2254e-05,0.00020821,0.34783,1.9829,7.5105e-13
100,6,6000,86.94,5.5174,1.1365,8.6913,0.44917,1.0491e-05,1.6492e-05,0.073559,0.00098604,0.0021494,6.6814,1.0912,2.1134,-238.3,44.47,211.3,1.2644e-05,4.581e-05,0.32681,0.89886,6.5986e-12
142,6,3000,702.18,0.037925,0.03604,136.04,721.91,4.1973e-06,4.1391e-06,1.7922,8.7043,175.06,0.085619,0.055172,-55.658,1077.8,0.48777,165.19,1.8123e-06,4.2334e-06,15.822,3625,6.5986e-12
112,-23.090909,3000,54.682,2.1279,0.78799,2.1431,0.24539,3.2196e-06,1.382e-05,0.063544,-0.00067578,-0.0021137,2.953,0.80177,-1.0689,-180.47,12.319,120.53,2.6991e-06,1.1136e-05,0.15869,0.64015,7.5105e-13
100,6,7000,98.473,6.419,1.2978,7.7936,0.57538,1.711e-05,2.1191e-05,0.079196,-0.0015292,-0.0036122,7.7509,1.227,0.55368,-282.38,102.08,569.62,2.0602e-05,7.093e-05,0.37523,1.1232,6.5986e-12
142,6,4000,43.626,0.061236,0.072188,8.8837,0.073233,9.0235e-09,6.1355e-08,0.021963,0.0014673,0.013312,0.14444,0.080627,-5.387,-142.23,515.43,42428,1.2277e-06,2.2348e-06,1.5406,16.099,6.5986e-12
112,-23.090909,4000,64.269,2.8483,1.1121,2.1139,0.39251,9.6015e-06,2.9046e-05,0.089074,0.00084909,0.002998,3.9966,1.114,-0.89167,-238.55,10.68,133.15,6.8339e-06,2.6305e-05,0.18226,0.79403,7.5105e-13
100,6,8000,110.45,7.3806,1.4616,8.3403,0.79374,2.9442e-05,3.0456e-05,0.090917,0.0023574,0.0060323,8.8749,1.3554,2.6851,-324.62,376.62,2466.1,3.213e-05,0.00010525,0.45318,1.385,6.5986e-12
142,6,5000,34.479,0.078438,0.18146,9.0246,0.075004,6.7157e-08,7.0595e-07,0.025266,0.00090747,0.013352,0.26474,0.18295,2.5732,-187.61,14.038,3038.8,4.072e-06,6.417e-06,0.74394,8.9383,6.5986e-12
112,-23.090909,5000,73.151,3.5396,1.4214,3.1924,0.50622,1.9365e-05,4.4005e-05,0.10129,0.0019748,0.0074319,4.9997,1.4122,-1.5164,-255.27,96.982,1373.5,1.5278e-05,5.654e-05,0.23927,1.0017,7.5105e-13
142,6,6000,30.249,0.10007,0.43856,7.9622,0.037245,2.1233e-07,2.7937e-06,0.013218,-9.7189e-05,-0.0019453,0.49921,0.39875,5.8099,-232.66,0.23492,94.11,6.437e-06,9.3716e-06,0.14022,2.8782,6.5986e-12
112,-23.090909,6000,82.834,4.309,1.7545,3.3692,0.61484,3.4633e-05,6.0105e-05,0.10685,-0.00038105,-0.0015809,6.1133,1.7331,-1.5393,-314.34,4.7818,82.312,3.0376e-05,0.00010705,0.29207,1.3972,7.5105e-13
142,6,7000,30.343,0.11519,0.75323,7.3557,0.021651,3.6334e-07,4.7557e-06,0.0076748,-3.5934e-05,-0.00073932,0.78798,0.6731,6.8864,-240.2,0.14342,60.733,1.4318e-05,2.0713e-05,0.092385,2.5617,6.5986e-12
112,-23.090909,7000,90.449,5.0409,2.0607,3.9141,0.65108,4.961e-05,7.1923e-05,0.10104,-0.0015074,-0.0068625,7.1533,2.008,-2.5694,-372.96,98.47,2040.9,4.8928e-05,0.00016464,0.33015,1.7976,7.5105e-13
142,6,8000,33.268,0.13173,1.1399,6.8116,0.02589,9.3605e-07,1.0473e-05,0.0088529,-3.7048e-05,-0.00075316,1.1807,1.0492,7.2813,-283.1,0.047921,19.803,3.2165e-05,4.6587e-05,0.083985,2.5848,6.5986e-12
