"files","Temp","Laser_power","Laser_Detuning"
"https://raw.githubusercontent.com/rach6230/Dash_app_V2/main/Data/Gradient/15-03-21-189-samples/3D_Hanle_Sweep_150_uW_-0.5_GHz_114.592062_C_21_03_16_%5B043049%5D",114.592062,150,-0.5
"https://raw.githubusercontent.com/rach6230/Dash_app_V2/main/Data/Gradient/15-03-21-189-samples/3D_Hanle_Sweep_150_uW_10_GHz_103.730527_C_21_03_15_%5B185936%5D",103.730527,150,10
"https://raw.githubusercontent.com/rach6230/Dash_app_V2/main/Data/Gradient/15-03-21-189-samples/3D_Hanle_Sweep_150_uW_10_GHz_113.268968_C_21_03_15_%5B234607%5D",113.268968,150,10
"https://raw.githubusercontent.com/rach6230/Dash_app_V2/main/Data/Gradient/15-03-21-189-samples/3D_Hanle_Sweep_177.5_uW_-0.5_GHz_114.285396_C_21_03_16_%5B043507%5D",114.285396,177.5,-0.5
"https://raw.githubusercontent.com/rach6230/Dash_app_V2/main/Data/Gradient/15-03-21-189-samples/3D_Hanle_Sweep_177.5_uW_10_GHz_103.268601_C_21_03_15_%5B190403%5D",103.268601,177.5,10
"https://raw.githubusercontent.com/rach6230/Dash_app_V2/main/Data/Gradient/15-03-21-189-samples/3D_Hanle_Sweep_177.5_uW_10_GHz_113.537641_C_21_03_15_%5B235036%5D",113.537641,177.5,10
"https://raw.githubusercontent.com/rach6230/Dash_app_V2/main/Data/Gradient/15-03-21-189-samples/3D_Hanle_Sweep_205_uW_-0.5_GHz_127.662843_C_21_03_16_%5B043922%5D",127.662843,205,-0.5
"https://raw.githubusercontent.com/rach6230/Dash_app_V2/main/Data/Gradient/15-03-21-189-samples/3D_Hanle_Sweep_205_uW_10_GHz_103.055529_C_21_03_15_%5B190819%5D",103.055529,205,10
"https://raw.githubusercontent.com/rach6230/Dash_app_V2/main/Data/Gradient/15-03-21-189-samples/3D_Hanle_Sweep_205_uW_10_GHz_114.038171_C_21_03_15_%5B235455%5D",114.038171,205,10
"https://raw.githubusercontent.com/rach6230/Dash_app_V2/main/Data/Gradient/15-03-21-189-samples/3D_Hanle_Sweep_232.5_uW_-0.5_GHz_114.919291_C_21_03_16_%5B044356%5D",114.919291,232.5,-0.5
"https://raw.githubusercontent.com/rach6230/Dash_app_V2/main/Data/Gradient/15-03-21-189-samples/3D_Hanle_Sweep_232.5_uW_10_GHz_103.268863_C_21_03_15_%5B191245%5D",103.268863,232.5,10
"https://raw.githubusercontent.com/rach6230/Dash_app_V2/main/Data/Gradient/15-03-21-189-samples/3D_Hanle_Sweep_232.5_uW_10_GHz_113.055592_C_21_03_15_%5B235918%5D",113.055592,232.5,10
"https://raw.githubusercontent.com/rach6230/Dash_app_V2/main/Data/Gradient/15-03-21-189-samples/3D_Hanle_Sweep_260_uW_-0.5_GHz_114.524581_C_21_03_16_%5B044819%5D",114.524581,260,-0.5
"https://raw.githubusercontent.com/rach6230/Dash_app_V2/main/Data/Gradient/15-03-21-189-samples/3D_Hanle_Sweep_260_uW_10_GHz_103.288009_C_21_03_15_%5B191704%5D",103.288009,260,10
"https://raw.githubusercontent.com/rach6230/Dash_app_V2/main/Data/Gradient/15-03-21-189-samples/3D_Hanle_Sweep_260_uW_10_GHz_113.075207_C_21_03_16_%5B000338%5D",113.075207,260,10
"https://raw.githubusercontent.com/rach6230/Dash_app_V2/main/Data/Gradient/15-03-21-189-samples/3D_Hanle_Sweep_287.5_uW_-0.5_GHz_114.554168_C_21_03_16_%5B045239%5D",114.554168,287.5,-0.5
"https://raw.githubusercontent.com/rach6230/Dash_app_V2/main/Data/Gradient/15-03-21-189-samples/3D_Hanle_Sweep_287.5_uW_10_GHz_103.287601_C_21_03_15_%5B192132%5D",103.287601,287.5,10
"https://raw.githubusercontent.com/rach6230/Dash_app_V2/main/Data/Gradient/15-03-21-189-samples/3D_Hanle_Sweep_287.5_uW_10_GHz_111.790441_C_21_03_16_%5B000803%5D",111.790441,287.5,10
"https://raw.githubusercontent.com/rach6230/Dash_app_V2/main/Data/Gradient/15-03-21-189-samples/3D_Hanle_Sweep_300_uW_-0.5_GHz_103.538271_C_21_03_15_%5B182328%5D",103.538271,300,-0.5
