"Temperature (C) ","Detuning (GHz) ","Laser Power (uW) ","G(1D)","C(1D)","A(1D)","By(1D)","Error G(1D)","Error C(1D)","Error A(1D)","Error By(1D)","G1(2D)","G2(2D)","C(2D)","A(2D)","Bx(2D)","Bz(2D)","Error G1(2D)","Error G2(2D)","Error C(2D)","Error A(2D)","Error Bx(2D)","Error Bz(2D)","Hanle (V/nT)","Demod (V/nT)","Sensitivity (T/sqrt(Hz)","Error Sensitivity","Run Number"
150,-30,1000,257.249293413415,0.382972139238675,0.286942718944927,7.85528653336987,2.02980530239639,0.00229133135763333,0.00216441594113132,0.217601030122119,264.524374014715,1175.19513003706,-1.77877357671185,-1.11784365321497,3.35595958277812,-524.367583856464,11.5588929895469,37.4937566799606,0.0575578775664094,0.0569290111438295,3.18214210383514,8.03892783216471,0.00111542665535641,-0.000103429096943461,6.12160535e-12,1.818974386e-11,1
150,-30,2000,82.1477476304415,0.410140686797737,0.603425243791799,16.9407261513495,0.849114108413234,0.00219159184755772,0.00292226432492738,0.356745968632452,148.913383244826,617.60272252233,-1.70631416475879,-0.854755717303083,-0.00432891042168977,-287.329396655717,5.82047281857358,12.9861882445177,0.0232538024975374,0.0237284441719527,2.41187070695083,5.77007571945042,0.00734560911525452,-0.000687894183461947,1.41478541e-12,2.80047794e-12,2
150,-30,3000,54.1970020432649,0.3773501109509,0.86590746655766,8.57647234766716,0.674705428506657,0.00269062601007477,0.00562932047236119,0.344548471928936,123.870697622016,551.4155544669,-1.97620266924249,-1.03563177726161,-0.262806036794446,-260.721117343887,4.78820707947121,11.3472558264491,0.0271502344341059,0.0283612527624443,2.2169655505256,5.69796992748669,0.015977036255002,0.00123838376666993,8.8638141e-13,1.42825101e-12,3
150,-30,4000,44.3898272990386,0.367015596841533,1.31820792710107,6.94289391319627,0.509674933797881,0.00325167559655436,0.00833573434341609,0.277718632751487,106.634994447486,547.545588570529,-2.58670682026343,-1.47164364226605,-0.0522464763311421,-270.456447255755,4.08323777617317,11.8518287862051,0.0425774380641639,0.0443123263267124,2.12995350247806,5.99606666379087,0.0296961715624791,-0.00225202514426132,6.0600692e-13,7.7438074e-13,4
150,-30,5000,38.2401506620699,0.439379990398438,2.21321584022016,5.50806718022933,0.308858756248619,0.00345221251773458,0.0101954909202266,0.175063751538785,91.0636771971617,518.94379185863,-3.49156290145537,-1.99059658878191,-0.0147637940634577,-257.774281236215,3.71616257961953,12.2346803356121,0.0636777975879689,0.0669025253689325,2.14210783491368,6.48802109709767,0.0578767552402828,0.00335194197374252,5.88798e-13,6.1395634e-13,5
150,-30,6000,40.5183460044781,0.528582276446283,3.10983245020667,5.48489058293296,0.270927098970976,0.00418317976551558,0.011705955256281,0.151352568357085,84.6357546949671,529.093623499965,-4.76124270171895,-2.80056090903604,0.218883225682642,-295.948797694071,3.49009345217439,13.0071577561933,0.0962227120969568,0.100301568918464,2.14818685282913,6.93852056801697,0.0767512190616805,-0.00497265432076129,4.6358695e-13,6.4489585e-13,6
150,-27.5,1000,30.6588427853517,0.0297736900232779,0.0346822202508764,4.58189825522602,0.199893149513397,3.75733238512483e-05,0.000134753318584935,0.118780009179319,171.277934785661,467.669782047334,-0.0771171493724461,-0.026818236403919,-0.496771234649865,-88.6226375630926,7.64250615467823,8.92836740408219,0.000502212832181333,0.000588479184839745,2.40328445221471,4.90097696061248,0.00113123057167203,2.05261643754436e-05,1.678725317e-11,1.3783554938e-10,7
150,-27.5,2000,26.575067132437,0.0557697443219517,0.172978494594702,4.1796702121823,0.16659527162459,0.000164165780563926,0.000661676101681025,0.101476569685325,106.942828944518,461.120056178413,-0.27346440143394,-0.127089990691173,-0.455926795798513,-112.839990082547,4.63974644177309,10.1740502641628,0.00334679743363835,0.00371725029862608,2.20616889759964,5.73916019996468,0.00650905202732556,0.000303338613752501,2.12795993e-12,7.10553885e-12,8
150,-27.5,3000,28.0791655718947,0.0816867435451146,0.443900552368933,4.20638849908855,0.183204255488983,0.000454313133892448,0.00175194838156681,0.110586016576574,85.5499880549423,488.17046887531,-0.663640239088301,-0.360019164132667,0.225569224343201,-156.675995124653,3.8290222013769,12.8055884897208,0.0127263848029041,0.0135842966678846,2.22353533803474,6.6958895240997,0.0158088940083478,0.000634559929690977,1.16184863e-12,1.95592998e-12,9
150,-27.5,4000,30.2682709588969,0.117806524093371,0.990877727475995,4.60330876943887,0.184629892724873,0.00099582816450871,0.00361001366810842,0.109972843417699,81.1055742135505,562.591452563301,-1.62699918738403,-1.03707791611259,1.24590950083201,-213.248049264795,3.62498070644579,17.3260498832073,0.0479232222038919,0.0493186358194653,2.23510531841956,7.46162020328108,0.0327365157006017,0.00120744443977047,1.0650813e-12,1.23599709e-12,10
